dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 00:43:50,Mitsubishi_Colt_CZC_1.5_Invite__TOP_Zustand__Leder,privat,Offer,4150,test,cabrio,2006,manuell,109,colt,125000,May,Gasoline,mitsubishi,No,2016-03-06 00:00:00,30171,2016-04-01 06:16:53,2016,2016,March,March,26,6,10,7
2016-03-09 19:50:16,Mitsubishi_Colt_CZC_1.5,privat,Offer,4800,test,cabrio,2008,manuell,109,colt,60000,Jul,Gasoline,mitsubishi,No,2016-03-09 00:00:00,46244,2016-03-17 01:45:13,2016,2016,March,March,8,1,8,5
2016-04-04 17:56:47,Mitsubishi_Colt_CZC_1.5,privat,Offer,4500,test,cabrio,2006,manuell,150,colt,125000,Mar,Gasoline,mitsubishi,No,2016-04-04 00:00:00,31860,2016-04-06 19:48:42,2016,2016,April,April,2,19,10,9
2016-03-27 22:57:44,Mitsubishi_Colt_CZC_1.5_Turbo,privat,Offer,6350,test,cabrio,2006,manuell,150,colt,50000,Nov,Gasoline,mitsubishi,No,2016-03-27 00:00:00,96524,2016-04-06 02:46:45,2016,2016,March,March,10,2,10,1
2016-03-06 16:42:49,Cabrio_czc___109ps____fuer_4800_,privat,Offer,4500,test,cabrio,2007,manuell,109,colt,90000,May,Gasoline,mitsubishi,No,2016-03-06 00:00:00,47804,2016-03-19 14:19:35,2016,2016,March,March,13,14,9,7
2016-03-23 17:48:32,Mitsubishi_Colt_CZC_1.5,privat,Offer,4444,control,cabrio,2006,manuell,109,colt,100000,Aug,Gasoline,mitsubishi,No,2016-03-23 00:00:00,55595,2016-03-25 01:44:40,2016,2016,March,March,2,1,10,4
2016-03-30 11:57:14,Mitsubishi_Colt_CZC_1.5_Invite,privat,Offer,5200,test,cabrio,2007,manuell,109,colt,90000,Mar,Gasoline,mitsubishi,No,2016-03-30 00:00:00,54516,2016-04-07 03:15:52,2016,2016,March,March,8,3,9,9
2016-04-01 13:06:21,Mitsubishi_Colt_CZC_1.5,privat,Offer,4950,test,cabrio,2009,manuell,109,colt,50000,Jan,Gasoline,mitsubishi,No,2016-04-01 00:00:00,35586,2016-04-06 22:46:54,2016,2016,April,April,5,22,7,11
2016-03-25 14:57:32,Mitsubishi_Colt_CZC_1.5_Invite,privat,Offer,3888,control,cabrio,2007,manuell,109,colt,100000,Nov,Gasoline,mitsubishi,No,2016-03-25 00:00:00,96264,2016-04-06 19:16:16,2016,2016,March,March,12,19,9,1
2016-03-30 14:36:35,Cabrio_zu_verkaufen.,privat,Offer,6500,control,cabrio,2006,manuell,150,colt,150000,Jul,Gasoline,mitsubishi,Other,2016-03-30 00:00:00,47259,2016-04-07 06:15:47,2016,2016,March,March,8,6,10,5
2016-04-04 22:38:28,Mitsubishi_Colt_CZC__HU_08/2017__inkl_Winterreifen_&_Sitzheizung,privat,Offer,3900,test,cabrio,2006,manuell,109,colt,125000,Jun,Gasoline,mitsubishi,No,2016-04-04 00:00:00,12249,2016-04-04 22:38:28,2016,2016,April,April,0,22,10,6
2016-03-23 15:37:16,Mitsubishi_Colt_CZC_1.5_Invite,privat,Offer,5100,test,cabrio,2006,manuell,109,colt,80000,Sep,Gasoline,mitsubishi,No,2016-03-23 00:00:00,22113,2016-03-23 15:37:16,2016,2016,March,March,0,15,10,3
2016-03-08 20:43:58,Mitsubishi_Colt_CZC_1.5_Invite_Vollleder_SHZ_8fach_bereift,privat,Offer,5790,control,cabrio,2006,manuell,109,colt,50000,May,Gasoline,mitsubishi,No,2016-03-08 00:00:00,81541,2016-04-05 18:44:53,2016,2016,March,March,28,18,10,7
2016-03-30 12:56:31,Mitsubishi_Colt_CZC_1.5_Invite,privat,Offer,5200,control,cabrio,2007,manuell,109,colt,90000,Mar,Gasoline,mitsubishi,No,2016-03-30 00:00:00,54516,2016-04-07 03:45:01,2016,2016,March,March,8,3,9,9
