dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-17 22:52:09,Mitsubishi_3000_GT,privat,Offer,6000,test,coupe,1995,manuell,286,andere,150000,Apr,Gasoline,mitsubishi,No,2016-03-17 00:00:00,36093,2016-04-05 18:45:15,2016,2016,March,March,19,18,21,8
2016-03-13 16:37:39,diamond__USA___sportcoube_mit_150_ps,privat,Offer,2200,test,coupe,1992,manuell,150,andere,150000,Apr,Gasoline,mitsubishi,No,2016-03-13 00:00:00,89542,2016-03-17 13:45:12,2016,2016,March,March,4,13,24,8
2016-03-28 10:36:53,Mitsubishi_Sapporo,privat,Offer,4600,control,coupe,1983,manuell,170,andere,90000,Jun,Gasoline,mitsubishi,No,2016-03-28 00:00:00,53773,2016-04-06 11:46:51,2016,2016,March,March,9,11,33,6
2016-03-17 23:54:10,Mitsubishi_FTO_GR_2.0_V6_Automatik_TÜV_10/17_Euro1,privat,Offer,3499,control,coupe,1995,automatik,200,andere,150000,Jul,Gasoline,mitsubishi,No,2016-03-17 00:00:00,27283,2016-03-31 04:47:13,2016,2016,March,March,14,4,21,5
2016-03-16 20:38:59,Mitsubishi_Eclipse_16V_USA_d20,privat,Offer,740,control,coupe,1992,manuell,150,andere,150000,Jan,Gasoline,mitsubishi,Yes,2016-03-16 00:00:00,26810,2016-03-23 08:17:31,2016,2016,March,March,7,8,24,11
2016-03-23 16:59:28,Mitsubishi_Eclipse_2000_16V_GSi,privat,Offer,1550,test,coupe,1994,manuell,150,andere,150000,Aug,Gasoline,mitsubishi,No,2016-03-23 00:00:00,71640,2016-04-05 21:46:09,2016,2016,March,March,13,21,22,4
2016-03-21 12:37:39,Mitsubishi_eclipse_Tuev_05/2016,privat,Offer,0,control,coupe,1993,manuell,150,andere,150000,Sep,Gasoline,mitsubishi,Other,2016-03-21 00:00:00,71126,2016-03-22 16:44:28,2016,2016,March,March,1,16,23,3
2016-03-05 16:39:49,Verkaufe/tausche_Mitsubishi_Eclipse_d30,privat,Offer,2550,control,coupe,1997,manuell,141,andere,150000,Jan,Gasoline,mitsubishi,Other,2016-03-05 00:00:00,77656,2016-03-12 06:17:09,2016,2016,March,March,7,6,19,11
2016-03-17 21:57:46,Mitsubishi_Eclipse,privat,Offer,999,test,coupe,2003,Unspecified,213,andere,150000,Nov,Gasoline,mitsubishi,No,2016-03-17 00:00:00,77876,2016-03-17 22:44:29,2016,2016,March,March,0,22,13,1
2016-03-29 14:44:28,Mitsubishi_Eclipse_2000_GS_16V_Klima_US_modell,privat,Offer,5000,test,coupe,1997,manuell,141,andere,150000,May,Gasoline,mitsubishi,No,2016-03-29 00:00:00,13593,2016-04-05 23:47:20,2016,2016,March,March,7,23,19,7
2016-03-26 11:49:15,Mitsubishi_FTO,privat,Offer,1333,control,coupe,1995,manuell,200,andere,150000,Jul,Gasoline,mitsubishi,Yes,2016-03-26 00:00:00,92353,2016-04-05 23:17:05,2016,2016,March,March,10,23,21,5
2016-03-24 11:50:44,Mitsubishi_3000_GT_...schwarz...Allrad!!!,privat,Offer,5999,test,coupe,1995,manuell,286,andere,125000,Jul,Gasoline,mitsubishi,No,2016-03-24 00:00:00,24850,2016-04-05 00:18:30,2016,2016,March,March,12,0,21,5
2016-04-01 11:48:53,Mitsubishi_Eclipse,privat,Offer,7900,test,coupe,2003,manuell,203,andere,70000,Oct,Gasoline,mitsubishi,No,2016-04-01 00:00:00,83052,2016-04-07 08:17:14,2016,2016,April,April,6,8,13,2
2016-03-21 19:44:20,Mitsubishi_Eclipse_d30,privat,Offer,1200,test,coupe,1996,manuell,0,andere,150000,Sep,Gasoline,mitsubishi,No,2016-03-21 00:00:00,32469,2016-03-27 04:45:17,2016,2016,March,March,6,4,20,3
