dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-30 10:50:00,Mitsubishi_Space_ohne_TÜV,privat,Offer,300,test,kleinwagen,1994,manuell,0,andere,150000,Jul,Gasoline,mitsubishi,Other,2016-03-30 00:00:00,26340,2016-03-30 10:50:00,2016,2016,March,March,0,10,22,5
2016-03-17 19:43:13,Mitsubishi_Colt_CZ3_1.5_DI_D,privat,Offer,2499,control,kleinwagen,2006,manuell,95,colt,150000,Jan,Diesel,mitsubishi,No,2016-03-17 00:00:00,33102,2016-04-07 07:17:02,2016,2016,March,March,21,7,10,11
2016-03-29 10:57:51,Mitsubishi_Colt_1300,privat,Offer,250,control,kleinwagen,1998,manuell,75,colt,150000,Feb,Gasoline,mitsubishi,No,2016-03-29 00:00:00,97072,2016-04-05 19:46:40,2016,2016,March,March,7,19,18,10
2016-03-12 18:57:11,Mitsubishi_Space_Star_zu_verkaufen,privat,Offer,499,test,kleinwagen,1999,manuell,85,andere,150000,Aug,Other,mitsubishi,No,2016-03-12 00:00:00,47546,2016-03-23 11:47:14,2016,2016,March,March,11,11,17,4
2016-04-01 14:59:23,Mitsubishi_Colt_mit_TÜV___Anfaengerauto___Kleinwagen___sparsam,privat,Offer,599,test,kleinwagen,1996,automatik,90,colt,150000,Mar,Gasoline,mitsubishi,Other,2016-04-01 00:00:00,42277,2016-04-01 15:40:04,2016,2016,April,April,0,15,20,9
2016-03-10 15:51:17,Mitsubishi_Colt_1.6_Sport,privat,Offer,2800,test,kleinwagen,2003,manuell,103,colt,150000,May,Gasoline,mitsubishi,Yes,2016-03-10 00:00:00,4600,2016-03-11 16:15:59,2016,2016,March,March,1,16,13,7
2016-04-04 22:52:18,Mitsubishi_Colt_1_6,privat,Offer,250,test,kleinwagen,1998,manuell,90,colt,150000,Jul,Gasoline,mitsubishi,Yes,2016-04-04 00:00:00,94559,2016-04-07 02:17:07,2016,2016,April,April,3,2,18,5
2016-04-04 01:54:11,Verkaufe_hier_meinen_Colt,privat,Offer,449,control,kleinwagen,1995,automatik,116,colt,150000,Sep,Gasoline,mitsubishi,Other,2016-04-03 00:00:00,13353,2016-04-06 08:17:29,2016,2016,April,April,3,8,21,3
2016-03-07 18:45:30,Mitsubishi_Mitsubishi_Colt_CZ3_44.000_km,privat,Offer,3999,control,kleinwagen,2008,manuell,95,colt,50000,Mar,Gasoline,mitsubishi,No,2016-03-07 00:00:00,97616,2016-03-10 23:15:31,2016,2016,March,March,3,23,8,9
2016-03-24 20:49:03,Mitsubischi_cold_cz3_anfaenger_auto_1_hand,privat,Offer,2000,test,kleinwagen,2006,manuell,95,colt,150000,Jul,Other,mitsubishi,No,2016-03-24 00:00:00,34121,2016-03-27 17:47:04,2016,2016,March,March,3,17,10,5
2016-03-25 12:48:41,Mitsubishi_colt_1_3_TÜV_neu_Klima_8_fach,privat,Offer,1499,test,kleinwagen,2001,manuell,75,colt,150000,Apr,Gasoline,mitsubishi,No,2016-03-25 00:00:00,86899,2016-04-06 13:46:33,2016,2016,March,March,12,13,15,8
2016-03-23 10:53:38,Mitsubishi_Space_Star_1.0_Diamant_Edition__Klima__ZV__Alu,privat,Offer,5500,control,kleinwagen,2014,manuell,71,andere,40000,Aug,Gasoline,mitsubishi,No,2016-03-23 00:00:00,54673,2016-04-07 12:17:21,2016,2016,March,March,15,12,2,4
2016-03-25 12:52:44,Mitsubishi_Colt__Bastler_Fahrzeug,privat,Offer,450,test,kleinwagen,1997,manuell,75,colt,100000,Jan,Gasoline,mitsubishi,Yes,2016-03-25 00:00:00,74081,2016-04-06 14:44:43,2016,2016,March,March,12,14,19,11
2016-03-07 10:54:40,Mitsubishi_Colt_1.3_Tuev_bis_ende_Maerz,privat,Offer,250,test,kleinwagen,1998,manuell,75,colt,150000,Jun,Gasoline,mitsubishi,Other,2016-03-07 00:00:00,13591,2016-03-08 17:50:08,2016,2016,March,March,1,17,18,6
2016-03-20 12:48:22,Mitsubishi_Colt_mit_LPG_Gas,privat,Offer,500,test,kleinwagen,1999,manuell,75,colt,150000,Apr,Lpg,mitsubishi,Other,2016-03-20 00:00:00,58332,2016-03-20 12:48:22,2016,2016,March,March,0,12,17,8
2016-03-05 22:37:40,Mitsubishi_Colt,privat,Offer,950,control,kleinwagen,1997,manuell,75,colt,150000,Aug,Gasoline,mitsubishi,No,2016-03-05 00:00:00,30655,2016-03-11 15:44:50,2016,2016,March,March,6,15,19,4
2016-03-11 17:52:56,mitschubischi_colt_TÜV_neu,privat,Offer,750,control,kleinwagen,1996,manuell,0,colt,150000,Nov,Gasoline,mitsubishi,No,2016-03-11 00:00:00,13439,2016-04-05 18:45:34,2016,2016,March,March,25,18,20,1
2016-04-02 16:50:29,Mitsubishi_Colt_CZ3_1.3,privat,Offer,3445,control,kleinwagen,2005,manuell,95,colt,90000,Apr,Gasoline,mitsubishi,No,2016-04-02 00:00:00,12629,2016-04-06 16:15:47,2016,2016,April,April,4,16,11,8
2016-03-15 10:49:57,Mitsubishi_Cold,privat,Offer,3000,control,kleinwagen,2007,manuell,95,colt,5000,Jul,Gasoline,mitsubishi,No,2016-03-15 00:00:00,39439,2016-03-21 05:46:40,2016,2016,March,March,6,5,9,5
2016-03-10 08:54:29,Verschenke_Colt_IV,privat,Offer,0,test,kleinwagen,1996,manuell,75,colt,150000,Apr,Gasoline,mitsubishi,Yes,2016-03-10 00:00:00,17087,2016-03-10 10:42:09,2016,2016,March,March,0,10,20,8
2016-03-14 20:36:20,Mitsubishi_Colt_CZ3_1.3_Motion,privat,Offer,1800,control,kleinwagen,2006,manuell,95,colt,125000,May,Gasoline,mitsubishi,Yes,2016-03-14 00:00:00,14558,2016-03-15 16:47:18,2016,2016,March,March,1,16,10,7
2016-04-05 11:50:32,Mitsubishi_Colt_IV_zum_Aufbau_oder_Schlachten,privat,Offer,130,test,kleinwagen,1995,automatik,113,colt,150000,Mar,Gasoline,mitsubishi,Yes,2016-04-05 00:00:00,7973,2016-04-05 11:50:32,2016,2016,April,April,0,11,21,9
