dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-30 12:56:02,Mitsubishi_Galant,privat,Offer,550,control,kombi,1998,manuell,136,galant,150000,Feb,Gasoline,mitsubishi,No,2016-03-30 00:00:00,2627,2016-04-07 03:45:00,2016,2016,March,March,8,3,18,10
2016-03-28 14:56:59,Auto_mit_ahk_und_vielen_km,privat,Offer,900,test,kombi,2001,manuell,150,galant,150000,Feb,Other,mitsubishi,Yes,2016-03-28 00:00:00,55743,2016-04-06 20:15:54,2016,2016,March,March,9,20,15,10
2016-03-09 21:51:42,Mitsubishi_Galant_v6_Schlachtfest_Teile_Ab5,privat,Offer,400,test,kombi,1998,manuell,0,galant,150000,Jan,Gasoline,mitsubishi,Other,2016-03-09 00:00:00,45881,2016-04-06 02:17:40,2016,2016,March,March,28,2,18,11
2016-03-08 13:55:14,Mitsubishi_Lancer_Kombi_gli,privat,Offer,950,control,kombi,1995,manuell,113,lancer,150000,Aug,Gasoline,mitsubishi,No,2016-03-08 00:00:00,52525,2016-03-27 20:47:10,2016,2016,March,March,19,20,21,4
2016-03-05 14:57:48,Galant_2.4_GDI_Kombi,privat,Offer,400,control,kombi,1999,manuell,152,galant,150000,Jul,Gasoline,mitsubishi,No,2016-03-05 00:00:00,72820,2016-03-20 20:45:21,2016,2016,March,March,15,20,17,5
2016-03-15 17:46:57,Mitsubishi_Space_Runner_Tuev_4.2017,privat,Offer,1000,control,kombi,2001,manuell,136,andere,150000,May,Gasoline,mitsubishi,Yes,2016-03-15 00:00:00,73087,2016-04-06 16:17:06,2016,2016,March,March,22,16,15,7
2016-03-26 02:45:26,Mitsubishi_Galant_2.5_V6_Avance,privat,Offer,600,test,kombi,2001,manuell,160,galant,150000,Sep,Gasoline,mitsubishi,No,2016-03-25 00:00:00,74080,2016-04-05 13:47:33,2016,2016,March,March,11,13,15,3
2016-03-09 08:54:45,Mitsubishi_Outlander_TURBO_mit_Autogas,privat,Offer,6500,test,kombi,2005,manuell,205,outlander,150000,Jun,Lpg,mitsubishi,No,2016-03-09 00:00:00,1277,2016-04-07 11:44:23,2016,2016,March,March,29,11,11,6
2016-03-21 08:37:14,Mitsubischi__Lancer_1.5_Benziner_combi,privat,Offer,1200,control,kombi,1987,manuell,0,lancer,150000,Apr,Gasoline,mitsubishi,Other,2016-03-21 00:00:00,45772,2016-03-22 13:48:29,2016,2016,March,March,1,13,29,8
2016-04-02 10:58:07,Mitsubishi_Space_Runner_Tuev_4.2017,privat,Offer,1000,test,kombi,2001,manuell,136,andere,150000,May,Gasoline,mitsubishi,Yes,2016-04-02 00:00:00,73087,2016-04-06 09:16:55,2016,2016,April,April,4,9,15,7
