dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 17:49:59,Mitsubishi_L200_4x4_Magnum_2._Hand_/_LKW_Zulassung_/_Klima_/_99TK,privat,Offer,7750,test,suv,2001,manuell,99,pajero,100000,Nov,Diesel,mitsubishi,No,2016-03-07 00:00:00,52525,2016-03-10 21:19:11,2016,2016,March,March,3,21,15,1
2016-03-09 19:53:47,pajero_v20_lange_ausfuehrung_american_drem,privat,Offer,2900,test,suv,1997,automatik,125,pajero,150000,Nov,Diesel,mitsubishi,No,2016-03-09 00:00:00,44869,2016-03-09 19:53:47,2016,2016,March,March,0,19,19,1
2016-03-29 14:37:37,Mitsubishi_Pajero_3.0_V6,privat,Offer,0,test,suv,1991,Unspecified,0,pajero,150000,Jan,Other,mitsubishi,Other,2016-03-29 00:00:00,71404,2016-03-31 07:15:34,2016,2016,March,March,2,7,25,11
2016-03-24 19:58:47,Mitsubishi_Pajero_3500_V6_24V,privat,Offer,4600,control,suv,1997,manuell,208,pajero,150000,Feb,Gasoline,mitsubishi,No,2016-03-24 00:00:00,82272,2016-04-05 12:19:22,2016,2016,March,March,12,12,19,10
2016-03-12 15:54:39,Mitsubishi_Pajero_Pinin_1_8_GDI_Bitte_alle_die_BESCHREIBUNG_LESEN,privat,Offer,800,control,suv,2000,manuell,120,pajero,150000,Jan,Gasoline,mitsubishi,Yes,2016-03-12 00:00:00,39397,2016-03-12 15:54:39,2016,2016,March,March,0,15,16,11
2016-03-08 11:49:02,Mitsubishi_Pajero_3.2_DI_D_Automatik_Instyle,privat,Offer,17900,control,suv,2010,automatik,200,pajero,150000,Jun,Diesel,mitsubishi,No,2016-03-08 00:00:00,91737,2016-04-07 10:45:16,2016,2016,March,March,30,10,6,6
2016-03-11 08:52:22,Mitsubishi_Pajero_Sport_3.0_V6,privat,Offer,5200,test,suv,2001,automatik,177,pajero,150000,Aug,Gasoline,mitsubishi,No,2016-03-11 00:00:00,21109,2016-04-06 06:46:23,2016,2016,March,March,26,6,15,4
2016-03-23 22:41:11,Mitsubishi_Pajero_3.2_DI_D_Intense,privat,Offer,8500,test,suv,2007,manuell,160,pajero,150000,Feb,Diesel,mitsubishi,No,2016-03-23 00:00:00,66482,2016-03-23 22:41:11,2016,2016,March,March,0,22,9,10
2016-03-26 15:06:24,Mitsubishi_Pajero_V20_2_8_TD_GLS_Edition_Trophy,privat,Offer,4100,test,suv,1998,manuell,125,pajero,150000,Mar,Diesel,mitsubishi,No,2016-03-26 00:00:00,60489,2016-03-27 12:38:54,2016,2016,March,March,1,12,18,9
2016-03-22 23:36:16,Mitsubishi_Galloper__7_Sitzer__3_t_Anhaengelast,privat,Offer,1200,test,suv,1999,manuell,99,andere,150000,Jul,Diesel,mitsubishi,No,2016-03-22 00:00:00,83646,2016-04-07 06:46:24,2016,2016,March,March,16,6,17,5
2016-03-15 08:54:23,Pajero_V_60_3_2_DiD_3__Tuerig,privat,Offer,7800,test,suv,2003,manuell,160,pajero,150000,Sep,Diesel,mitsubishi,No,2016-03-15 00:00:00,91257,2016-03-28 18:16:06,2016,2016,March,March,13,18,13,3
2016-03-05 18:56:47,Mitsubishi_Pajero_3.2_DI_D,privat,Offer,5250,test,suv,2000,automatik,165,pajero,150000,Sep,Diesel,mitsubishi,No,2016-03-05 00:00:00,61169,2016-03-25 19:16:29,2016,2016,March,March,20,19,16,3
2016-03-20 17:37:24,Mitsubishi_Pajero_3.2_DI_D_Automatik_Dakar,privat,Offer,10500,test,suv,2005,automatik,160,pajero,150000,Jul,Diesel,mitsubishi,No,2016-03-20 00:00:00,76889,2016-04-06 23:46:33,2016,2016,March,March,17,23,11,5
2016-04-01 14:51:52,Mitsubishi_Pajero_2800_TD_GLX,privat,Offer,5300,test,suv,1999,manuell,125,pajero,150000,Nov,Diesel,mitsubishi,No,2016-04-01 00:00:00,67454,2016-04-07 12:15:35,2016,2016,April,April,6,12,17,1
2016-03-24 15:52:09,Mitsubishi_Pajero_2800_TD_GLS_Klima,privat,Offer,3500,test,suv,1998,manuell,125,pajero,150000,May,Diesel,mitsubishi,No,2016-03-24 00:00:00,47661,2016-03-30 17:17:19,2016,2016,March,March,6,17,18,7
2016-03-18 15:37:20,Mitsubishi_Pajero_Pinin_2.0_GDI_Styling,privat,Offer,1600,control,suv,2001,manuell,129,andere,125000,Apr,Gasoline,mitsubishi,No,2016-03-18 00:00:00,94227,2016-03-18 15:37:20,2016,2016,March,March,0,15,15,8
2016-03-09 15:38:59,Mitsubishi_L200_Pick_Up_4x4_Invite_Double_Cab,privat,Offer,8900,control,suv,2007,manuell,136,andere,150000,Jun,Diesel,mitsubishi,No,2016-03-09 00:00:00,63741,2016-03-10 11:16:48,2016,2016,March,March,1,11,9,6
2016-04-03 20:54:04,Mitsubishi_Pajero_2600,privat,Offer,3650,test,suv,1988,manuell,103,pajero,150000,Aug,Lpg,mitsubishi,No,2016-04-03 00:00:00,53757,2016-04-05 21:47:10,2016,2016,April,April,2,21,28,4
2016-03-30 19:47:59,Mitsubishi_Pajero_3.2_DI_D_Elegance,privat,Offer,8900,test,suv,2003,automatik,160,pajero,150000,Mar,Diesel,mitsubishi,No,2016-03-30 00:00:00,66606,2016-04-07 11:45:24,2016,2016,March,March,8,11,13,9
2016-03-10 11:49:25,Mitsubishi_Pajero_Sport_3.0_V6,privat,Offer,4250,test,suv,2000,automatik,177,pajero,150000,May,Gasoline,mitsubishi,No,2016-03-10 00:00:00,84172,2016-03-12 15:18:03,2016,2016,March,March,2,15,16,7
2016-03-21 13:46:24,Mitsubishi_Pajero_Pinin_mit_Offroadreifen,privat,Offer,4700,test,suv,2001,manuell,129,pajero,100000,Jun,Gasoline,mitsubishi,No,2016-03-21 00:00:00,21698,2016-04-06 09:17:47,2016,2016,March,March,16,9,15,6
2016-03-06 14:37:23,Mitsubishi_Space_Runner_2_4_GDI_HU_11.2016,privat,Offer,600,control,suv,1999,manuell,150,andere,150000,Sep,Gasoline,mitsubishi,Yes,2016-03-06 00:00:00,91217,2016-03-16 13:46:20,2016,2016,March,March,10,13,17,3
2016-03-15 09:49:02,Verkaufen_mitsubishi_pajero__mit_leichten_Front_schaden,privat,Offer,900,control,suv,1997,manuell,177,pajero,150000,Jan,Other,mitsubishi,Yes,2016-03-15 00:00:00,26427,2016-03-18 02:17:04,2016,2016,March,March,3,2,19,11
2016-03-19 08:54:31,SUV___Outlander,privat,Offer,3200,test,suv,2003,manuell,160,outlander,150000,Jan,Lpg,mitsubishi,Yes,2016-03-19 00:00:00,66287,2016-04-06 07:17:36,2016,2016,March,March,18,7,13,11
