dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 23:54:52,Nissan_Vanette_LKW_ZULASSUNG_FÜR_EXPORT_KEIN_TÜV,privat,Offer,750,control,andere,1998,manuell,0,andere,150000,Nov,Diesel,nissan,Yes,2016-04-03 00:00:00,29633,2016-04-06 08:16:25,2016,2016,April,April,3,8,18,1
2016-03-05 22:56:16,Nissan_Almera_Tino_1_8_Benzin,privat,Offer,5289,control,andere,2003,manuell,0,almera,70000,Jan,Gasoline,nissan,No,2016-03-05 00:00:00,86161,2016-04-05 13:46:08,2016,2016,March,March,31,13,13,11
2016-03-22 20:50:41,Nissan_Almera,privat,Offer,750,control,andere,1998,manuell,90,almera,125000,Mar,Gasoline,nissan,No,2016-03-22 00:00:00,70619,2016-03-24 05:16:56,2016,2016,March,March,2,5,18,9
2016-03-25 18:48:28,Nissan_Sunny_Kastenwagen,privat,Offer,300,test,andere,1993,manuell,40,andere,150000,Jun,Diesel,nissan,Yes,2016-03-25 00:00:00,14798,2016-04-04 22:15:51,2016,2016,March,March,10,22,23,6
2016-03-13 20:37:41,Nissan_Pixo_Kleinwagen_/Stadtwagen,privat,Offer,4150,control,andere,2009,manuell,68,andere,50000,Oct,Gasoline,nissan,No,2016-03-13 00:00:00,66333,2016-03-13 20:37:41,2016,2016,March,March,0,20,7,2
2016-03-14 12:51:46,Nissan_Sunny_Kastenwagen_Hundefaenger,privat,Offer,1100,test,andere,1996,manuell,54,Other,150000,Feb,Other,nissan,No,2016-03-14 00:00:00,17109,2016-04-05 12:47:44,2016,2016,March,March,22,12,20,10
2016-04-02 02:37:12,Nissan_200_sx_S13,privat,Offer,6950,control,andere,1990,automatik,169,andere,150000,Jun,Gasoline,nissan,Other,2016-04-02 00:00:00,68766,2016-04-06 06:17:36,2016,2016,April,April,4,6,26,6
2016-03-11 02:36:22,Nissan_Almera_1_6,privat,Offer,400,control,andere,1997,manuell,90,almera,150000,Feb,Gasoline,nissan,Yes,2016-03-11 00:00:00,1619,2016-04-06 01:17:07,2016,2016,March,March,26,1,19,10
2016-03-12 22:41:16,Nissan_Qashqai_mit_47_km,privat,Offer,5999,control,andere,2010,Unspecified,0,qashqai,50000,May,Gasoline,nissan,Other,2016-03-12 00:00:00,39106,2016-03-16 05:19:09,2016,2016,March,March,4,5,6,7
2016-04-01 18:36:50,Transporter,privat,Offer,4000,control,andere,2012,Unspecified,0,andere,60000,Jan,Diesel,nissan,Other,2016-04-01 00:00:00,18198,2016-04-01 18:36:50,2016,2016,April,April,0,18,4,11
2016-04-02 16:56:52,Nissan_Micra_zu_verkaufen,privat,Offer,950,control,andere,2002,manuell,0,micra,70000,Oct,,nissan,Yes,2016-04-02 00:00:00,86157,2016-04-02 16:56:52,2016,2016,April,April,0,16,14,2
2016-03-30 13:52:07,Nissan_X_trel_Diesel_KETTE_Überschprungen,privat,Offer,2700,test,andere,2004,manuell,0,x_trail,150000,Nov,Diesel,nissan,Other,2016-03-30 00:00:00,48712,2016-04-01 07:49:44,2016,2016,March,March,2,7,12,1
2016-03-24 11:37:55,Nissan_primera_zum_ausschlachten,privat,Offer,0,test,andere,2004,manuell,116,primera,150000,Jul,Gasoline,nissan,Yes,2016-03-24 00:00:00,12047,2016-03-24 11:37:55,2016,2016,March,March,0,11,12,5
2016-03-07 12:59:02,Nissan_interstar_TÜV,privat,Offer,3500,test,andere,2004,manuell,116,andere,150000,Aug,Diesel,nissan,No,2016-03-07 00:00:00,23554,2016-03-19 07:17:13,2016,2016,March,March,12,7,12,4
2016-04-07 09:36:22,Nissan_Almera_Tino_2.2_gepflegt,privat,Offer,1500,control,andere,2003,manuell,136,almera,150000,May,Diesel,nissan,No,2016-04-07 00:00:00,96231,2016-04-07 09:36:22,2016,2016,April,April,0,9,13,7
2016-03-22 22:38:00,Nissan_Kubistar_80__Renault_Kangoo_gleich_,privat,Offer,2800,control,andere,2004,manuell,82,andere,100000,Jan,Diesel,nissan,No,2016-03-22 00:00:00,90522,2016-03-23 02:41:55,2016,2016,March,March,1,2,12,11
2016-04-01 09:36:18,NISSAN___PICK_UP,privat,Offer,2500,test,andere,1992,manuell,80,andere,150000,Nov,Diesel,nissan,Other,2016-04-01 00:00:00,15517,2016-04-03 06:16:14,2016,2016,April,April,2,6,24,1
2016-03-13 19:22:15,Nissan_Terrano_2,privat,Offer,1800,test,andere,2002,manuell,125,andere,150000,Jan,Diesel,nissan,Other,2016-03-13 00:00:00,56332,2016-03-14 14:21:24,2016,2016,March,March,1,14,14,11
