dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 11:37:22,Nissan_vinette_2_4_l_diesel,privat,Offer,700,test,bus,1999,Unspecified,75,Other,150000,May,Other,nissan,No,2016-03-09 00:00:00,86343,2016-03-09 12:40:37,2016,2016,March,March,0,12,17,7
2016-03-14 21:40:02,Nissan_Note_1.6_Aut.,privat,Offer,4800,test,bus,2007,automatik,110,note,90000,Apr,Gasoline,nissan,Yes,2016-03-14 00:00:00,25776,2016-04-06 11:46:20,2016,2016,March,March,23,11,9,8
2016-03-09 17:50:46,Nissan_Note_1.5_dci_I_Way,privat,Offer,7250,test,bus,2011,manuell,90,note,80000,May,Diesel,nissan,No,2016-03-09 00:00:00,78573,2016-03-22 03:46:14,2016,2016,March,March,13,3,5,7
2016-03-23 10:38:56,Nissan_Note_1.4_visia,privat,Offer,2900,control,bus,2007,manuell,88,note,125000,Oct,Gasoline,nissan,No,2016-03-23 00:00:00,7545,2016-03-23 10:38:56,2016,2016,March,March,0,10,9,2
2016-03-21 16:42:18,Verkaufe_serena._2l_gruene_Plakette_7sitzer_ahk1600kg_Klima_servo,privat,Offer,800,control,bus,1997,Unspecified,127,Other,150000,Feb,Gasoline,nissan,Yes,2016-03-21 00:00:00,59073,2016-04-02 16:45:18,2016,2016,March,March,12,16,19,10
2016-04-03 22:46:45,Nissan_Note_1.5_dci__Klima_8_fach_bereift,privat,Offer,10999,control,bus,2013,manuell,90,note,40000,Nov,Diesel,nissan,No,2016-04-03 00:00:00,79871,2016-04-05 23:47:02,2016,2016,April,April,2,23,3,1
2016-03-31 08:56:07,Nissan_Almera_Tino,privat,Offer,3799,control,bus,2004,automatik,116,almera,60000,May,Gasoline,nissan,Other,2016-03-31 00:00:00,53840,2016-04-06 02:45:04,2016,2016,March,March,6,2,12,7
2016-03-29 12:55:41,Nissan_interested_disel,privat,Offer,0,test,bus,2005,manuell,115,andere,150000,Jan,Other,nissan,No,2016-03-29 00:00:00,66538,2016-03-29 13:40:38,2016,2016,March,March,0,13,11,11
2016-03-30 19:55:53,Nissan_Note_1.4,privat,Offer,6200,test,bus,2009,manuell,88,note,40000,Apr,Gasoline,nissan,No,2016-03-30 00:00:00,15537,2016-04-07 11:45:54,2016,2016,March,March,8,11,7,8
2016-04-04 16:59:31,Nissan_Note_1.5_dci_DPF_acenta,privat,Offer,5500,test,bus,2011,manuell,90,note,125000,Nov,Diesel,nissan,No,2016-04-04 00:00:00,85614,2016-04-06 19:17:23,2016,2016,April,April,2,19,5,1
2016-03-19 21:53:15,Nissan_Almera_Tino_Comfort____105000_KM,privat,Offer,2890,control,bus,2002,manuell,114,almera,125000,Oct,Gasoline,nissan,No,2016-03-19 00:00:00,53227,2016-03-27 16:44:46,2016,2016,March,March,8,16,14,2
2016-03-23 20:25:21,Nissan_Note_1.4_acenta,privat,Offer,3570,control,bus,2007,manuell,88,note,125000,Sep,Gasoline,nissan,No,2016-03-23 00:00:00,56470,2016-04-06 23:17:25,2016,2016,March,March,14,23,9,3
2016-03-11 05:36:17,Nissan_almera_tino,privat,Offer,0,control,bus,2003,manuell,0,Other,90000,Jan,Gasoline,nissan,Other,2016-03-11 00:00:00,98528,2016-03-11 08:48:46,2016,2016,March,March,0,8,13,11
2016-03-24 12:25:21,Nissan_Almera_Tino_CVT,privat,Offer,4600,test,bus,2001,automatik,136,almera,100000,Apr,Gasoline,nissan,No,2016-03-24 00:00:00,35583,2016-03-27 22:46:45,2016,2016,March,March,3,22,15,8
2016-03-19 08:36:24,Nissan_Serena_1.6_Magic,privat,Offer,1550,test,bus,2000,manuell,97,andere,150000,Mar,Gasoline,nissan,No,2016-03-19 00:00:00,10827,2016-03-20 09:48:15,2016,2016,March,March,1,9,16,9
2016-03-15 15:56:50,Nissan_Tino,privat,Offer,920,control,bus,2002,manuell,0,andere,150000,Jan,Diesel,nissan,Other,2016-03-15 00:00:00,38642,2016-04-06 10:15:50,2016,2016,March,March,22,10,14,11
2016-03-12 14:39:31,Nissan_Almera_Tino_dCi_acenta_PLUS,privat,Offer,4300,test,bus,2005,manuell,136,almera,150000,Jul,Diesel,nissan,No,2016-03-12 00:00:00,31157,2016-04-06 23:17:04,2016,2016,March,March,25,23,11,5
2016-03-23 19:58:11,Nissan_Almera_Tino_dCi_acenta.Klimatronic_Alufelgen,privat,Offer,1499,control,bus,2004,manuell,111,almera,150000,Oct,Diesel,nissan,No,2016-03-23 00:00:00,52066,2016-03-31 08:47:10,2016,2016,March,March,8,8,12,2
2016-03-09 21:58:16,Transporter_nissan_interstar_BJ_2010_L2H2_preis_inkl.mehrwertsteu,privat,Offer,5555,test,bus,2010,manuell,120,andere,150000,Apr,Diesel,nissan,No,2016-03-09 00:00:00,15517,2016-03-14 19:16:08,2016,2016,March,March,5,19,6,8
2016-03-27 16:53:55,Nissan_Note_1.4_visia,privat,Offer,3700,test,bus,2007,manuell,88,note,150000,Mar,Gasoline,nissan,No,2016-03-27 00:00:00,1737,2016-04-05 12:44:31,2016,2016,March,March,9,12,9,9
2016-03-21 18:45:47,Nissan_Primastar_wie_Opel_Vivaro_Renault_Travic,privat,Offer,4500,test,bus,2003,manuell,135,andere,150000,Jan,Diesel,nissan,Other,2016-03-21 00:00:00,35423,2016-04-06 20:19:06,2016,2016,March,March,16,20,13,11
2016-04-03 12:57:40,Nissan_Vanette_Cargo,privat,Offer,750,control,bus,1998,manuell,75,andere,150000,May,Diesel,nissan,No,2016-04-03 00:00:00,66663,2016-04-05 11:47:19,2016,2016,April,April,2,11,18,7
