dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-29 13:56:25,Nissan_Micra_1.2_Tuev_Neu_Maerz_2018_OHNE_MÄNGEL_Top_Zustand,privat,Offer,1999,control,kleinwagen,2003,manuell,65,micra,80000,Jun,Gasoline,nissan,No,2016-03-29 00:00:00,70376,2016-03-29 13:56:25,2016,2016,March,March,0,13,13,6
2016-03-26 10:50:30,Nissan_Micra_K12,privat,Offer,2100,test,kleinwagen,2004,manuell,65,micra,150000,Jan,Gasoline,nissan,No,2016-03-26 00:00:00,10555,2016-03-26 11:41:07,2016,2016,March,March,0,11,12,11
2016-03-28 12:46:22,Nissan_Micra_in_blau,privat,Offer,300,test,kleinwagen,1996,manuell,55,micra,150000,Feb,Other,nissan,Other,2016-03-28 00:00:00,49716,2016-04-06 15:44:59,2016,2016,March,March,9,15,20,10
2016-03-08 14:53:30,Nissan_Micra_1.2,privat,Offer,3999,test,kleinwagen,2009,manuell,65,micra,40000,Jul,Gasoline,nissan,No,2016-03-08 00:00:00,4639,2016-04-06 03:17:10,2016,2016,March,March,29,3,7,5
2016-03-09 18:06:18,Zu_verkaufen_nissan__micra,privat,Offer,1450,control,kleinwagen,2003,manuell,0,Other,125000,Jan,Gasoline,nissan,Other,2016-03-09 00:00:00,60386,2016-03-10 19:36:38,2016,2016,March,March,1,19,13,11
2016-03-16 15:58:36,Nissan_Micra_1.0_K11_Style__San_Remo_,privat,Offer,777,test,kleinwagen,1999,manuell,0,micra,150000,Jan,Gasoline,nissan,Other,2016-03-16 00:00:00,98630,2016-03-16 15:58:36,2016,2016,March,March,0,15,17,11
2016-04-04 14:00:05,Nissan_Micra_K12__1_5_dci_Bj_12/2005_CD/Radio_Klima_Servo_Euro_4,privat,Offer,1900,control,kleinwagen,2005,manuell,68,micra,150000,Nov,Diesel,nissan,No,2016-04-04 00:00:00,30890,2016-04-06 15:46:10,2016,2016,April,April,2,15,11,1
2016-03-27 13:41:31,kleiner_micra_mit_neuem_tuev,privat,Offer,999,test,kleinwagen,2000,manuell,55,micra,150000,Apr,Gasoline,nissan,Other,2016-03-27 00:00:00,12351,2016-04-03 08:45:01,2016,2016,March,March,7,8,16,8
2016-03-31 18:38:32,Nissan_Almera_1_4_Klima_Vollfahrbereit_Top_Zustand,privat,Offer,1350,control,kleinwagen,1998,manuell,75,almera,90000,Nov,Gasoline,nissan,No,2016-03-31 00:00:00,52477,2016-04-06 12:16:13,2016,2016,March,March,6,12,18,1
2016-03-09 18:52:28,Nissan_Micra,privat,Offer,699,test,kleinwagen,1996,manuell,0,micra,150000,May,Gasoline,nissan,No,2016-03-09 00:00:00,38518,2016-04-07 14:56:19,2016,2016,March,March,29,14,20,7
