dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 22:48:34,Nissan_Primera__2_0_,privat,Offer,0,control,kombi,1999,manuell,0,Other,150000,Nov,Gasoline,nissan,Yes,2016-03-28 00:00:00,39418,2016-03-30 15:46:37,2016,2016,March,March,2,15,17,1
2016-03-27 11:50:53,Nissan_Primiera_2.0L_Klima_Servo_96KW_Zentral_03/17_Tuev_Anhaengerk,privat,Offer,430,test,kombi,1999,manuell,0,primera,150000,Jun,Gasoline,nissan,No,2016-03-27 00:00:00,59581,2016-03-27 11:50:53,2016,2016,March,March,0,11,17,6
2016-04-04 14:54:37,Nissan_Primera_Traveller_1.6_Navigation__Klima__TÜV_NEU,privat,Offer,1250,test,kombi,1999,manuell,99,primera,150000,Apr,Gasoline,nissan,No,2016-04-04 00:00:00,52249,2016-04-06 16:17:41,2016,2016,April,April,2,16,17,8
2016-03-31 09:56:12,Nissan_Primera,privat,Offer,1111,control,kombi,2004,manuell,0,primera,150000,Jan,Gasoline,nissan,Other,2016-03-31 00:00:00,17168,2016-03-31 10:39:12,2016,2016,March,March,0,10,12,11
2016-03-10 14:19:21,Nissan_Primera_Traveller_!!!_Fuer_899_,privat,Offer,799,control,kombi,2001,manuell,114,primera,150000,Jan,Gasoline,nissan,Other,2016-03-09 00:00:00,65199,2016-03-17 23:45:30,2016,2016,March,March,8,23,15,11
2016-03-06 12:49:19,Nissan_Primera_Traveller_1.8_xenon_climatronic,privat,Offer,1550,test,kombi,2002,manuell,116,primera,150000,Apr,Gasoline,nissan,No,2016-03-06 00:00:00,63829,2016-04-06 05:45:24,2016,2016,March,March,31,5,14,8
2016-03-15 23:57:42,Nissan_Primera_P11___Ersatzteil_Spender???,privat,Offer,250,control,kombi,1999,manuell,0,primera,150000,Mar,Gasoline,nissan,Other,2016-03-15 00:00:00,7768,2016-03-16 07:43:39,2016,2016,March,March,1,7,17,9
2016-03-09 23:57:29,Mazda_Premacy_1_9_mit.Tuev_bis_7/2017,privat,Offer,1099,test,kombi,2004,manuell,101,Other,125000,Mar,Gasoline,nissan,Other,2016-03-09 00:00:00,18146,2016-03-11 06:16:10,2016,2016,March,March,2,6,12,9
2016-03-12 23:54:15,Nissan_Primera_1.6,privat,Offer,550,control,kombi,1997,manuell,90,primera,150000,Jun,Gasoline,nissan,Other,2016-03-12 00:00:00,78112,2016-03-13 04:46:57,2016,2016,March,March,1,4,19,6
2016-03-28 11:45:14,Nissan_Primera_P12._Traveller_1.8_TÜV._Xenon._Navi_...,privat,Offer,1450,control,kombi,2002,manuell,114,primera,150000,Mar,Gasoline,nissan,Yes,2016-03-28 00:00:00,12099,2016-03-28 11:45:14,2016,2016,March,March,0,11,14,9
