dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-11 19:00:25,OPEL_COMBO_2008__TÜV_Neu_bis_02.2018__DIESEL___LKW_ZULLASUNG,privat,Offer,4290,test,bus,2008,manuell,0,combo,150000,Feb,Diesel,opel,No,2016-03-11 00:00:00,23568,2016-04-05 22:45:32,2016,2016,March,March,25,22,8,10
2016-03-16 18:37:43,Opel_Combo_1.7_DTI___Kasten___Lkw_Zulassung___Euro3,privat,Offer,1100,control,bus,2003,manuell,75,combo,150000,Mar,Diesel,opel,No,2016-03-16 00:00:00,96224,2016-03-24 11:46:38,2016,2016,March,March,8,11,13,9
2016-03-11 18:55:53,Opel_meriva_1.6_16_v_lpg__z16xe_no_OPC,privat,Offer,0,test,bus,2004,manuell,101,meriva,150000,Oct,Lpg,opel,Yes,2016-03-11 00:00:00,27432,2016-03-12 23:47:10,2016,2016,March,March,1,23,12,2
2016-03-22 10:55:42,Opel_Sintra_2.2__7_Sitzer,privat,Offer,300,control,bus,1997,manuell,0,andere,150000,Jul,Gasoline,opel,Other,2016-03-22 00:00:00,24147,2016-03-28 00:15:33,2016,2016,March,March,6,0,19,5
2016-03-23 17:49:30,Opel_Zafira_irmscher,privat,Offer,1799,control,bus,1999,automatik,116,zafira,150000,Jul,Gasoline,opel,No,2016-03-23 00:00:00,64579,2016-03-25 01:45:48,2016,2016,March,March,2,1,17,5
2016-03-05 15:43:56,Opel_Zafira_1.7_CDT_AHK_Regen_Lichtsensor__unfallfrei,privat,Offer,9650,control,bus,2011,manuell,110,zafira,100000,Mar,Diesel,opel,No,2016-03-05 00:00:00,49477,2016-03-06 03:44:26,2016,2016,March,March,1,3,5,9
2016-03-31 23:41:53,Opel_Zafira_1.6_Comfort,privat,Offer,1200,control,bus,2000,manuell,101,zafira,150000,Mar,Gasoline,opel,No,2016-03-31 00:00:00,98553,2016-03-31 23:41:53,2016,2016,March,March,0,23,16,9
2016-03-22 18:56:48,Opel_Zafira_1.8_Njoy_mit_Style_Paket,privat,Offer,2600,control,bus,2005,manuell,125,zafira,150000,May,Gasoline,opel,No,2016-03-22 00:00:00,37539,2016-03-25 11:47:17,2016,2016,March,March,3,11,11,7
2016-03-27 22:54:11,Opel_zafira_1.9_CDTI_Navi__Panoramadach__Sitzheizung__Leder,privat,Offer,5500,test,bus,2005,manuell,150,zafira,150000,Oct,Diesel,opel,No,2016-03-27 00:00:00,27749,2016-04-06 06:17:07,2016,2016,March,March,10,6,11,2
2016-04-01 20:46:13,Opel_Zafira_1_6,privat,Offer,1995,test,bus,2003,manuell,101,zafira,150000,Jul,Gasoline,opel,No,2016-04-01 00:00:00,44287,2016-04-03 17:46:36,2016,2016,April,April,2,17,13,5
