dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 09:57:39,Peugeot_206_cc,privat,Offer,1950,control,Other,2016,manuell,0,2_reihe,150000,Oct,Gasoline,peugeot,No,2016-04-04 00:00:00,44141,2016-04-06 11:44:55,2016,2016,April,April,2,11,0,2
2016-03-30 20:54:11,Peugeot_206_Bastlerfahrzeug,privat,Offer,350,control,Other,2005,automatik,75,2_reihe,90000,Aug,Gasoline,peugeot,No,2016-03-30 00:00:00,34454,2016-04-03 12:20:51,2016,2016,March,March,4,12,11,4
2016-04-03 09:55:36,Peugeot_405_Lpg_mit_TÜV___fahrbereit_..,privat,Offer,800,control,Other,2016,manuell,65,4_reihe,150000,May,Other,peugeot,Other,2016-04-03 00:00:00,52382,2016-04-07 11:17:18,2016,2016,April,April,4,11,0,7
2016-04-01 21:55:26,PEUGEOT_206_90_PREMIUM_HDI_4_TÜRIG,privat,Offer,2200,test,Other,2016,manuell,90,2_reihe,150000,Mar,Diesel,peugeot,No,2016-04-01 00:00:00,21465,2016-04-05 20:18:32,2016,2016,April,April,4,20,0,9
2016-03-31 19:40:38,Peugeout_206_Benziner_an_Bastler_zu_verkaufen.,privat,Offer,650,control,Other,2016,manuell,44,Other,150000,Jan,Other,peugeot,Yes,2016-03-31 00:00:00,64342,2016-04-06 13:45:28,2016,2016,March,March,6,13,0,11
2016-03-17 20:54:47,Slalom_aoto,privat,Offer,350,control,Other,1995,manuell,60,2_reihe,150000,Jan,Other,peugeot,Other,2016-03-17 00:00:00,91781,2016-03-26 02:17:17,2016,2016,March,March,9,2,21,11
2016-03-24 12:57:22,Peugeot_307_2.0hdi_ohne_TUV_fahrbereit,privat,Offer,1300,test,Other,2005,manuell,109,3_reihe,150000,Apr,Diesel,peugeot,No,2016-03-24 00:00:00,73329,2016-03-24 13:44:35,2016,2016,March,March,0,13,11,8
2016-03-11 21:45:37,206_cc_150tkm_tuev_tausch_gg_Kleinwagen/zuzahlung,privat,Offer,2250,test,Other,2016,Unspecified,0,Other,5000,Jan,Gasoline,peugeot,Other,2016-03-11 00:00:00,33649,2016-04-06 06:46:46,2016,2016,March,March,26,6,0,11
2016-04-04 16:48:08,Peugeot_206_TÜV_bis_09/2016_Fahrbereit,privat,Offer,599,test,Other,2016,manuell,60,2_reihe,150000,Aug,Other,peugeot,No,2016-04-04 00:00:00,45143,2016-04-04 16:48:08,2016,2016,April,April,0,16,0,4
2016-03-21 02:00:14,Peugeot_406_combi,privat,Offer,150,test,Other,2000,manuell,138,4_reihe,40000,Jan,Other,peugeot,Yes,2016-03-21 00:00:00,42553,2016-03-22 12:17:08,2016,2016,March,March,1,12,16,11
2016-03-11 17:52:11,Peugeot_307_HDI_mit_geringer_Laufleistung_und_Top_Motor,privat,Offer,2200,control,Other,2016,manuell,107,3_reihe,125000,Aug,Diesel,peugeot,No,2016-03-11 00:00:00,47804,2016-03-12 22:45:29,2016,2016,March,March,1,22,0,4
2016-03-08 20:49:48,Peugeot_206_110_JBL_1_Hand_Original_90TKM,privat,Offer,3200,control,Other,2016,manuell,110,2_reihe,90000,May,Gasoline,peugeot,No,2016-03-08 00:00:00,45327,2016-03-16 07:16:24,2016,2016,March,March,8,7,0,7
2016-03-12 15:55:06,Peugeot__207_cc_1.6_Sport_110kw_//_150_PS,privat,Offer,2600,control,Other,2008,Unspecified,0,andere,100000,May,Gasoline,peugeot,No,2016-03-12 00:00:00,97896,2016-03-16 19:25:09,2016,2016,March,March,4,19,8,7
2016-03-10 15:46:28,Peugeot_206_1.4,privat,Offer,800,test,Other,2016,manuell,75,2_reihe,150000,Sep,Other,peugeot,Other,2016-03-10 00:00:00,86899,2016-04-05 12:19:27,2016,2016,March,March,26,12,0,3
2016-03-13 11:47:56,Peugeot_206,privat,Offer,350,control,Other,2000,Unspecified,0,Other,150000,Jan,Other,peugeot,Other,2016-03-13 00:00:00,6886,2016-03-15 17:45:28,2016,2016,March,March,2,17,16,11
2016-03-08 10:52:42,Peugeot_Partner,privat,Offer,1000,test,Other,2016,manuell,90,Other,150000,Jan,Gasoline,peugeot,Other,2016-03-08 00:00:00,25704,2016-03-22 01:47:25,2016,2016,March,March,14,1,0,11
2016-04-04 17:47:48,Peugeot_806__baugleich_mit_Zitroen_Evasion_Fiat_Ulysse,privat,Offer,500,test,Other,2016,manuell,0,Other,150000,Jan,Diesel,peugeot,Yes,2016-04-04 00:00:00,27619,2016-04-06 19:47:40,2016,2016,April,April,2,19,0,11
2016-03-10 13:47:35,Peugeot_206,privat,Offer,2200,test,Other,2016,manuell,0,2_reihe,100000,Sep,Gasoline,peugeot,Other,2016-03-10 00:00:00,84036,2016-04-07 09:45:31,2016,2016,March,March,28,9,0,3
2016-04-04 13:47:25,Angebot_Peugeot307,privat,Offer,1950,control,Other,2016,manuell,105,3_reihe,150000,Nov,Other,peugeot,No,2016-04-04 00:00:00,45309,2016-04-06 15:15:55,2016,2016,April,April,2,15,0,1
2016-03-31 18:53:14,"Peugeot_306_""Rentnerfahrzeug""",privat,Offer,1350,control,Other,2016,manuell,75,3_reihe,100000,May,Other,peugeot,No,2016-03-31 00:00:00,70374,2016-04-06 12:46:48,2016,2016,March,March,6,12,0,7
2016-03-12 00:59:14,307_90_Grand_Filou_Cool*KLIMA*EPS*TÜV_bis_Nov.16,privat,Offer,3200,test,Other,2016,manuell,88,3_reihe,125000,Jun,Other,peugeot,Yes,2016-03-11 00:00:00,46049,2016-04-05 19:45:09,2016,2016,March,March,25,19,0,6
2016-03-23 09:37:44,Peugeot_206/TÜV:05_2016/_130_000KM,privat,Offer,500,test,Other,2016,manuell,0,Other,150000,Nov,Gasoline,peugeot,Other,2016-03-23 00:00:00,24147,2016-03-23 09:37:44,2016,2016,March,March,0,9,0,1
2016-04-03 23:48:55,Peugeot_106,privat,Offer,250,control,Other,2016,manuell,0,1_reihe,90000,Jan,Gasoline,peugeot,Other,2016-04-03 00:00:00,74078,2016-04-06 05:17:14,2016,2016,April,April,3,5,0,11
