dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 14:59:23,Expert_Kasten_geschlossen,privat,Offer,4760,test,andere,2008,manuell,98,andere,150000,Mar,Diesel,peugeot,Yes,2016-04-01 00:00:00,1809,2016-04-07 12:46:21,2016,2016,April,April,6,12,8,9
2016-03-11 14:51:50,Peugeot_206_TÜV_neu_75_Ps_Kleinwagen,privat,Offer,1600,control,andere,2001,manuell,0,2_reihe,150000,May,Other,peugeot,No,2016-03-11 00:00:00,67363,2016-03-23 11:47:46,2016,2016,March,March,12,11,15,7
2016-03-16 06:36:21,Peugeot_Expert_L1H1,privat,Offer,5800,control,andere,2009,manuell,90,andere,150000,Nov,Diesel,peugeot,No,2016-03-16 00:00:00,94491,2016-03-31 09:46:47,2016,2016,March,March,15,9,7,1
2016-03-09 12:43:24,Peugeot_Boxer_2.2_HDI.Maxi.Klima.6890___Netto.,privat,Offer,7999,control,andere,2009,manuell,101,andere,150000,May,Diesel,peugeot,No,2016-03-09 00:00:00,6366,2016-04-05 19:46:48,2016,2016,March,March,27,19,7,7
2016-03-20 10:50:57,Peugeot_Partner_Bj_1996_Diesel_LKW_Zulassung_69_PS_Ersatzteilspen,privat,Offer,300,control,andere,1996,manuell,69,andere,150000,Jun,Diesel,peugeot,Other,2016-03-20 00:00:00,6849,2016-03-25 09:18:24,2016,2016,March,March,5,9,20,6
2016-03-09 14:37:32,Peugeot_4007_Kupplungsschaden_BELGISCHE_ANMELDUNG,privat,Offer,4000,test,andere,2008,manuell,0,4_reihe,150000,Mar,Diesel,peugeot,Other,2016-03-09 00:00:00,52062,2016-03-09 14:37:32,2016,2016,March,March,0,14,8,9
2016-03-07 13:54:55,Peugeot_Partner_HDI_4x4_Allrad_AHK,privat,Offer,3990,control,andere,2007,manuell,75,andere,150000,Aug,Diesel,peugeot,No,2016-03-07 00:00:00,6116,2016-03-11 11:44:23,2016,2016,March,March,4,11,9,4
2016-03-06 23:49:16,Peugeot_Partner_2.0_HDI,privat,Offer,2300,control,andere,2003,manuell,90,andere,150000,Oct,Diesel,peugeot,No,2016-03-06 00:00:00,6785,2016-03-11 10:18:07,2016,2016,March,March,5,10,13,2
2016-03-09 11:52:13,Peugeot_Partner_Beulenpest_fuer_Bastler,privat,Offer,750,test,andere,1998,manuell,70,5_reihe,150000,Nov,Diesel,peugeot,No,2016-03-09 00:00:00,48369,2016-03-18 03:17:05,2016,2016,March,March,9,3,18,1
2016-03-17 17:48:03,Peugeot_Boxer,privat,Offer,0,control,andere,2001,Unspecified,0,Other,150000,Jan,Other,peugeot,Other,2016-03-17 00:00:00,18279,2016-04-07 04:17:07,2016,2016,March,March,21,4,15,11
2016-03-11 15:45:26,Peugeot_Partner,privat,Offer,4500,test,andere,2008,manuell,0,andere,125000,Jan,Diesel,peugeot,Other,2016-03-11 00:00:00,3238,2016-03-22 05:47:17,2016,2016,March,March,11,5,8,11
2016-03-09 22:47:32,Verkaeufe_Peugeot,privat,Offer,2000,test,andere,2003,automatik,109,andere,150000,Nov,Gasoline,peugeot,Yes,2016-03-09 00:00:00,19300,2016-04-06 07:46:50,2016,2016,March,March,28,7,13,1
2016-03-23 17:53:25,Peugeot_Transporter_expert,privat,Offer,3250,control,andere,2006,manuell,95,andere,150000,May,Diesel,peugeot,No,2016-03-23 00:00:00,39291,2016-04-05 22:17:56,2016,2016,March,March,13,22,10,7
2016-04-04 21:56:49,Peugeot_Boxer_Maxi,privat,Offer,3900,test,andere,2007,manuell,120,Other,150000,Sep,Diesel,peugeot,Other,2016-04-04 00:00:00,13053,2016-04-07 00:45:20,2016,2016,April,April,3,0,9,3
2016-03-05 14:28:12,Pegeot_206_zu_verkaufen,privat,Offer,650,test,andere,2000,manuell,55,andere,150000,Nov,Gasoline,peugeot,No,2016-03-05 00:00:00,65611,2016-03-06 13:30:56,2016,2016,March,March,1,13,16,1
2016-03-09 23:43:29,Peugeot_106_Tuev_NEU,privat,Offer,400,test,andere,1992,manuell,45,Other,150000,Jan,Gasoline,peugeot,No,2016-03-09 00:00:00,54411,2016-04-06 21:45:55,2016,2016,March,March,28,21,24,11
2016-03-15 19:41:10,PEUGEOT_PARTNER_1.6__TOP_ZUSTAND,privat,Offer,4800,control,andere,2012,manuell,90,andere,5000,Feb,Diesel,peugeot,Yes,2016-03-15 00:00:00,81737,2016-04-01 01:45:43,2016,2016,March,March,17,1,4,10
2016-04-02 13:53:47,Peugeot_Partner_Tepee_1.6_HDi__TOP,privat,Offer,6999,test,andere,2011,manuell,92,andere,100000,Oct,Other,peugeot,Other,2016-04-02 00:00:00,41061,2016-04-06 12:16:32,2016,2016,April,April,4,12,5,2
2016-03-17 10:56:52,Peugeot_Bipper_1._Hand_Klima_EZ:_2011_km:_110.000_SORTIMO_weiss,privat,Offer,4199,test,andere,2011,manuell,75,andere,125000,May,Diesel,peugeot,No,2016-03-17 00:00:00,41236,2016-04-06 09:15:48,2016,2016,March,March,20,9,5,7
2016-03-08 18:50:10,Peugeot_Partner,privat,Offer,3200,test,andere,2004,manuell,0,andere,150000,Feb,Diesel,peugeot,No,2016-03-08 00:00:00,17153,2016-03-15 06:15:35,2016,2016,March,March,7,6,12,10
2016-04-05 10:58:51,Peugeot_Partner_Kastentransporter__2_0l_HDI__LKW_Zulassung,privat,Offer,1400,control,andere,2000,manuell,90,andere,150000,Jan,Diesel,peugeot,No,2016-04-05 00:00:00,54293,2016-04-05 10:58:51,2016,2016,April,April,0,10,16,11
2016-03-28 16:51:59,Peugeot_Expert_L2H1,privat,Offer,7000,test,andere,2010,manuell,136,Other,70000,Apr,Diesel,peugeot,No,2016-03-28 00:00:00,30890,2016-04-06 22:17:42,2016,2016,March,March,9,22,6,8
2016-04-04 08:53:22,Peugeot_Expert_Geschlossen_Kasten,privat,Offer,5555,control,andere,2007,manuell,90,andere,150000,Jun,Diesel,peugeot,Other,2016-04-04 00:00:00,17153,2016-04-06 10:46:01,2016,2016,April,April,2,10,9,6
2016-03-16 14:55:08,"Peugeot_206_""1.2l""_Tuev_neu""_Gepflegter_Zustand""",privat,Offer,1790,test,andere,2001,manuell,60,2_reihe,125000,Sep,Gasoline,peugeot,Other,2016-03-16 00:00:00,48231,2016-03-28 15:53:27,2016,2016,March,March,12,15,15,3
2016-03-11 15:57:49,Fuer_bastller_abzugeben,privat,Offer,0,test,andere,2001,manuell,0,Other,150000,Jan,Other,peugeot,No,2016-03-11 00:00:00,22119,2016-03-17 01:44:30,2016,2016,March,March,6,1,15,11
2016-03-27 20:46:41,Peugeot_Boxer_290_HDI,privat,Offer,3990,control,andere,2003,manuell,100,andere,100000,Jul,Diesel,peugeot,No,2016-03-27 00:00:00,49610,2016-03-29 10:45:42,2016,2016,March,March,2,10,13,5
2016-04-01 18:44:17,Wohnmobil_zum_wiederherrichten__6_Personen_,privat,Offer,2000,control,andere,1991,manuell,70,andere,5000,Jan,Diesel,peugeot,No,2016-04-01 00:00:00,16303,2016-04-01 18:44:17,2016,2016,April,April,0,18,25,11
2016-03-08 03:58:35,Peugeot_201_Pickup__Angefangene_Restauration_,privat,Offer,8000,control,andere,1930,manuell,23,andere,150000,Jan,Gasoline,peugeot,Other,2016-03-08 00:00:00,74523,2016-03-29 09:45:15,2016,2016,March,March,21,9,86,11
2016-04-04 12:46:38,Peugeot_Partner_Lkw_Kasten,privat,Offer,550,control,andere,2002,manuell,70,andere,150000,Feb,Diesel,peugeot,No,2016-04-04 00:00:00,24106,2016-04-06 13:46:12,2016,2016,April,April,2,13,14,10
2016-03-17 13:47:34,Peogeot_Partner__mit_LKW_Zulassung,privat,Offer,1700,control,andere,2004,manuell,90,Other,150000,Aug,Diesel,peugeot,Yes,2016-03-17 00:00:00,88045,2016-04-06 18:44:36,2016,2016,March,March,20,18,12,4
2016-03-29 15:45:04,Peugeot_Boxer_6_sitzer_mit_Klima,privat,Offer,5899,control,andere,2007,manuell,120,andere,150000,Aug,,peugeot,No,2016-03-29 00:00:00,67112,2016-04-06 01:16:09,2016,2016,March,March,8,1,9,4
2016-04-02 14:56:52,Peugeot_zu_verkaufen,privat,Offer,250,test,andere,1997,manuell,89,3_reihe,150000,Jan,Gasoline,peugeot,Yes,2016-04-02 00:00:00,49152,2016-04-06 13:17:55,2016,2016,April,April,4,13,19,11
2016-04-01 15:46:55,Peugeot_Partner_mit_LKW_Zulassung,privat,Offer,460,test,andere,1998,manuell,70,andere,150000,Nov,Diesel,peugeot,Yes,2016-04-01 00:00:00,49584,2016-04-07 13:17:13,2016,2016,April,April,6,13,18,1
2016-04-02 13:51:25,Peugeot_306_Automatik__TÜV_9.2016,privat,Offer,300,test,andere,1994,automatik,101,3_reihe,150000,Sep,Gasoline,peugeot,Other,2016-04-02 00:00:00,66809,2016-04-02 13:51:25,2016,2016,April,April,0,13,22,3
2016-03-18 17:43:02,Peugeot_Partner_mit_LKW_Zulassung,privat,Offer,650,test,andere,1998,manuell,70,andere,150000,Nov,Diesel,peugeot,Other,2016-03-18 00:00:00,49584,2016-03-31 05:45:28,2016,2016,March,March,13,5,18,1
2016-03-15 11:56:47,Verkaufe_Transporter_Peugeot_230L,privat,Offer,2000,test,andere,2000,manuell,107,andere,100000,Aug,Diesel,peugeot,No,2016-03-15 00:00:00,67166,2016-04-06 00:16:36,2016,2016,March,March,22,0,16,4
2016-03-31 20:51:22,Peugeot_206_in_Grau,privat,Offer,1000,test,andere,2000,manuell,60,2_reihe,150000,Apr,Gasoline,peugeot,No,2016-03-31 00:00:00,63776,2016-04-04 14:45:00,2016,2016,March,March,4,14,16,8
2016-04-01 11:48:20,Peugeot_Partner_Bj_1996_Diesel_LKW_Zulassung_69_PS_Ersatzteilspen,privat,Offer,250,test,andere,1996,manuell,69,andere,150000,Jun,Diesel,peugeot,No,2016-04-01 00:00:00,6849,2016-04-07 08:17:12,2016,2016,April,April,6,8,20,6
2016-03-08 03:57:31,Peugeot_Partner_1_6_Kastenwagen,privat,Offer,7850,control,andere,2011,manuell,99,andere,50000,Jan,Gasoline,peugeot,No,2016-03-08 00:00:00,89077,2016-03-16 03:15:57,2016,2016,March,March,8,3,5,11
2016-03-30 12:45:40,Peugeot_Partner_Kastenwagen__Unfallfrei_,privat,Offer,2299,control,andere,2004,manuell,75,andere,150000,Jul,Gasoline,peugeot,No,2016-03-30 00:00:00,87561,2016-04-05 00:18:01,2016,2016,March,March,6,0,12,5
2016-03-20 17:48:40,Peugeot_207cc_120_VTi,privat,Offer,6000,test,andere,2008,manuell,120,2_reihe,90000,Mar,Gasoline,peugeot,No,2016-03-20 00:00:00,72622,2016-04-07 00:45:50,2016,2016,March,March,18,0,8,9
2016-03-15 12:54:30,eisblauer_Peugeot_206,privat,Offer,2600,control,andere,2003,Unspecified,44,2_reihe,100000,Jan,Gasoline,peugeot,No,2016-03-15 00:00:00,13467,2016-04-06 02:16:01,2016,2016,March,March,22,2,13,11
2016-03-26 22:55:48,Peugeot_206__Silberblau.,privat,Offer,2850,test,andere,2004,manuell,60,2_reihe,150000,Apr,Gasoline,peugeot,No,2016-03-26 00:00:00,66955,2016-03-27 07:41:40,2016,2016,March,March,1,7,12,8
2016-03-15 10:52:30,Peugeot_Expert_1_9_Diesel,privat,Offer,400,control,andere,1998,manuell,0,andere,150000,Jun,Diesel,peugeot,No,2016-03-15 00:00:00,6507,2016-03-15 10:52:30,2016,2016,March,March,0,10,18,6
