dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-23 11:42:10,Peugeot_206_1.4i_TÜV_NEU+8_Fach_Bereift+PANORAMADACH+4_TÜRER+,privat,Offer,1450,test,kleinwagen,1999,manuell,75,2_reihe,150000,Aug,Gasoline,peugeot,No,2016-03-23 00:00:00,21423,2016-04-01 15:15:53,2016,2016,March,March,9,15,17,4
2016-03-08 08:57:34,Peugeot_107_Klima,privat,Offer,5500,test,kleinwagen,2012,manuell,68,Other,40000,Nov,Other,peugeot,No,2016-03-08 00:00:00,24536,2016-03-21 21:44:28,2016,2016,March,March,13,21,4,1
2016-03-23 23:57:07,Peugeot__F__206_mit_Motorschaden,privat,Offer,300,control,kleinwagen,2001,manuell,0,Other,150000,May,Gasoline,peugeot,Yes,2016-03-23 00:00:00,84579,2016-03-25 15:22:13,2016,2016,March,March,2,15,15,7
2016-03-24 20:46:31,Peugeot_207_75,privat,Offer,4650,test,kleinwagen,2009,manuell,73,2_reihe,70000,Oct,Gasoline,peugeot,No,2016-03-24 00:00:00,50674,2016-03-24 20:46:31,2016,2016,March,March,0,20,7,2
2016-03-21 21:51:41,Peugeot_206_110,privat,Offer,600,control,kleinwagen,2002,manuell,148,2_reihe,150000,Nov,Gasoline,peugeot,Yes,2016-03-21 00:00:00,39387,2016-04-05 00:15:35,2016,2016,March,March,15,0,14,1
2016-03-16 12:48:16,Bastlerfahrzeug_Peugeot_206,privat,Offer,700,test,kleinwagen,2000,manuell,0,2_reihe,150000,May,Gasoline,peugeot,Other,2016-03-16 00:00:00,12529,2016-04-06 07:46:07,2016,2016,March,March,21,7,16,7
2016-03-24 19:54:22,Peugeot_206_135_Sport_S16,privat,Offer,1900,control,kleinwagen,2004,manuell,136,2_reihe,150000,Jun,Gasoline,peugeot,No,2016-03-24 00:00:00,24536,2016-04-05 12:18:03,2016,2016,March,March,12,12,12,6
2016-03-30 19:58:07,Peugeot_206,privat,Offer,1350,test,kleinwagen,2001,manuell,60,2_reihe,150000,Nov,Gasoline,peugeot,No,2016-03-30 00:00:00,30419,2016-04-07 11:45:57,2016,2016,March,March,8,11,15,1
2016-03-12 22:57:06,Peugeot_206_zu_verkaufen,privat,Offer,1850,control,kleinwagen,2003,manuell,0,andere,100000,Jan,Gasoline,peugeot,Other,2016-03-12 00:00:00,66809,2016-04-06 11:15:50,2016,2016,March,March,25,11,13,11
2016-03-11 23:36:16,Peugeot_206+_HDi_eco_70,privat,Offer,5300,test,kleinwagen,2009,manuell,68,2_reihe,100000,Sep,Diesel,peugeot,No,2016-03-11 00:00:00,83329,2016-03-17 04:17:42,2016,2016,March,March,6,4,7,3
2016-03-06 06:36:26,Peugeot_206__im_Tausch_,privat,Offer,0,control,kleinwagen,2005,manuell,75,2_reihe,150000,Jan,Gasoline,peugeot,Other,2016-03-06 00:00:00,50374,2016-04-06 01:46:23,2016,2016,March,March,31,1,11,11
2016-03-30 17:58:44,Peugeot_106_Sketch,privat,Offer,700,control,kleinwagen,1997,manuell,45,1_reihe,150000,Nov,Gasoline,peugeot,No,2016-03-30 00:00:00,59757,2016-04-07 08:46:18,2016,2016,March,March,8,8,19,1
2016-03-19 18:39:31,Peugeot_306_mit_Gasanlage_und_TÜV_bis_12/2016.,privat,Offer,350,test,kleinwagen,1997,manuell,81,3_reihe,150000,Aug,Gasoline,peugeot,Yes,2016-03-19 00:00:00,78713,2016-03-20 20:46:42,2016,2016,March,March,1,20,19,4
2016-03-15 15:58:30,Peugeot_206______1_9_Diesel,privat,Offer,1600,control,kleinwagen,2001,manuell,51,2_reihe,150000,Jan,Diesel,peugeot,Other,2016-03-15 00:00:00,24837,2016-03-16 13:45:41,2016,2016,March,March,1,13,15,11
2016-03-15 21:48:31,Peugeot_Partner,privat,Offer,0,control,kleinwagen,1997,manuell,75,Other,150000,Jul,Gasoline,peugeot,Other,2016-03-15 00:00:00,66424,2016-03-17 18:47:59,2016,2016,March,March,2,18,19,5
2016-04-04 19:36:20,Peugeot_206_75_JBL__Euro_4__TÜV_03/18__1._Hand,privat,Offer,3200,test,kleinwagen,2007,manuell,75,2_reihe,125000,Aug,Gasoline,peugeot,No,2016-04-04 00:00:00,97653,2016-04-06 21:45:16,2016,2016,April,April,2,21,9,4
2016-03-27 14:41:30,Peugeot_106_Typ_II,privat,Offer,850,control,kleinwagen,1996,manuell,45,1_reihe,125000,Aug,Gasoline,peugeot,Other,2016-03-27 00:00:00,63165,2016-04-07 10:46:06,2016,2016,March,March,11,10,20,4
2016-04-03 22:47:03,Peugeot_206_TÜV_SCHECKHEFT_GEPFLEGT_106_TKM_TOP_Zustand,privat,Offer,2650,control,kleinwagen,2004,manuell,88,2_reihe,125000,Jan,Gasoline,peugeot,No,2016-04-03 00:00:00,71069,2016-04-03 22:47:03,2016,2016,April,April,0,22,12,11
2016-03-12 00:36:22,Peugeot_206_75_PS_Blau_TÜV_01/18_Scheckheft_!!!,privat,Offer,1350,test,kleinwagen,1999,manuell,75,2_reihe,150000,Feb,Gasoline,peugeot,No,2016-03-12 00:00:00,32657,2016-04-05 19:45:19,2016,2016,March,March,24,19,17,10
2016-03-22 22:41:33,Hurrikan_grauer_Peugeot__206+,privat,Offer,4900,control,kleinwagen,2009,manuell,69,2_reihe,70000,Oct,Gasoline,peugeot,No,2016-03-22 00:00:00,66583,2016-04-06 18:15:52,2016,2016,March,March,15,18,7,2
2016-03-27 21:58:15,Peugeot_106_Long_beach,privat,Offer,400,test,kleinwagen,1997,manuell,0,andere,150000,Jul,Gasoline,peugeot,Yes,2016-03-27 00:00:00,48734,2016-04-05 22:46:44,2016,2016,March,March,9,22,19,5
2016-03-07 13:54:35,Peugeot_307,privat,Offer,1700,control,kleinwagen,2002,manuell,88,3_reihe,150000,Jun,Gasoline,peugeot,No,2016-03-07 00:00:00,66806,2016-03-19 11:17:22,2016,2016,March,March,12,11,14,6
2016-03-31 16:53:59,Peugeot_206_75,privat,Offer,1100,control,kleinwagen,1999,manuell,75,2_reihe,150000,Oct,Gasoline,peugeot,No,2016-03-31 00:00:00,65589,2016-03-31 21:49:21,2016,2016,March,March,0,21,17,2
2016-03-17 19:48:26,Peugeot_206_90,privat,Offer,899,control,kleinwagen,2003,manuell,88,2_reihe,150000,Nov,Gasoline,peugeot,No,2016-03-17 00:00:00,51588,2016-03-17 19:48:26,2016,2016,March,March,0,19,13,1
2016-03-20 15:41:57,Peugeot_106,privat,Offer,250,control,kleinwagen,1998,manuell,45,1_reihe,150000,Jan,Gasoline,peugeot,Other,2016-03-20 00:00:00,9385,2016-04-04 17:45:57,2016,2016,March,March,15,17,18,11
2016-03-21 16:38:56,Peugeot_206_75_Grand_Filou_Cool,privat,Offer,1995,control,kleinwagen,2002,manuell,75,2_reihe,150000,Apr,Gasoline,peugeot,No,2016-03-21 00:00:00,63667,2016-04-06 15:44:53,2016,2016,March,March,16,15,14,8
2016-03-29 14:57:49,Peugeot_206_S16,privat,Offer,1850,test,kleinwagen,2000,manuell,135,2_reihe,125000,May,Gasoline,peugeot,Other,2016-03-29 00:00:00,56626,2016-04-02 02:17:45,2016,2016,March,March,4,2,16,7
2016-03-23 22:36:41,Peugeot_206_75_Grand_Filou_Cool,privat,Offer,2850,test,kleinwagen,2006,manuell,75,2_reihe,100000,Jul,Gasoline,peugeot,No,2016-03-23 00:00:00,67547,2016-04-06 17:45:25,2016,2016,March,March,14,17,10,5
2016-03-28 20:48:43,Peugeot_206_60_Pop_Art,privat,Offer,2250,control,kleinwagen,2004,manuell,60,2_reihe,125000,May,Gasoline,peugeot,Yes,2016-03-28 00:00:00,78078,2016-04-07 03:45:04,2016,2016,March,March,10,3,12,7
2016-04-02 21:53:15,Peugeot_206_RC_LSD_RuefferPerformance,privat,Offer,2550,test,kleinwagen,2002,manuell,203,2_reihe,150000,Jan,Gasoline,peugeot,No,2016-04-02 00:00:00,33739,2016-04-02 22:40:14,2016,2016,April,April,0,22,14,11
2016-03-15 15:54:16,Peugeot_206_1.1_in_Schwarz___5_Tuerer___60PS___Klima___TÜV_12/2017,privat,Offer,1100,control,kleinwagen,1998,manuell,60,2_reihe,100000,Nov,Gasoline,peugeot,No,2016-03-15 00:00:00,44787,2016-03-16 13:16:31,2016,2016,March,March,1,13,18,1
2016-03-28 19:41:13,Peugeot_206_kaufen/tauschen_Anhaenger_/Auto,privat,Offer,0,control,kleinwagen,1999,manuell,60,3_reihe,150000,Apr,Gasoline,peugeot,Other,2016-03-28 00:00:00,35410,2016-04-03 00:21:57,2016,2016,March,March,6,0,17,8
