dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 02:54:30,Peugeot_307,privat,Offer,1500,test,suv,2001,manuell,110,3_reihe,150000,Jan,Other,peugeot,Other,2016-03-21 00:00:00,90489,2016-03-22 12:17:42,2016,2016,March,March,1,12,15,11
2016-03-31 21:48:04,Peugeot_4007_HDI_FAP_7_Sitzer_Platinum,privat,Offer,15990,test,suv,2010,manuell,156,4_reihe,70000,May,Diesel,peugeot,No,2016-03-31 00:00:00,75245,2016-04-06 17:17:29,2016,2016,March,March,6,17,6,7
2016-03-14 08:52:02,Peugeot_3008_HDi_FAF_150___Diesel___Guter_und_leiser_Fahrkomfort,privat,Offer,9700,test,suv,2011,manuell,150,3_reihe,150000,Oct,Diesel,peugeot,No,2016-03-14 00:00:00,93142,2016-03-30 19:16:16,2016,2016,March,March,16,19,5,2
2016-03-20 09:46:00,Peugeot_2008_1_6_Diesel_e_HDi,privat,Offer,16500,control,suv,2015,manuell,92,Other,10000,Feb,Diesel,peugeot,No,2016-03-20 00:00:00,42389,2016-04-02 07:18:18,2016,2016,March,March,13,7,1,10
2016-03-15 14:57:55,Peugeot_4007_Platinum_5_Sitze,privat,Offer,7550,control,suv,2008,manuell,156,4_reihe,150000,Jun,Diesel,peugeot,No,2016-03-15 00:00:00,87719,2016-04-04 06:19:49,2016,2016,March,March,20,6,8,6
2016-03-05 14:16:47,Peugeot_4007_HDI_FAP_5_Sitzer_Platinum,privat,Offer,8500,test,suv,2009,manuell,156,4_reihe,150000,Jul,Diesel,peugeot,No,2016-03-04 00:00:00,65817,2016-03-10 15:44:25,2016,2016,March,March,6,15,7,5
2016-03-07 16:38:30,Peugeot_Boxer,privat,Offer,8000,control,suv,2008,manuell,160,andere,150000,Mar,Diesel,peugeot,No,2016-03-07 00:00:00,52078,2016-03-12 21:45:09,2016,2016,March,March,5,21,8,9
2016-03-23 12:37:19,Peugeot_4008_HDI_FAP_150_Stop_&_Start_Allure,privat,Offer,17499,control,suv,2012,manuell,150,4_reihe,50000,Aug,Diesel,peugeot,No,2016-03-23 00:00:00,46395,2016-04-03 12:50:09,2016,2016,March,March,11,12,4,4
2016-03-26 20:54:56,PEUGEOT_4007_HDI_2.2_SCHECKHEFTGEPFLEGT,privat,Offer,7999,control,suv,2009,manuell,156,4_reihe,150000,Jun,Diesel,peugeot,Other,2016-03-26 00:00:00,63128,2016-04-04 11:45:23,2016,2016,March,March,9,11,7,6
2016-03-31 10:48:56,Peugeot_4007_HDI_FAP_7_Sitzer_DCS_Platinum_Navi_Vollausstattung,privat,Offer,14750,control,suv,2010,automatik,156,4_reihe,100000,Feb,Diesel,peugeot,No,2016-03-31 00:00:00,54550,2016-04-02 05:46:01,2016,2016,March,March,2,5,6,10
2016-03-21 16:58:49,Peugeot_3008_HDI_150_Premium_2.Hand_Scheckheft_Tempomat,privat,Offer,7500,control,suv,2010,manuell,150,3_reihe,150000,Feb,Diesel,peugeot,No,2016-03-21 00:00:00,31135,2016-03-24 06:17:17,2016,2016,March,March,3,6,6,10
2016-04-05 11:38:58,Peugeot_4007,privat,Offer,7100,test,suv,2009,manuell,155,4_reihe,150000,May,Diesel,peugeot,Other,2016-04-05 00:00:00,23966,2016-04-05 11:38:58,2016,2016,April,April,0,11,7,7
2016-03-11 08:55:19,Peugeot_4007_HDI_FAP_7_Sitzer,privat,Offer,9990,test,suv,2011,manuell,156,4_reihe,150000,Mar,Diesel,peugeot,No,2016-03-11 00:00:00,49134,2016-04-06 09:16:07,2016,2016,March,March,26,9,5,9
2016-03-29 12:54:14,Peugeot_4007_HDI_FAP_7_Sitzer,privat,Offer,6590,test,suv,2008,manuell,156,andere,150000,May,Diesel,peugeot,No,2016-03-29 00:00:00,14797,2016-03-31 05:17:30,2016,2016,March,March,2,5,8,7
2016-04-01 20:56:17,Peugeot_4007_4x4_Navigation_Leder,privat,Offer,13999,test,suv,2009,manuell,157,andere,150000,Jan,Diesel,peugeot,Other,2016-04-01 00:00:00,17039,2016-04-05 18:19:11,2016,2016,April,April,4,18,7,11
2016-03-14 20:58:18,Peugeot_4007_scheckheftgepflegt,privat,Offer,8000,control,suv,2009,manuell,156,4_reihe,150000,Jun,Diesel,peugeot,Other,2016-03-14 00:00:00,63128,2016-03-25 10:19:12,2016,2016,March,March,11,10,7,6
