dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-06 00:25:25,SUCHE_Porsche_944_II_/_S_Modell_ab_Bj._87_oder_...,privat,Offer,1,control,Other,1990,manuell,0,andere,150000,Jan,Other,porsche,Other,2016-03-05 00:00:00,65843,2016-04-06 20:19:08,2016,2016,March,March,32,20,26,11
2016-03-19 22:36:20,Suche_991_GT3_bis_140000.__Euro,privat,Offer,0,test,Other,2014,Unspecified,0,911,20000,Jan,Other,porsche,Other,2016-03-19 00:00:00,66280,2016-04-06 01:17:33,2016,2016,March,March,18,1,2,11
2016-03-28 11:54:35,Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung,privat,Offer,8,control,Other,2015,Unspecified,0,Other,125000,Jan,Other,porsche,Other,2016-03-28 00:00:00,45128,2016-03-28 11:54:35,2016,2016,March,March,0,11,1,11
2016-03-22 15:52:17,Schoene_super_moderne_auffallende_MODEuhr___Batterie_NEU____!,privat,Offer,65,control,Other,2008,Unspecified,0,911,5000,Jan,Other,porsche,Other,2016-03-22 00:00:00,34119,2016-03-22 15:52:17,2016,2016,March,March,0,15,8,11
2016-03-24 11:47:50,Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung_400,privat,Offer,8,test,Other,2015,Unspecified,0,Other,20000,Jan,Other,porsche,Other,2016-03-24 00:00:00,50678,2016-03-30 11:48:20,2016,2016,March,March,6,11,1,11
2016-03-11 09:36:54,Porsche_Drivers_Collection___Cayman_S___NEU__OVP__1:43,privat,Offer,15,control,Other,2015,Unspecified,0,boxster,5000,Jan,Other,porsche,Other,2016-03-11 00:00:00,82031,2016-04-06 09:16:06,2016,2016,March,March,26,9,1,11
2016-03-31 13:44:47,300_Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung,privat,Offer,8,control,Other,2005,Unspecified,0,Other,20000,Jan,Other,porsche,Other,2016-03-31 00:00:00,50678,2016-03-31 13:44:47,2016,2016,March,March,0,13,11,11
2016-03-24 09:54:03,Porsche_944_Turbo_Karosserie,privat,Offer,944,control,Other,1990,Unspecified,0,andere,100000,Jan,Other,porsche,Other,2016-03-24 00:00:00,91522,2016-03-28 18:18:45,2016,2016,March,March,4,18,26,11
2016-03-20 20:54:33,Das_grosse_Buch_der_Porsche_Typen_Motorbuch_Verlag,privat,Offer,15,test,Other,1985,Unspecified,0,andere,5000,Jan,Other,porsche,Other,2016-03-20 00:00:00,21502,2016-04-07 05:46:03,2016,2016,March,March,18,5,31,11
2016-03-20 15:45:45,Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung_400,privat,Offer,8,control,Other,2015,Unspecified,0,Other,70000,Jan,Other,porsche,Other,2016-03-20 00:00:00,50672,2016-03-21 18:18:51,2016,2016,March,March,1,18,1,11
2016-03-07 15:57:57,Porsche_924_BJ_1981_Scheunenfund,privat,Offer,1300,control,Other,1985,manuell,125,andere,150000,Apr,Gasoline,porsche,Other,2016-03-07 00:00:00,47608,2016-03-26 05:16:51,2016,2016,March,March,19,5,31,8
2016-03-17 00:36:58,500_Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung,privat,Offer,8,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,porsche,Other,2016-03-16 00:00:00,50678,2016-03-17 07:39:14,2016,2016,March,March,1,7,1,11
2016-03-05 15:56:24,Porsche_911,privat,Offer,140,control,Other,1970,Unspecified,0,911,5000,Jan,Other,porsche,Other,2016-03-05 00:00:00,88630,2016-03-18 03:19:20,2016,2016,March,March,13,3,46,11
2016-03-09 10:51:31,?Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung_?,privat,Offer,8,control,Other,2015,Unspecified,0,Other,5000,Jan,Other,porsche,Other,2016-03-09 00:00:00,80333,2016-03-10 06:16:30,2016,2016,March,March,1,6,1,11
2016-03-27 00:32:30,Porsche_911_Targa_G_Modell_1976_Rohkarosserie,privat,Offer,1,test,Other,1980,Unspecified,0,911,100000,Jan,Other,porsche,Other,2016-03-26 00:00:00,60311,2016-04-07 01:45:37,2016,2016,March,March,12,1,36,11
2016-03-28 14:48:14,vollelektrische_sitze_fuer_porsche_944,privat,Offer,400,test,Other,1990,Unspecified,0,andere,150000,Jan,Other,porsche,No,2016-03-28 00:00:00,59192,2016-04-06 19:16:04,2016,2016,March,March,9,19,26,11
2016-03-19 18:40:49,Porsche_924_aus_Sammlung,privat,Offer,1850,test,Other,1985,manuell,125,Other,100000,Mar,Gasoline,porsche,Yes,2016-03-19 00:00:00,66459,2016-04-07 11:46:32,2016,2016,March,March,19,11,31,9
2016-03-22 21:48:41,8_und_Boxterfahrer_biete_Handynummer_017...986986,privat,Offer,1,control,Other,2010,Unspecified,0,boxster,5000,Jan,Other,porsche,Other,2016-03-22 00:00:00,85410,2016-04-06 16:45:45,2016,2016,March,March,15,16,6,11
2016-03-24 23:46:26,SUCHE_Porsche_924___944_&_928_aus_Norddeutschland,privat,Offer,1,test,Other,1985,Unspecified,0,andere,150000,Jan,Other,porsche,Other,2016-03-24 00:00:00,24619,2016-04-05 20:19:28,2016,2016,March,March,12,20,31,11
2016-03-21 20:51:15,Porsche_911_Kennzeichen,privat,Offer,500,control,Other,1960,Unspecified,0,911,5000,Jan,Other,porsche,Other,2016-03-21 00:00:00,23843,2016-03-21 20:51:15,2016,2016,March,March,0,20,56,11
2016-04-03 19:49:05,Originaler_Porsche_Kalender_Zu_Verkaufen!,privat,Offer,35,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,porsche,Other,2016-04-03 00:00:00,85456,2016-04-05 20:45:03,2016,2016,April,April,2,20,1,11
2016-03-20 11:49:23,PORSCHE_918_SPYDER_MAGAZIN_christophorus_SAMMLUNG_18!_HEFTE,privat,Offer,0,test,Other,2010,Unspecified,0,911,5000,Jan,Other,porsche,Other,2016-03-20 00:00:00,21224,2016-04-04 09:17:28,2016,2016,March,March,15,9,6,11
2016-03-07 20:51:11,LACKIERARBEITEN_vom_Profi_zum_FAIREN_Preis!!!,privat,Offer,0,test,Other,1990,Unspecified,0,Other,150000,Jan,Other,porsche,Other,2016-03-07 00:00:00,71636,2016-03-08 02:16:48,2016,2016,March,March,1,2,26,11
2016-03-26 11:52:16,Polizei_Porsche_Schnaeppchen,privat,Offer,35,control,Other,2015,Unspecified,0,911,5000,Jan,Other,porsche,Other,2016-03-26 00:00:00,45527,2016-04-05 23:17:10,2016,2016,March,March,10,23,1,11
2016-03-07 15:45:52,exklusiver_Kfz__Stellplatz_in_Adelsdorf,privat,Offer,140,control,Other,2011,Unspecified,0,andere,100000,Jan,Other,porsche,No,2016-03-07 00:00:00,91325,2016-04-07 12:47:17,2016,2016,March,March,31,12,5,11
2016-03-24 19:43:55,Schoene_super_moderne_auffallende_MODEuhr___Batterie_NEU____!,privat,Offer,65,control,Other,2008,Unspecified,0,911,5000,Jan,Other,porsche,Other,2016-03-24 00:00:00,34119,2016-03-29 05:44:22,2016,2016,March,March,5,5,8,11
2016-03-15 14:41:55,Porsche_Macan_S_Diesel_Hochzeitsauto_Mieten_Langzeitmiete_Privat!,privat,Offer,250,control,Other,2015,Unspecified,0,andere,30000,Jan,Other,porsche,Other,2016-03-15 00:00:00,28195,2016-03-17 08:45:56,2016,2016,March,March,2,8,1,11
2016-03-15 23:46:04,Porsche_911_S_2_4_Coupe_Ölklappe_1972,privat,Offer,0,control,Other,2016,manuell,209,911,70000,Jan,Other,porsche,No,2016-03-15 00:00:00,69115,2016-03-17 21:17:09,2016,2016,March,March,2,21,0,11
2016-03-11 18:53:15,Porsche_Cayenne_mieten?,privat,Offer,0,test,Other,2006,automatik,0,Other,150000,Jan,Gasoline,porsche,Other,2016-03-11 00:00:00,44147,2016-03-11 18:53:15,2016,2016,March,March,0,18,10,11
2016-03-12 16:58:40,Porsche_Mieten_???,privat,Offer,0,control,Other,2006,automatik,0,Other,150000,Jan,Gasoline,porsche,Other,2016-03-12 00:00:00,58239,2016-03-12 16:58:40,2016,2016,March,March,0,16,10,11
2016-04-01 16:43:11,PORSCHE_2016_Kalender_/Ungeoeffnet,privat,Offer,39,control,Other,2015,Unspecified,0,Other,5000,Jan,Other,porsche,Other,2016-04-01 00:00:00,74172,2016-04-05 11:45:10,2016,2016,April,April,4,11,1,11
2016-04-03 20:56:31,Modellauto_991_Carrera_S,privat,Offer,35,test,Other,2015,Unspecified,0,911,5000,Jan,Gasoline,porsche,Other,2016-04-03 00:00:00,47798,2016-04-05 21:47:24,2016,2016,April,April,2,21,1,11
2016-03-26 12:36:44,Auspuff_Porsche_Boxster_S,privat,Offer,80,control,Other,2005,Unspecified,0,boxster,100000,Jan,Other,porsche,Other,2016-03-26 00:00:00,86663,2016-03-28 01:45:23,2016,2016,March,March,2,1,11,11
2016-03-14 22:52:12,Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung,privat,Offer,8,control,Other,2015,Unspecified,0,Other,5000,Jan,Other,porsche,Other,2016-03-14 00:00:00,50933,2016-03-14 22:52:12,2016,2016,March,March,0,22,1,11
2016-04-05 02:01:12,Suche_996_4S_egal_ob_Cabrio_oder_Coupé,privat,Offer,0,control,Other,2005,Unspecified,320,911,150000,Jan,Gasoline,porsche,Other,2016-04-05 00:00:00,97074,2016-04-07 10:17:27,2016,2016,April,April,2,10,11,11
2016-03-20 14:49:02,400_Designer_Pumps_Echt_Leder_Italien_Restposten_Ladenaufloesung,privat,Offer,8,test,Other,2015,Unspecified,0,Other,20000,Jan,Other,porsche,Other,2016-03-20 00:00:00,50670,2016-03-20 14:49:02,2016,2016,March,March,0,14,1,11
2016-03-21 10:52:52,exklusiver_Kfz__Stellplatz_in_Adelsdorf_Oldtimer_youngtimer,privat,Offer,140,test,Other,2011,Unspecified,0,andere,100000,Jan,Other,porsche,No,2016-03-21 00:00:00,91325,2016-04-06 04:16:06,2016,2016,March,March,16,4,5,11
2016-03-07 13:53:33,PORSCHE_356_B_CARNET_DE_SERVICE_ORIGINAL_BLANCO,privat,Offer,600,control,Other,1960,Unspecified,0,andere,5000,Jan,Other,porsche,Other,2016-03-07 00:00:00,10585,2016-04-06 12:44:44,2016,2016,March,March,30,12,56,11
2016-03-23 17:57:14,Schoene_super_moderne_auffallende_MODEuhr___Batterie_NEU____!,privat,Offer,65,control,Other,2008,Unspecified,0,911,5000,Jan,Other,porsche,Other,2016-03-23 00:00:00,34119,2016-03-23 17:57:14,2016,2016,March,March,0,17,8,11
2016-03-24 07:58:24,Suche_Porsche_Cayman_S,privat,Offer,0,control,Other,2006,Unspecified,0,Other,90000,Jan,Other,porsche,Other,2016-03-24 00:00:00,34621,2016-03-27 05:15:57,2016,2016,March,March,3,5,10,11
2016-03-28 14:37:54,Porsche_944_2_5L_Motor_u._5_Gang_Getriebe,privat,Offer,400,test,Other,1990,Unspecified,0,andere,150000,Jan,Other,porsche,Other,2016-03-28 00:00:00,59192,2016-04-06 18:19:14,2016,2016,March,March,9,18,26,11
2016-03-31 11:49:22,Sportauspuff_Porsche_Boxter_986,privat,Offer,280,control,Other,2005,Unspecified,0,boxster,5000,Jan,Other,porsche,Other,2016-03-31 00:00:00,57258,2016-03-31 11:49:22,2016,2016,March,March,0,11,11,11
2016-03-11 15:55:32,Designer_Pumps_Peeptoes_Highhells_Italien_Restposten_Ladenaufloesu,privat,Offer,9,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,porsche,Other,2016-03-11 00:00:00,80333,2016-03-12 05:45:17,2016,2016,March,March,1,5,1,11
2016-03-10 09:37:02,Porsche_Mieten,privat,Offer,0,test,Other,2006,Unspecified,0,cayenne,150000,Jan,Other,porsche,Other,2016-03-10 00:00:00,41189,2016-03-12 11:44:45,2016,2016,March,March,2,11,10,11
2016-03-20 19:55:47,Scheunenfund_Porsche_924_Targa,privat,Offer,1650,test,Other,1980,manuell,125,andere,100000,Apr,Gasoline,porsche,Other,2016-03-20 00:00:00,48727,2016-03-20 19:55:47,2016,2016,March,March,0,19,36,8
2016-03-12 15:42:53,Verkaufe_Porsche_924,privat,Offer,1300,control,Other,1985,manuell,0,andere,90000,Jan,Gasoline,porsche,Yes,2016-03-12 00:00:00,54597,2016-03-12 15:42:53,2016,2016,March,March,0,15,31,11
2016-03-24 18:49:37,PORSCHE_911_GTS___MIETE_399_TAG,privat,Offer,399,test,Other,2015,automatik,430,911,5000,Jan,Other,porsche,Other,2016-03-24 00:00:00,70469,2016-03-24 18:49:37,2016,2016,March,March,0,18,1,11
2016-03-22 19:37:20,Kennzeichen_zu_verkaufen__K_..1___3_stellig__Beispielfoto,privat,Offer,0,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,porsche,Other,2016-03-22 00:00:00,51067,2016-03-28 11:47:55,2016,2016,March,March,6,11,1,11
2016-03-25 10:44:47,?_Porsche_Kalender_2016_?_neu,privat,Offer,20,test,Other,2015,Unspecified,0,andere,5000,Jan,Other,porsche,Other,2016-03-25 00:00:00,70174,2016-03-26 19:47:46,2016,2016,March,March,1,19,1,11
