dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 13:53:53,Porsche_Boxster_Top_Gepflegt_Navi__Xenon__Hardtop,privat,Offer,10450,control,cabrio,2001,manuell,220,boxster,150000,Mar,Gasoline,porsche,No,2016-03-07 00:00:00,6844,2016-04-06 12:44:22,2016,2016,March,March,30,12,15,9
2016-03-12 14:49:39,PORSCHE_BOXSTER_S___Saisonfahrzeug_3/11____erst_55000_km,privat,Offer,19986,test,cabrio,2004,manuell,260,boxster,60000,Jul,Gasoline,porsche,No,2016-03-12 00:00:00,73230,2016-03-12 14:49:39,2016,2016,March,March,0,14,12,5
2016-03-30 17:56:54,Porsche_Boxster_2.7_Facelift__Raffleder__PCM2,privat,Offer,15900,control,cabrio,2003,manuell,228,boxster,90000,Jul,Gasoline,porsche,No,2016-03-30 00:00:00,57368,2016-04-07 09:44:38,2016,2016,March,March,8,9,13,5
2016-03-16 13:55:27,Porsche_Boxster,privat,Offer,5500,control,cabrio,1999,manuell,204,boxster,125000,Jul,Gasoline,porsche,Yes,2016-03-16 00:00:00,74245,2016-04-02 14:18:44,2016,2016,March,March,17,14,17,5
2016-03-24 23:45:42,Porsche_Boxster_S,privat,Offer,14999,test,cabrio,2000,manuell,252,boxster,125000,Jun,Gasoline,porsche,No,2016-03-24 00:00:00,83435,2016-04-05 20:44:26,2016,2016,March,March,12,20,16,6
2016-03-18 23:52:37,Porsche_914_Cabrio,privat,Offer,9000,test,cabrio,1972,manuell,80,andere,125000,May,Gasoline,porsche,No,2016-03-18 00:00:00,59846,2016-03-20 08:18:24,2016,2016,March,March,2,8,44,7
2016-03-21 23:51:17,Porsche_Boxster_TÜV_NEU,privat,Offer,13900,test,cabrio,2003,manuell,228,boxster,90000,Apr,Gasoline,porsche,No,2016-03-21 00:00:00,55271,2016-03-24 20:44:44,2016,2016,March,March,3,20,13,8
2016-03-25 12:57:45,Porsche_Boxster_S,privat,Offer,17500,test,cabrio,2002,automatik,260,boxster,150000,Nov,Gasoline,porsche,No,2016-03-25 00:00:00,66440,2016-04-06 15:44:34,2016,2016,March,March,12,15,14,1
2016-03-29 23:41:53,Porsche_Boxster_986_mit_Cayman_Hardtop__Zeintec_,privat,Offer,14986,control,cabrio,2001,manuell,220,andere,150000,Feb,Gasoline,porsche,No,2016-03-29 00:00:00,45659,2016-04-06 10:44:56,2016,2016,March,March,8,10,15,10
2016-03-06 19:46:39,Porsche_Boxster,privat,Offer,10986,control,cabrio,2000,automatik,220,boxster,150000,Mar,Gasoline,porsche,No,2016-03-06 00:00:00,29456,2016-04-06 22:44:23,2016,2016,March,March,31,22,16,9
2016-03-08 17:46:16,Porsche_Boxster,privat,Offer,11550,control,cabrio,1999,manuell,220,boxster,90000,Sep,Gasoline,porsche,No,2016-03-08 00:00:00,72458,2016-03-09 17:16:47,2016,2016,March,March,1,17,17,3
2016-03-08 12:36:20,Porsche_Boxster_S,privat,Offer,9000,test,cabrio,1998,Unspecified,204,boxster,150000,Jul,Gasoline,porsche,No,2016-03-08 00:00:00,22081,2016-04-05 16:44:47,2016,2016,March,March,28,16,18,5
2016-03-06 17:36:23,Porsche_Boxter_S__Original_Ingo_Noak_Umbau_Einzelstueck_GT3_Look,privat,Offer,19800,control,cabrio,2003,manuell,260,boxster,80000,May,Gasoline,porsche,No,2016-03-06 00:00:00,90530,2016-04-06 22:15:30,2016,2016,March,March,31,22,13,7
2016-03-29 19:56:18,Porsche_Boxster__silbermetallic__unfallfrei__Leder_rot,privat,Offer,11100,control,cabrio,1998,manuell,204,boxster,150000,Jul,Gasoline,porsche,No,2016-03-29 00:00:00,71696,2016-04-06 06:15:55,2016,2016,March,March,8,6,18,5
2016-03-27 20:57:10,Porsche_Boxster_S,privat,Offer,18900,control,cabrio,2001,manuell,252,boxster,70000,Jul,Gasoline,porsche,No,2016-03-27 00:00:00,76228,2016-04-05 20:44:54,2016,2016,March,March,9,20,15,5
2016-03-12 23:51:57,Porsche_914,privat,Offer,19800,control,cabrio,1975,manuell,73,andere,150000,Jul,Gasoline,porsche,No,2016-03-12 00:00:00,85051,2016-03-21 14:18:35,2016,2016,March,March,9,14,41,5
2016-03-18 17:47:33,Porsche_911_Carrera_Cabrio,privat,Offer,16990,test,cabrio,2000,manuell,300,911,150000,Mar,Gasoline,porsche,No,2016-03-18 00:00:00,72393,2016-03-23 18:17:15,2016,2016,March,March,5,18,16,9
2016-03-15 07:36:59,Porsche_Boxster_2_7_Xenon_Leder_Sitzheizung_Klima_HU_neu,privat,Offer,12475,test,cabrio,2001,manuell,220,boxster,150000,Apr,Gasoline,porsche,No,2016-03-15 00:00:00,97084,2016-04-05 17:22:02,2016,2016,March,March,21,17,15,8
2016-03-10 00:53:07,Porsche_Design_Boxster_986_Sondermodell_Vollausstattung_Raritaet_!,privat,Offer,14986,control,cabrio,1998,automatik,204,boxster,125000,May,Gasoline,porsche,No,2016-03-09 00:00:00,46284,2016-03-26 08:17:25,2016,2016,March,March,17,8,18,7
2016-03-14 10:41:27,Porsche_924_cabrio_oldtimer,privat,Offer,5900,control,cabrio,1978,automatik,120,andere,150000,Mar,Gasoline,porsche,No,2016-03-14 00:00:00,49699,2016-03-29 03:16:37,2016,2016,March,March,15,3,38,9
2016-03-10 11:38:36,Porsche_Boxster_2.5_Automatik_Tiptronic,privat,Offer,4950,test,cabrio,1997,automatik,0,Other,150000,May,Gasoline,porsche,Yes,2016-03-10 00:00:00,44866,2016-03-21 16:42:27,2016,2016,March,March,11,16,19,7
2016-03-27 14:43:46,Porsche_Boxster_2_7L_Scheckheft_Tuev_Neu,privat,Offer,11900,control,cabrio,2002,manuell,228,boxster,150000,Oct,Gasoline,porsche,No,2016-03-27 00:00:00,26842,2016-04-07 10:46:10,2016,2016,March,March,11,10,14,2
2016-04-02 18:48:50,Porsche_Boxster,privat,Offer,12986,control,cabrio,2003,automatik,228,boxster,150000,Mar,Gasoline,porsche,No,2016-04-02 00:00:00,46282,2016-04-06 18:47:27,2016,2016,April,April,4,18,13,9
2016-03-25 19:58:28,Porsche_Boxster,privat,Offer,9990,test,cabrio,2000,manuell,220,boxster,150000,May,Gasoline,porsche,No,2016-03-25 00:00:00,20359,2016-04-07 03:16:05,2016,2016,March,March,13,3,16,7
2016-04-03 22:43:14,Porsche_Boxster_S___Xenon__Leder__Hardtop,privat,Offer,19900,control,cabrio,2003,manuell,260,boxster,100000,Jul,Gasoline,porsche,No,2016-04-03 00:00:00,82194,2016-04-05 23:45:00,2016,2016,April,April,2,23,13,5
2016-03-14 06:36:22,Porsche_911___996___Cabrio_Schaltgetriebe,privat,Offer,17900,control,cabrio,1999,manuell,300,911,150000,Jun,Gasoline,porsche,No,2016-03-14 00:00:00,95632,2016-04-07 08:16:23,2016,2016,March,March,24,8,17,6
