dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 22:38:00,Porsche_Cayenne_S_Tiptronic,privat,Offer,19200,control,suv,2005,automatik,340,cayenne,80000,Feb,Gasoline,porsche,No,2016-03-12 00:00:00,73776,2016-04-05 22:16:31,2016,2016,March,March,24,22,11,10
2016-03-16 00:37:16,Porsche_Cayenne_Turbo_inkl._Gewaehrleistung_&_TÜV_11/17,privat,Offer,19500,test,suv,2004,automatik,450,cayenne,125000,Nov,Gasoline,porsche,No,2016-03-16 00:00:00,38448,2016-04-01 22:47:31,2016,2016,March,March,16,22,12,1
2016-03-29 17:41:33,Porsche_Cayenne_S_Tiptronic_S,privat,Offer,11400,control,suv,2006,automatik,340,cayenne,150000,Jul,Gasoline,porsche,No,2016-03-29 00:00:00,21423,2016-04-06 03:16:04,2016,2016,March,March,8,3,10,5
2016-03-07 02:37:10,Porsche_cayenne_S_4_5_mit_prins_lpg_und_20_zoll,privat,Offer,14990,test,suv,2005,automatik,350,Other,150000,Nov,Lpg,porsche,No,2016-03-07 00:00:00,48691,2016-04-05 15:17:00,2016,2016,March,March,29,15,11,1
2016-03-07 19:58:24,Porsche_Cayenne__Artzwagen_Xenon_Leder_Navi,privat,Offer,15999,control,suv,2008,automatik,290,cayenne,150000,Aug,Gasoline,porsche,No,2016-03-07 00:00:00,32657,2016-03-16 23:16:40,2016,2016,March,March,9,23,8,4
2016-03-28 12:53:10,Porsche_Cayenne_S_Tiptronic_S,privat,Offer,16500,test,suv,2005,automatik,340,cayenne,125000,Jul,Gasoline,porsche,No,2016-03-28 00:00:00,52249,2016-04-06 16:15:24,2016,2016,March,March,9,16,11,5
2016-03-25 18:50:35,Porsche_Cayenne_Tiptronic_S,privat,Offer,20000,test,suv,2008,automatik,290,cayenne,125000,Mar,Gasoline,porsche,No,2016-03-25 00:00:00,74177,2016-04-07 00:46:01,2016,2016,March,March,13,0,8,9
2016-04-04 12:51:53,Porsche_Cayenne_Turbo_ORIGINAL_Magnum_Techart_Facelift,privat,Offer,26500,control,suv,2005,automatik,450,cayenne,150000,Apr,Gasoline,porsche,No,2016-04-04 00:00:00,63526,2016-04-06 14:16:16,2016,2016,April,April,2,14,11,8
2016-03-19 19:46:01,Porsche_Cayenne_S___2._Hd._+_PZ_Scheckheft_lueckenlos,privat,Offer,14900,control,suv,2003,automatik,340,cayenne,150000,Aug,Gasoline,porsche,No,2016-03-19 00:00:00,34131,2016-04-07 07:17:27,2016,2016,March,March,19,7,13,4
2016-03-11 19:50:34,Porsche_Cayenne_3.2_V6___250_PS__Tuev_neu__Reserviert_bis_15.03,privat,Offer,11800,test,suv,2005,manuell,250,cayenne,125000,Sep,Gasoline,porsche,No,2016-03-11 00:00:00,73760,2016-03-13 00:40:39,2016,2016,March,March,2,0,11,3
2016-03-12 07:37:18,Porsche_Cayenne_Schalter,privat,Offer,12500,control,suv,2003,manuell,340,cayenne,150000,Mar,Gasoline,porsche,No,2016-03-12 00:00:00,73495,2016-03-17 05:46:12,2016,2016,March,March,5,5,13,9
2016-03-27 20:55:50,Porsche_Cayenne__Tiptronic_Navi_Klima_Xenon_Bose_Luft,privat,Offer,13499,control,suv,2005,automatik,250,cayenne,150000,Nov,Gasoline,porsche,No,2016-03-27 00:00:00,21279,2016-04-05 20:17:26,2016,2016,March,March,9,20,11,1
2016-03-12 16:41:14,Porsche_Porsche_Cayenne_Diesel_GTS/Getriebe_KWS_neu,privat,Offer,22400,control,suv,2009,automatik,239,cayenne,150000,Apr,Diesel,porsche,No,2016-03-12 00:00:00,38259,2016-03-20 21:16:36,2016,2016,March,March,8,21,7,8
2016-04-02 17:53:18,Porsche_Cayenne_Tiptronik_LPG_Gas,privat,Offer,12500,control,suv,2004,automatik,250,cayenne,150000,Apr,Lpg,porsche,No,2016-04-02 00:00:00,33602,2016-04-06 17:17:55,2016,2016,April,April,4,17,12,8
2016-04-05 12:55:59,Cayenne_S_Schaltung,privat,Offer,12500,test,suv,2003,manuell,340,cayenne,150000,Mar,Gasoline,porsche,No,2016-04-05 00:00:00,73495,2016-04-05 12:55:59,2016,2016,April,April,0,12,13,9
2016-03-09 17:53:39,Porsche_Cayenne_S_Tiptronic_AHK_Leder_Navi,privat,Offer,9500,test,suv,2003,automatik,340,cayenne,150000,Jan,Gasoline,porsche,No,2016-03-09 00:00:00,38118,2016-03-15 04:44:38,2016,2016,March,March,6,4,13,11
2016-03-23 14:50:17,Porsche_Cayenne_S_Tiptronic_S,privat,Offer,12500,test,suv,2003,automatik,340,cayenne,150000,Jul,Gasoline,porsche,Yes,2016-03-23 00:00:00,82194,2016-04-05 17:21:31,2016,2016,March,March,13,17,13,5
2016-03-21 10:37:15,Porsche_Cayenne_Turbo_S,privat,Offer,18500,test,suv,2006,automatik,521,cayenne,150000,May,Gasoline,porsche,No,2016-03-21 00:00:00,24939,2016-04-06 03:16:48,2016,2016,March,March,16,3,10,7
2016-03-19 10:54:12,Porsche_Cayenne,privat,Offer,16800,test,suv,2005,automatik,500,cayenne,125000,Apr,Gasoline,porsche,No,2016-03-19 00:00:00,94469,2016-03-25 12:18:35,2016,2016,March,March,6,12,11,8
2016-03-08 18:52:34,Porsche_Cayenne_320_Benziner,privat,Offer,12500,test,suv,2005,automatik,250,cayenne,150000,Jan,Gasoline,porsche,Other,2016-03-08 00:00:00,73635,2016-04-07 14:32:58,2016,2016,March,March,30,14,11,11
