dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 13:39:34,Renault_kangoo_Rapid_Diesel_Kastenwagen_Lkw_Zulassung,privat,Offer,2400,test,andere,2007,manuell,63,kangoo,70000,Mar,Diesel,renault,Other,2016-03-10 00:00:00,12277,2016-03-16 21:15:43,2016,2016,March,March,6,21,9,9
2016-03-13 18:47:38,Renault_Megane_Scenic,privat,Offer,350,test,andere,1996,manuell,0,Other,150000,Nov,Gasoline,renault,Yes,2016-03-13 00:00:00,63065,2016-04-05 20:46:35,2016,2016,March,March,23,20,20,1
2016-03-05 16:39:11,Renault_Midliner_25_km/h_Tracktor,privat,Offer,3500,control,andere,1984,manuell,120,andere,150000,May,Diesel,renault,No,2016-03-05 00:00:00,49733,2016-03-14 13:45:06,2016,2016,March,March,9,13,32,7
2016-03-27 12:52:18,Renault_Twingo,privat,Offer,200,test,andere,1998,manuell,0,twingo,150000,Jan,Gasoline,renault,Other,2016-03-27 00:00:00,27572,2016-04-07 08:17:45,2016,2016,March,March,11,8,18,11
2016-04-04 09:56:16,Verkaufsmobil_Baecker,privat,Offer,4200,control,andere,2000,manuell,0,Other,150000,Jan,Diesel,renault,Other,2016-04-04 00:00:00,17109,2016-04-06 10:46:07,2016,2016,April,April,2,10,16,11
2016-03-16 14:37:16,Renault_rapid,privat,Offer,1100,test,andere,1997,manuell,75,andere,150000,Feb,Gasoline,renault,No,2016-03-16 00:00:00,56767,2016-04-06 16:45:00,2016,2016,March,March,21,16,19,10
2016-04-04 12:55:31,Renault_Kangoo,privat,Offer,999,control,andere,1999,Unspecified,0,kangoo,150000,Mar,Other,renault,Other,2016-04-04 00:00:00,12349,2016-04-06 14:45:19,2016,2016,April,April,2,14,17,9
2016-03-26 10:42:52,Renault_Trafic_ex_Wohnmobil_zum_schlachten,privat,Offer,0,test,andere,2016,Unspecified,0,andere,5000,Jan,Diesel,renault,Yes,2016-03-26 00:00:00,7422,2016-04-05 21:17:31,2016,2016,March,March,10,21,0,11
2016-03-11 16:39:13,Renault_megane_scenic,privat,Offer,700,test,andere,2002,manuell,0,scenic,150000,May,Diesel,renault,No,2016-03-11 00:00:00,38518,2016-03-23 13:49:05,2016,2016,March,March,12,13,14,7
2016-03-28 00:58:17,Renault_Magane_2__2.0L_16V___Autogas/Benzin,privat,Offer,2400,control,andere,2003,manuell,135,megane,150000,Aug,Lpg,renault,No,2016-03-27 00:00:00,27616,2016-03-28 07:47:42,2016,2016,March,March,1,7,13,4
2016-03-14 15:53:15,Renault_Kangoo_4_x_4__ALLRAD__EZ_2006__Tausch_moeglich,privat,Offer,3899,control,andere,2006,manuell,84,kangoo,150000,Feb,Diesel,renault,No,2016-03-14 00:00:00,35716,2016-03-24 09:43:49,2016,2016,March,March,10,9,10,10
2016-03-19 14:54:21,Renault_Kangoo_1.9_Diesel_Tuev_neu_Ahk_...,privat,Offer,1499,test,andere,1999,manuell,90,kangoo,150000,Apr,Diesel,renault,No,2016-03-19 00:00:00,26409,2016-03-21 19:49:19,2016,2016,March,March,2,19,17,8
