dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 17:38:57,Renault_Scenic,privat,Offer,2990,test,bus,2004,manuell,113,scenic,150000,Nov,Gasoline,renault,No,2016-03-07 00:00:00,41836,2016-03-09 06:15:31,2016,2016,March,March,2,6,12,1
2016-03-21 01:59:07,renault_gebraucht,privat,Offer,600,test,bus,1998,manuell,90,scenic,150000,Jun,Gasoline,renault,Yes,2016-03-21 00:00:00,24143,2016-03-26 12:46:25,2016,2016,March,March,5,12,18,6
2016-03-20 18:49:25,Renault_Kangoo_1.2_16V_Authentique,privat,Offer,600,test,bus,2001,manuell,75,kangoo,150000,Nov,Gasoline,renault,Yes,2016-03-20 00:00:00,58553,2016-04-07 02:44:50,2016,2016,March,March,18,2,15,1
2016-03-12 12:40:29,Renault_Grand_Scenic__7_Sitzer__EURO_4,privat,Offer,2950,test,bus,2005,manuell,131,andere,150000,Jun,Diesel,renault,No,2016-03-12 00:00:00,91781,2016-03-17 10:17:56,2016,2016,March,March,5,10,11,6
2016-03-05 16:45:59,Renault_Modus_1.5_dCi_Bj_2005__220000_km_TÜV_NEU,privat,Offer,2000,control,bus,2005,manuell,86,modus,150000,Jun,Diesel,renault,No,2016-03-05 00:00:00,13439,2016-04-07 07:17:06,2016,2016,March,March,33,7,11,6
2016-03-22 09:51:41,Renault_Espace_2.2_Family,privat,Offer,750,test,bus,1994,manuell,107,espace,150000,May,Gasoline,renault,No,2016-03-22 00:00:00,86551,2016-04-05 21:48:11,2016,2016,March,March,14,21,22,7
2016-03-27 14:50:59,verkaufe_Ranault_Grand_Espace_IV_3_0dci___Voll___7Sitze_Leder...,privat,Offer,3250,control,bus,2003,automatik,178,espace,150000,Feb,Diesel,renault,No,2016-03-27 00:00:00,95444,2016-03-29 03:47:18,2016,2016,March,March,2,3,13,10
2016-03-30 17:36:23,RENAULT_Scenic_Van_2003_Tuev_neu__Zahnriemen_und_sehr_vieles_neu_,privat,Offer,2200,control,bus,2003,manuell,113,scenic,150000,Jan,Gasoline,renault,No,2016-03-30 00:00:00,37574,2016-03-30 17:36:23,2016,2016,March,March,0,17,13,11
2016-03-20 16:41:53,Renault_Scenic_1.6_16V_RXE,privat,Offer,1000,test,bus,2000,manuell,107,scenic,125000,Jun,Gasoline,renault,No,2016-03-20 00:00:00,79739,2016-03-30 07:46:08,2016,2016,March,March,10,7,16,6
2016-03-27 20:55:55,Renault_Scenic_TOP_Familienauto,privat,Offer,1100,control,bus,1999,manuell,107,scenic,150000,May,Gasoline,renault,No,2016-03-27 00:00:00,66740,2016-03-29 11:18:08,2016,2016,March,March,2,11,17,7
2016-04-04 21:47:13,Renault_Scenic,privat,Offer,1200,test,bus,2000,manuell,107,scenic,150000,Aug,Gasoline,renault,No,2016-04-04 00:00:00,89081,2016-04-07 00:18:00,2016,2016,April,April,3,0,16,4
2016-03-17 13:55:20,Renault_Kangoo_2003_Tuev_bis_11_2016,privat,Offer,1799,control,bus,2003,manuell,82,kangoo,150000,Oct,Diesel,renault,No,2016-03-17 00:00:00,12526,2016-04-06 20:18:22,2016,2016,March,March,20,20,13,2
2016-04-03 13:47:09,Renault_Trafic_2.0_dCi_Komfort,privat,Offer,3050,control,bus,2006,manuell,114,andere,150000,Nov,Diesel,renault,No,2016-04-03 00:00:00,90489,2016-04-03 13:47:09,2016,2016,April,April,0,13,10,1
2016-04-04 19:53:49,Renault_Scenic_1.5_dCi,privat,Offer,2500,test,bus,2007,manuell,106,scenic,150000,Apr,Diesel,renault,No,2016-04-04 00:00:00,63785,2016-04-06 22:16:59,2016,2016,April,April,2,22,9,8
2016-03-30 22:43:07,Renault_Espace_2.0_16V_RXE,privat,Offer,1700,control,bus,2000,manuell,140,espace,150000,Mar,Gasoline,renault,No,2016-03-30 00:00:00,27729,2016-04-05 13:16:18,2016,2016,March,March,6,13,16,9
2016-03-13 03:36:19,Biete_IN_TEILEN_AN__Renault_Scenic_2__Benziner_Bj:2004__99Kw__2L,privat,Offer,2,test,bus,2004,manuell,135,scenic,150000,Jan,Gasoline,renault,Other,2016-03-13 00:00:00,30926,2016-04-02 15:17:36,2016,2016,March,March,20,15,12,11
2016-04-04 12:53:45,Renault_Modus.,privat,Offer,2800,control,bus,2006,manuell,0,modus,90000,Jan,Other,renault,No,2016-04-04 00:00:00,13159,2016-04-06 14:45:18,2016,2016,April,April,2,14,10,11
2016-03-27 14:47:38,Renault_grand_scenic_1_9_cdi_mit_TÜV,privat,Offer,7500,control,bus,2006,manuell,131,scenic,150000,Oct,Diesel,renault,No,2016-03-27 00:00:00,32105,2016-04-03 10:45:32,2016,2016,March,March,7,10,10,2
2016-03-19 20:58:56,Renault_Trafik,privat,Offer,3950,control,bus,2005,manuell,0,andere,150000,Aug,Diesel,renault,Other,2016-03-19 00:00:00,68219,2016-04-07 09:17:11,2016,2016,March,March,19,9,11,4
2016-03-05 19:39:51,RENAULT_KANGOO_RAPID_1.9D,privat,Offer,1850,test,bus,2002,manuell,0,kangoo,150000,May,Other,renault,No,2016-03-05 00:00:00,12305,2016-03-06 03:17:12,2016,2016,March,March,1,3,14,7
2016-04-03 09:54:58,Renault_Megane_Senice_TÜV_bis_06.16,privat,Offer,110,control,bus,1997,manuell,0,megane,150000,Jun,Gasoline,renault,Other,2016-04-03 00:00:00,14776,2016-04-07 10:45:46,2016,2016,April,April,4,10,19,6
2016-04-03 00:50:54,Renault_senic1_6_16v_Automatik,privat,Offer,0,control,bus,2001,automatik,0,scenic,150000,Jan,Other,renault,Yes,2016-04-02 00:00:00,8538,2016-04-07 07:16:32,2016,2016,April,April,5,7,15,11
2016-03-11 12:54:55,Renault_/_Scenic____1_6___16V_____AHK,privat,Offer,2450,test,bus,2003,manuell,107,scenic,150000,May,Gasoline,renault,No,2016-03-11 00:00:00,26655,2016-03-12 02:16:05,2016,2016,March,March,1,2,13,7
2016-04-02 17:38:41,Renault_Master_L2_H2_150_dci_KLIMA_177000KM_mit_Scheckheft,privat,Offer,5950,control,bus,2007,manuell,145,andere,150000,Nov,Diesel,renault,No,2016-04-02 00:00:00,98574,2016-04-06 16:45:57,2016,2016,April,April,4,16,9,1
2016-03-14 10:48:07,Renault_Grand_Scenic_Exception_1.9_dci,privat,Offer,3800,control,bus,2006,manuell,130,scenic,150000,Nov,Diesel,renault,No,2016-03-14 00:00:00,31655,2016-03-16 22:58:21,2016,2016,March,March,2,22,10,1
2016-04-02 10:38:53,Renault_Trafic,privat,Offer,7500,test,bus,2010,Unspecified,0,andere,150000,Apr,Diesel,renault,No,2016-04-02 00:00:00,45701,2016-04-06 08:15:26,2016,2016,April,April,4,8,6,8
2016-04-07 11:06:33,Renault_Megane,privat,Offer,3300,test,bus,2004,manuell,113,megane,150000,Mar,Gasoline,renault,Yes,2016-04-07 00:00:00,57614,2016-04-07 11:25:19,2016,2016,April,April,0,11,12,9
2016-04-03 13:58:08,Renault_Scenic_1.6_Authentique,privat,Offer,950,control,bus,2002,manuell,107,scenic,125000,Apr,Gasoline,renault,Yes,2016-04-03 00:00:00,87746,2016-04-05 13:18:22,2016,2016,April,April,2,13,14,8
2016-03-07 14:52:53,Renault_Kangoo_1.5_dCi_Expression,privat,Offer,1800,control,bus,2004,manuell,82,kangoo,150000,Jun,Diesel,renault,No,2016-03-07 00:00:00,76744,2016-04-07 06:45:48,2016,2016,March,March,31,6,12,6
2016-03-12 19:53:12,Renault_Scenic_1.6_V,privat,Offer,600,test,bus,2001,manuell,0,scenic,150000,Feb,Gasoline,renault,Yes,2016-03-12 00:00:00,46562,2016-03-12 20:44:21,2016,2016,March,March,0,20,15,10
2016-03-13 00:58:56,Renault_Grand_Scenic_1.6_16V_110_Dynamique_Ev._Mit_Autog,privat,Offer,8499,control,bus,2009,manuell,110,andere,100000,May,Gasoline,renault,No,2016-03-12 00:00:00,38259,2016-03-22 17:44:43,2016,2016,March,March,10,17,7,7
2016-03-25 19:38:20,Renault_Kangoo,privat,Offer,1100,test,bus,2001,manuell,80,kangoo,150000,Aug,Diesel,renault,No,2016-03-25 00:00:00,6667,2016-03-30 10:47:51,2016,2016,March,March,5,10,15,4
2016-03-22 21:53:28,Renault_Kangoo_Happy_Family,privat,Offer,9500,control,bus,2012,manuell,106,Other,50000,Feb,Gasoline,renault,Yes,2016-03-22 00:00:00,71729,2016-03-25 14:49:30,2016,2016,March,March,3,14,4,10
2016-03-20 15:25:25,Renault_Scenic_Exception,privat,Offer,3400,test,bus,2005,manuell,120,scenic,150000,Jun,Diesel,renault,No,2016-03-20 00:00:00,63303,2016-03-27 07:16:00,2016,2016,March,March,7,7,11,6
2016-03-05 14:38:52,Verkaufe_einen_Renault_Scenic__Tuev_bis_10.2017_Angem.Fahrbereit_!,privat,Offer,800,control,bus,1998,manuell,0,scenic,150000,Aug,Gasoline,renault,Other,2016-03-05 00:00:00,13086,2016-03-06 04:15:22,2016,2016,March,March,1,4,18,4
2016-03-12 11:55:07,Renault_Kangoo_1.5_dci,privat,Offer,2399,test,bus,2002,manuell,65,kangoo,125000,Sep,Diesel,renault,No,2016-03-12 00:00:00,53474,2016-03-13 03:16:00,2016,2016,March,March,1,3,14,3
