dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 08:55:50,AB_SOFORT_Renault_19__Chamade__R19__88PS__Ph2__TÜV_05/17,privat,Offer,350,control,limousine,1993,manuell,88,r19,150000,Mar,Gasoline,renault,No,2016-03-12 00:00:00,6895,2016-03-16 08:16:48,2016,2016,March,March,4,8,23,9
2016-03-18 21:37:39,Verkaufe_Renault_Megane_Classic_mit_Klima,privat,Offer,890,control,limousine,2000,manuell,107,megane,150000,Jun,Gasoline,renault,Yes,2016-03-18 00:00:00,41065,2016-03-18 21:37:39,2016,2016,March,March,0,21,16,6
2016-03-31 18:54:19,Renault_Safrane_2.0_16V,privat,Offer,890,control,limousine,1997,manuell,136,andere,100000,Mar,Gasoline,renault,No,2016-03-31 00:00:00,33154,2016-04-04 12:15:24,2016,2016,March,March,4,12,19,9
2016-03-20 00:38:01,Gut_gepflegt,privat,Offer,2799,control,limousine,2003,manuell,135,scenic,5000,Nov,Gasoline,renault,No,2016-03-19 00:00:00,82515,2016-03-26 13:46:29,2016,2016,March,March,7,13,13,1
2016-03-14 10:53:52,Renault_Laguna,privat,Offer,500,control,limousine,1999,manuell,0,laguna,150000,Jan,Gasoline,renault,Yes,2016-03-14 00:00:00,14822,2016-04-07 11:18:03,2016,2016,March,March,24,11,17,11
2016-04-04 00:58:53,Renault_Espace,privat,Offer,0,test,limousine,1999,manuell,0,espace,150000,Mar,Gasoline,renault,No,2016-04-04 00:00:00,13589,2016-04-06 08:44:34,2016,2016,April,April,2,8,17,9
2016-03-08 13:55:30,Renault_Megane_1.6e_RT,privat,Offer,500,control,limousine,1996,manuell,90,megane,125000,Jun,Gasoline,renault,No,2016-03-08 00:00:00,15741,2016-04-05 19:18:27,2016,2016,March,March,28,19,20,6
2016-03-16 17:41:52,Renault_Megane___Tuev_neu__,privat,Offer,950,control,limousine,2001,manuell,81,megane,150000,Feb,Gasoline,renault,Other,2016-03-16 00:00:00,51143,2016-03-19 15:18:14,2016,2016,March,March,3,15,15,10
2016-03-05 16:58:48,Renault_Laguna__B56__MOTOR_DEFEKT_!!!,privat,Offer,0,control,limousine,1997,manuell,115,laguna,150000,Jul,Lpg,renault,Yes,2016-03-05 00:00:00,47623,2016-03-12 04:46:51,2016,2016,March,March,7,4,19,5
2016-04-01 21:41:15,Renault_megan,privat,Offer,1300,test,limousine,1999,manuell,75,megane,150000,Apr,Gasoline,renault,Other,2016-04-01 00:00:00,13403,2016-04-05 19:16:06,2016,2016,April,April,4,19,17,8
