dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 16:54:34,Renault_Scénic_RX4,privat,Offer,2800,test,suv,2002,manuell,138,scenic,150000,Aug,Gasoline,renault,Other,2016-04-04 00:00:00,72202,2016-04-06 18:46:46,2016,2016,April,April,2,18,14,4
2016-03-21 20:42:56,RENAULT_Scenic_2004__Alu__Sitzheizung__ahk_,privat,Offer,1850,control,suv,2004,manuell,107,scenic,150000,Nov,Gasoline,renault,Other,2016-03-21 00:00:00,39175,2016-04-04 07:17:45,2016,2016,March,March,14,7,12,1
2016-03-26 13:44:29,Renault_Koleos,privat,Offer,8499,control,suv,2008,manuell,173,andere,150000,Mar,Diesel,renault,No,2016-03-26 00:00:00,29699,2016-04-06 01:16:34,2016,2016,March,March,11,1,8,9
2016-03-28 08:56:36,Renault_master_abschlepper_TÜV_NEU_sehr_gut_guenstig_sparsam,privat,Offer,3500,test,suv,1997,manuell,90,Other,150000,Nov,Diesel,renault,No,2016-03-28 00:00:00,57076,2016-04-06 11:15:35,2016,2016,March,March,9,11,19,1
2016-03-21 19:55:08,Renault_Senic_RX4,privat,Offer,2900,test,suv,2001,manuell,102,scenic,150000,Jul,Diesel,renault,Other,2016-03-21 00:00:00,80939,2016-04-06 22:46:49,2016,2016,March,March,16,22,15,5
2016-04-03 13:55:27,Renault_R_19_1.8_RT,privat,Offer,899,control,suv,1995,automatik,73,r19,150000,Jan,Gasoline,renault,No,2016-04-03 00:00:00,32427,2016-04-05 12:46:48,2016,2016,April,April,2,12,21,11
2016-03-31 16:51:23,Renault_Renault_Koleos_2.0_dCi_Night_&_Day_4WD_4x4_Allra,privat,Offer,21243,control,suv,2013,manuell,173,andere,40000,Apr,Diesel,renault,No,2016-03-31 00:00:00,22529,2016-04-06 10:15:59,2016,2016,March,March,6,10,3,8
2016-03-14 22:55:09,Renault_Koleos_2.0_dCi_FAP_4x4_Bose_Edition,privat,Offer,15500,control,suv,2011,manuell,150,andere,60000,Nov,Diesel,renault,No,2016-03-14 00:00:00,6366,2016-04-07 14:58:29,2016,2016,March,March,24,14,5,1
2016-03-08 18:57:26,Renault_Koleos_2.0_dCi_FAP_4x4_Dynamique,privat,Offer,8000,test,suv,2009,manuell,150,andere,125000,Oct,Diesel,renault,No,2016-03-08 00:00:00,76448,2016-04-07 14:57:38,2016,2016,March,March,30,14,7,2
2016-03-07 09:51:53,Renault_Captur_ENERGY_dCi_90_NAVI_Klima_Alu_PDC_wie_neu!,privat,Offer,12350,control,suv,2013,manuell,90,andere,50000,May,Diesel,renault,No,2016-03-07 00:00:00,40549,2016-03-12 10:16:21,2016,2016,March,March,5,10,3,7
2016-04-03 08:36:30,Renault_Kangoo_1.2_Mit_LKW_Papire_!!!,privat,Offer,1700,test,suv,2000,manuell,58,kangoo,90000,Jun,Gasoline,renault,No,2016-04-03 00:00:00,80993,2016-04-07 10:45:39,2016,2016,April,April,4,10,16,6
2016-03-18 19:45:26,Renault_Scenic_RX4_1.9_dCi_Luxe__Voll__Leder__Klima__AHK,privat,Offer,3300,control,suv,2001,manuell,102,scenic,150000,Feb,Diesel,renault,No,2016-03-18 00:00:00,89415,2016-03-18 19:45:26,2016,2016,March,March,0,19,15,10
2016-04-06 10:06:23,Renault_Koleos,privat,Offer,10950,test,suv,2010,manuell,173,andere,150000,Sep,Other,renault,No,2016-04-06 00:00:00,53783,2016-04-06 10:06:23,2016,2016,April,April,0,10,6,3
2016-03-09 19:51:00,Renault_Kadjar_1.5_dCi_110_Experience_Leder_Navi_Kamera,privat,Offer,20400,test,suv,2016,manuell,110,andere,10000,Jan,Diesel,renault,No,2016-03-09 00:00:00,63225,2016-04-05 14:17:27,2016,2016,March,March,27,14,0,11
