dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-19 15:39:21,Rover_200_spirit_standheitzung_alufelgen_leder,privat,Offer,0,control,Other,2000,Unspecified,0,Other,150000,Jan,Gasoline,rover,Other,2016-03-19 00:00:00,15890,2016-03-24 10:15:49,2016,2016,March,March,5,10,16,11
2016-04-02 11:55:22,Rover214_si_Verkauf_oder_Tausch_!!,privat,Offer,500,test,Other,2016,manuell,0,Other,150000,Sep,Gasoline,rover,No,2016-04-02 00:00:00,37574,2016-04-06 09:46:11,2016,2016,April,April,4,9,0,3
2016-03-15 21:40:52,Rover_400_zu_Verkaufen,privat,Offer,350,control,Other,2000,manuell,103,andere,100000,Jan,Other,rover,Other,2016-03-15 00:00:00,3149,2016-04-07 04:46:35,2016,2016,March,March,23,4,16,11
2016-03-10 09:57:59,Mg_zs_180_schlachtfest,privat,Offer,1,test,Other,2005,Unspecified,0,andere,150000,Jan,Gasoline,rover,Other,2016-03-10 00:00:00,37581,2016-04-06 07:16:50,2016,2016,March,March,27,7,11,11
2016-03-17 07:54:14,Airbrush_drache_rover_25,privat,Offer,400,control,Other,2005,manuell,0,andere,150000,Jan,Other,rover,No,2016-03-17 00:00:00,72336,2016-04-02 04:46:08,2016,2016,March,March,16,4,11,11
2016-04-01 21:37:41,Gut_erhaltener_Rover_25,privat,Offer,1300,test,Other,2005,manuell,105,andere,125000,Jan,Other,rover,No,2016-04-01 00:00:00,87734,2016-04-05 19:15:49,2016,2016,April,April,4,19,11,11
2016-03-11 20:47:35,Rover_25_scheckheftgepflegt,privat,Offer,700,control,Other,2000,manuell,101,andere,150000,Mar,Other,rover,No,2016-03-11 00:00:00,27576,2016-04-06 04:16:58,2016,2016,March,March,26,4,16,9
2016-03-15 12:51:54,FÜR_Export,privat,Offer,100,control,Other,2005,Unspecified,0,Other,150000,Jan,Other,rover,Other,2016-03-15 00:00:00,1589,2016-03-15 12:51:54,2016,2016,March,March,0,12,11,11
2016-03-28 21:47:56,Rover_45_tuv_06/2016,privat,Offer,950,control,Other,2016,manuell,0,andere,150000,Jun,Gasoline,rover,Other,2016-03-28 00:00:00,73432,2016-04-07 04:44:36,2016,2016,March,March,10,4,0,6
2016-03-10 16:47:04,Verkauf_mein_Mg_Zs,privat,Offer,600,control,Other,2016,manuell,177,andere,150000,Jan,Gasoline,rover,No,2016-03-10 00:00:00,44577,2016-04-05 15:17:50,2016,2016,March,March,26,15,0,11
2016-04-03 23:37:04,MG_ZR_160__ZKD_Kaputt_,privat,Offer,1500,control,Other,2016,manuell,160,andere,90000,Oct,Gasoline,rover,Yes,2016-04-03 00:00:00,57074,2016-04-06 08:16:30,2016,2016,April,April,3,8,0,2
2016-03-10 19:41:45,Schlachte_Rover_214_Cabrio_&_SEi_XW_aehnlich_216_220_Coupé_Kombi,privat,Offer,0,control,Other,1995,manuell,103,Other,100000,Jan,Other,rover,Other,2016-03-10 00:00:00,33758,2016-04-06 02:17:35,2016,2016,March,March,27,2,21,11
