dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 12:37:37,MGf_Cabrio__Scottisch_Green,privat,Offer,3100,test,cabrio,1999,manuell,120,discovery,150000,Nov,Gasoline,rover,No,2016-03-14 00:00:00,47623,2016-04-05 11:50:12,2016,2016,March,March,22,11,17,1
2016-03-27 07:58:09,MGF___Limited_Edition_75_Jahre_MG_Modell_silbermetallic_Leder,privat,Offer,3950,test,cabrio,1999,manuell,120,andere,125000,Jul,Gasoline,rover,No,2016-03-27 00:00:00,73230,2016-04-07 05:17:36,2016,2016,March,March,11,5,17,5
2016-03-08 14:38:19,MG_ROVER_MGF_TÜV_06/2016_Bastlerfahrzeug,privat,Offer,1100,test,cabrio,1998,manuell,120,andere,125000,Jan,Gasoline,rover,Yes,2016-03-08 00:00:00,74909,2016-04-05 23:46:15,2016,2016,March,March,28,23,18,11
2016-04-01 18:55:22,MGTF_135_Cabriolet_viele_Neuteile,privat,Offer,4000,control,cabrio,2006,manuell,136,andere,150000,Apr,Gasoline,rover,No,2016-04-01 00:00:00,29525,2016-04-05 14:47:17,2016,2016,April,April,4,14,10,8
2016-04-04 16:48:47,MGF_MG_Cabrio_Roadster_Hardtop_Alufelgen_1.8_Sportauspuff_Klima,privat,Offer,2999,test,cabrio,1996,manuell,120,andere,70000,Sep,Gasoline,rover,No,2016-04-04 00:00:00,55578,2016-04-07 05:36:37,2016,2016,April,April,3,5,20,3
2016-03-18 21:47:29,Cabriolet_rover,privat,Offer,1590,control,cabrio,1995,manuell,0,andere,150000,Jan,Other,rover,No,2016-03-18 00:00:00,26529,2016-04-05 22:47:33,2016,2016,March,March,18,22,21,11
2016-03-26 14:44:53,Rover_114_Cabrio_mit_unter_1000KM!Liebhaberfahrzeug_VB,privat,Offer,3666,control,cabrio,1995,manuell,75,andere,5000,May,Gasoline,rover,No,2016-03-26 00:00:00,47608,2016-03-31 09:46:15,2016,2016,March,March,5,9,21,7
2016-03-26 18:36:55,MG_MGF_Motorschaden,privat,Offer,550,test,cabrio,1997,manuell,120,andere,125000,Jan,Other,rover,Yes,2016-03-26 00:00:00,64668,2016-04-06 07:44:33,2016,2016,March,March,11,7,19,11
2016-03-20 09:57:43,MG_TF_Cabrio,privat,Offer,5100,control,cabrio,2002,manuell,136,andere,50000,Nov,Gasoline,rover,No,2016-03-20 00:00:00,66123,2016-03-21 12:18:35,2016,2016,March,March,1,12,14,1
2016-03-11 09:51:09,Rover_216i_Cabriolet_LPG_Autogas_HU_AU_01/2017,privat,Offer,1000,control,cabrio,1994,manuell,122,andere,150000,Apr,Gasoline,rover,No,2016-03-11 00:00:00,86368,2016-04-06 22:15:52,2016,2016,March,March,26,22,22,8
2016-03-11 17:38:52,NUR_DIESES_WOCHENENDE,privat,Offer,700,control,cabrio,1995,manuell,122,andere,125000,Mar,Gasoline,rover,Other,2016-03-11 00:00:00,23826,2016-03-11 17:38:52,2016,2016,March,March,0,17,21,9
2016-04-05 00:55:56,Rover_216_Cabrio_/_Groesse_wie_Golf__Astra__Focus_...,privat,Offer,4850,control,cabrio,1999,manuell,112,andere,70000,Jan,Gasoline,rover,No,2016-04-05 00:00:00,42719,2016-04-07 11:15:56,2016,2016,April,April,2,11,17,11
2016-03-12 20:53:02,Peugeot_306_Cabrio_1.6_Liter__kleine_Maengel__950_VB,privat,Offer,850,test,cabrio,1997,manuell,88,Other,150000,Feb,Gasoline,rover,Yes,2016-03-12 00:00:00,54439,2016-04-03 15:44:28,2016,2016,March,March,22,15,19,10
2016-03-28 16:56:53,Liebhaberauto,privat,Offer,2250,test,cabrio,1994,Unspecified,120,Other,150000,Apr,Other,rover,Other,2016-03-28 00:00:00,68723,2016-04-06 23:15:51,2016,2016,March,March,9,23,22,8
2016-03-20 21:42:12,Biete_Rover_Mini_MK_II_Cabrio,privat,Offer,7000,test,cabrio,1993,manuell,63,andere,100000,Jul,Gasoline,rover,No,2016-03-20 00:00:00,20099,2016-03-28 23:45:55,2016,2016,March,March,8,23,23,5
2016-03-12 03:03:06,MG_TF_135__Roadster_16V_1_8l___starlight_silver___100kw/136PS_TOP,privat,Offer,4500,control,cabrio,2004,manuell,136,andere,125000,Aug,Gasoline,rover,Other,2016-03-12 00:00:00,41836,2016-03-16 06:17:15,2016,2016,March,March,4,6,12,4
2016-03-18 23:48:56,Rover_216i_Cabriolet,privat,Offer,1499,test,cabrio,1995,manuell,122,andere,125000,Apr,Gasoline,rover,No,2016-03-18 00:00:00,70435,2016-03-26 13:16:12,2016,2016,March,March,8,13,21,8
2016-04-05 08:56:25,Verkaufe_MGF_Cabrio,privat,Offer,3200,test,cabrio,1996,manuell,120,andere,90000,Feb,Gasoline,rover,Other,2016-04-05 00:00:00,54634,2016-04-07 11:44:55,2016,2016,April,April,2,11,20,10
2016-03-16 15:50:20,seltener_MGF_Stepspeed__RHD._......._EILT!!,privat,Offer,1499,test,cabrio,2000,automatik,120,andere,70000,May,Gasoline,rover,No,2016-03-16 00:00:00,67547,2016-04-06 18:18:56,2016,2016,March,March,21,18,16,7
2016-03-15 00:45:36,Cabrio_Rover_1.6l__216_i_elerk.Dach_tuev_bis_08/2017,privat,Offer,1499,test,cabrio,1995,manuell,120,andere,125000,Apr,Gasoline,rover,No,2016-03-14 00:00:00,70435,2016-03-25 20:46:24,2016,2016,March,March,11,20,21,8
2016-03-25 10:36:44,sportlicher_ROVER_1998er_MG_MGF_Cabrio,privat,Offer,2900,test,cabrio,1998,manuell,120,andere,150000,Jul,Gasoline,rover,No,2016-03-25 00:00:00,27726,2016-04-06 11:45:34,2016,2016,March,March,12,11,18,5
2016-03-08 10:51:41,Rover_Cabrio,privat,Offer,450,test,cabrio,1999,manuell,115,andere,150000,Nov,Gasoline,rover,Other,2016-03-08 00:00:00,34314,2016-03-12 15:47:41,2016,2016,March,March,4,15,17,1
2016-03-25 00:55:42,Traumhaftes_MG_TF_135_Cabriolet_ab_Werk_in_Violett_Perleffekt,privat,Offer,6990,control,cabrio,2004,manuell,135,andere,70000,May,Gasoline,rover,No,2016-03-25 00:00:00,6366,2016-03-29 19:17:05,2016,2016,March,March,4,19,12,7
2016-03-19 20:48:07,Rover_216_Cabrio,privat,Offer,1150,control,cabrio,1995,manuell,122,andere,125000,Jun,Gasoline,rover,Other,2016-03-19 00:00:00,24539,2016-03-26 01:46:37,2016,2016,March,March,7,1,21,6
