dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-06 18:06:35,Rover_75_Tourer_2.0_V6,privat,Offer,2500,control,kombi,2001,automatik,150,andere,150000,Nov,Gasoline,rover,Yes,2016-04-06 00:00:00,56170,2016-04-06 18:25:20,2016,2016,April,April,0,18,15,1
2016-03-15 19:53:35,Rover_75_Tourer_2.0_CDTi_Celeste_L,privat,Offer,1700,control,kombi,2003,automatik,131,andere,150000,Jun,Diesel,rover,Yes,2016-03-15 00:00:00,89551,2016-03-17 16:48:08,2016,2016,March,March,2,16,13,6
2016-03-27 15:56:29,Rover_75_Celeste_2.5__!!_Vollaustattung_!!,privat,Offer,4800,control,kombi,2003,manuell,177,andere,150000,Sep,Gasoline,rover,No,2016-03-27 00:00:00,76227,2016-04-05 11:47:51,2016,2016,March,March,9,11,13,3
2016-03-06 22:49:49,Rover_75_Tourer_2.0_CDTi,privat,Offer,2650,control,kombi,2004,automatik,131,andere,150000,Jun,Diesel,rover,No,2016-03-06 00:00:00,41812,2016-04-07 07:46:52,2016,2016,March,March,32,7,12,6
2016-03-07 10:56:53,Gruener_Rechtslenker_sucht_neues_Zuhause!,privat,Offer,1100,test,kombi,2002,Unspecified,0,andere,150000,Jul,Gasoline,rover,No,2016-03-07 00:00:00,26419,2016-03-14 08:45:56,2016,2016,March,March,7,8,14,5
2016-03-09 18:55:13,Rover_75_Tourer_2.0_CDTi,privat,Offer,2599,test,kombi,2003,automatik,131,andere,150000,Oct,Diesel,rover,No,2016-03-09 00:00:00,23556,2016-04-07 14:57:29,2016,2016,March,March,29,14,13,2
2016-03-14 22:47:05,Rover_75_Kombi_Diesel,privat,Offer,998,control,kombi,2001,manuell,85,andere,150000,Aug,Diesel,rover,Yes,2016-03-14 00:00:00,58285,2016-04-06 18:45:54,2016,2016,March,March,23,18,15,4
2016-03-07 12:51:03,Rover_MG_ZTT,privat,Offer,5550,test,kombi,2005,manuell,131,andere,150000,Jan,Diesel,rover,No,2016-03-07 00:00:00,86899,2016-04-05 20:16:48,2016,2016,March,March,29,20,11,11
2016-04-03 11:46:27,Rover_e_75_mit_vermutlichen_Getriebe_Schaden_auch_Tausch_moeglich,privat,Offer,500,control,kombi,2002,automatik,115,andere,150000,Jan,Diesel,rover,Other,2016-04-03 00:00:00,21702,2016-04-07 12:45:42,2016,2016,April,April,4,12,14,11
2016-03-12 15:42:49,Ford_Taurus_SEL,privat,Offer,1500,control,kombi,2005,automatik,205,Other,80000,Aug,Gasoline,rover,Other,2016-03-12 00:00:00,49082,2016-04-07 02:46:09,2016,2016,March,March,26,2,11,4
2016-03-20 11:42:58,MG_ZT_T_190_LPG__Autogas,privat,Offer,2299,test,kombi,2004,manuell,190,andere,150000,Aug,Lpg,rover,No,2016-02-20 00:00:00,12526,2016-04-01 05:17:35,2016,2016,February,March,41,5,12,4
2016-03-17 21:45:31,Rover_Tourer,privat,Offer,2200,test,kombi,1998,manuell,111,andere,150000,Mar,Gasoline,rover,No,2016-03-17 00:00:00,51145,2016-03-23 11:17:12,2016,2016,March,March,6,11,18,9
2016-03-07 14:50:45,Rover_75_Kombi_klimaautomatik,privat,Offer,790,control,kombi,2001,manuell,0,andere,150000,Nov,Gasoline,rover,No,2016-03-07 00:00:00,45657,2016-03-11 00:17:01,2016,2016,March,March,4,0,15,1
