dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 08:54:45,Rover_200_Limousine_abzugeben,privat,Offer,700,control,limousine,1998,manuell,75,andere,150000,Jun,Gasoline,rover,No,2016-03-22 00:00:00,38829,2016-04-05 19:17:19,2016,2016,March,March,14,19,18,6
2016-04-04 20:50:51,Rover_mit_Getriebe_Schaden_!_Billig_abzugeben,privat,Offer,180,control,limousine,1996,manuell,110,andere,150000,Jun,Gasoline,rover,Yes,2016-04-04 00:00:00,27211,2016-04-06 23:17:53,2016,2016,April,April,2,23,20,6
2016-03-14 21:38:58,Rover_75_2.0_CDT_Classic,privat,Offer,2499,test,limousine,2000,manuell,116,andere,150000,May,Diesel,rover,No,2016-03-14 00:00:00,49090,2016-04-06 11:46:16,2016,2016,March,March,23,11,16,7
2016-03-27 08:55:14,Rover_75/_V6_Vollausstattung_599_Euro_VB,privat,Offer,599,test,limousine,1998,automatik,177,andere,150000,Nov,Gasoline,rover,Yes,2016-03-27 00:00:00,48351,2016-03-28 22:45:21,2016,2016,March,March,1,22,18,1
2016-03-21 10:53:49,ROVER_75_mit_TÜV,privat,Offer,2350,test,limousine,2000,manuell,120,andere,150000,Jan,Other,rover,Other,2016-03-21 00:00:00,47803,2016-04-06 04:46:54,2016,2016,March,March,16,4,16,11
2016-03-07 19:52:27,Rover_75_Gruen_Beiges_Leder_Bj_99_2.Hand_Motor_laeuft_nicht!,privat,Offer,750,control,limousine,1999,manuell,150,andere,150000,Nov,Gasoline,rover,Yes,2016-03-07 00:00:00,30177,2016-03-08 06:45:30,2016,2016,March,March,1,6,17,1
2016-03-22 22:36:18,Gut_erhaltenen_Rover_zu_verkaufen._Kein_TÜV!!!,privat,Offer,400,control,limousine,1998,manuell,120,andere,150000,Aug,Gasoline,rover,Yes,2016-03-22 00:00:00,10557,2016-03-24 14:16:30,2016,2016,March,March,2,14,18,4
2016-03-25 12:54:02,Rover_75_2.0_CDT_Classic,privat,Offer,1500,test,limousine,2000,manuell,116,andere,150000,Mar,Diesel,rover,No,2016-03-25 00:00:00,69242,2016-04-06 14:44:49,2016,2016,March,March,12,14,16,9
2016-03-31 13:44:47,Rover_Streetwise,privat,Offer,1350,control,limousine,2006,manuell,80,andere,150000,Jan,Gasoline,rover,Other,2016-03-31 00:00:00,79110,2016-04-06 06:15:54,2016,2016,March,March,6,6,10,11
2016-03-22 09:54:38,Rover_45_mit_TÜV_bis_2018,privat,Offer,0,test,limousine,2000,manuell,105,Other,150000,Feb,Gasoline,rover,No,2016-03-22 00:00:00,6308,2016-03-22 09:54:38,2016,2016,March,March,0,9,16,10
2016-03-16 11:59:11,Rover_216_GSI,privat,Offer,1250,test,limousine,1994,automatik,111,andere,150000,Sep,Diesel,rover,No,2016-03-16 00:00:00,44866,2016-04-06 06:16:51,2016,2016,March,March,21,6,22,3
2016-04-03 12:53:37,Rover_45_fahrbereit_mit_TÜV,privat,Offer,1250,control,limousine,2001,manuell,108,Other,150000,May,Gasoline,rover,Other,2016-04-03 00:00:00,33175,2016-04-05 11:45:36,2016,2016,April,April,2,11,15,7
2016-03-11 19:52:22,Rover_416_Si,privat,Offer,500,test,limousine,1996,manuell,111,andere,150000,Mar,Gasoline,rover,No,2016-03-11 00:00:00,94072,2016-04-06 01:17:17,2016,2016,March,March,26,1,20,9
2016-03-09 22:38:32,Rover_75_1.8_Charme,privat,Offer,1790,test,limousine,1999,manuell,120,andere,150000,Jul,Gasoline,rover,No,2016-03-09 00:00:00,96152,2016-03-12 12:44:23,2016,2016,March,March,3,12,17,5
2016-03-16 14:45:44,Rover_75,privat,Offer,1650,test,limousine,2000,manuell,120,andere,150000,Apr,Gasoline,rover,No,2016-03-16 00:00:00,47533,2016-03-24 04:45:13,2016,2016,March,March,8,4,16,8
2016-03-22 07:00:25,Rover_75_vollliefet__Bj_1999,privat,Offer,1900,control,limousine,1999,manuell,116,andere,150000,Nov,Diesel,rover,Yes,2016-03-22 00:00:00,38176,2016-04-01 20:45:58,2016,2016,March,March,10,20,17,1
