dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-05 14:40:17,Saab._900_II_Original_guter_Zustand,privat,Offer,1099,control,coupe,1995,manuell,131,900,150000,Apr,Other,saab,No,2016-03-05 00:00:00,76437,2016-04-07 08:45:22,2016,2016,March,March,33,8,21,8
2016-03-06 23:42:18,Saab_900_turbo_16,privat,Offer,18900,control,coupe,1991,manuell,160,900,150000,Jan,Gasoline,saab,No,2016-03-06 00:00:00,23701,2016-04-07 03:15:27,2016,2016,March,March,32,3,25,11
2016-04-04 11:06:18,Saab_9_3__Coupe__schwarz_mit_beigem_Leder__Bj_1998__EZL_1999,privat,Offer,650,control,coupe,1998,manuell,154,andere,150000,Jan,Gasoline,saab,Yes,2016-04-04 00:00:00,60385,2016-04-05 12:15:21,2016,2016,April,April,1,12,18,11
2016-03-14 13:39:36,Saab_9_3_TiD_2.2_SE_Anniversary,privat,Offer,2000,test,coupe,2001,manuell,125,andere,150000,Aug,Diesel,saab,No,2016-03-14 00:00:00,24631,2016-03-27 17:46:59,2016,2016,March,March,13,17,15,4
2016-04-03 22:50:16,Saab_93_SE_Lederausstattung_Alu__Wurzelholz_gepflegt_viele_Extras,privat,Offer,1190,control,coupe,2001,manuell,125,andere,150000,May,Diesel,saab,Other,2016-04-03 00:00:00,12099,2016-04-06 00:45:15,2016,2016,April,April,3,0,15,7
2016-04-04 20:55:40,Saab_9_3_2.2TiD_SE_Anniversary_Liebhaberauto,privat,Offer,2750,control,coupe,2001,manuell,125,andere,150000,Nov,Diesel,saab,No,2016-04-04 00:00:00,16761,2016-04-06 23:18:09,2016,2016,April,April,2,23,15,1
2016-03-10 14:06:22,Saab_900_s_Coupe,privat,Offer,450,control,coupe,1995,automatik,136,900,150000,Jul,Other,saab,Other,2016-03-10 00:00:00,65933,2016-03-15 23:17:30,2016,2016,March,March,5,23,21,5
2016-03-17 19:47:30,Saab__900_II_Leder_E_Spiegel__E__Scheibenheber_Guter_Zustand,privat,Offer,950,control,coupe,1995,automatik,130,900,150000,Jul,Gasoline,saab,No,2016-03-17 00:00:00,75173,2016-03-24 15:45:51,2016,2016,March,March,7,15,21,5
2016-03-25 17:25:43,Top_gepfleger_Saab_93_Coupe_Sports_Edition,privat,Offer,2250,test,coupe,2000,manuell,154,andere,150000,May,Gasoline,saab,No,2016-03-25 00:00:00,35396,2016-03-26 13:42:39,2016,2016,March,March,1,13,16,7
2016-03-11 18:52:45,Saab_Saab_9_3_2.0_Turbo_SE_Coupé,privat,Offer,1550,test,coupe,1999,manuell,154,andere,150000,Jun,Gasoline,saab,No,2016-03-11 00:00:00,14169,2016-04-05 21:16:37,2016,2016,March,March,25,21,17,6
