dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-27 21:47:46,Seat_ibiza_Bastlerfahrzeug,privat,Offer,1500,test,Other,2000,manuell,0,ibiza,150000,Jan,Gasoline,seat,Yes,2016-03-27 00:00:00,66780,2016-04-05 20:47:11,2016,2016,March,March,9,20,16,11
2016-03-21 15:56:00,Seat_1.8l_90_ps,privat,Offer,30,control,Other,2015,Unspecified,0,Other,5000,Jan,Other,seat,Other,2016-03-21 00:00:00,8485,2016-04-04 13:18:28,2016,2016,March,March,14,13,1,11
2016-03-14 19:46:06,Seat_Cordoba_Verkauf_oder_Tausch,privat,Offer,650,control,Other,2016,manuell,0,cordoba,5000,Jan,Gasoline,seat,No,2016-03-14 00:00:00,23843,2016-04-06 05:16:39,2016,2016,March,March,23,5,0,11
2016-03-13 19:46:22,Ve_Seat_Ibiza_1_4_Liter_60_ps_oder_Tausch,privat,Offer,300,control,Other,2000,Unspecified,0,ibiza,125000,Jan,Other,seat,Other,2016-03-13 00:00:00,66780,2016-03-31 22:45:07,2016,2016,March,March,18,22,16,11
2016-03-14 21:38:56,Seat_Ibiza_1.4_16_V_Comfort_Edition__Klimaautomatik__Tempomat,privat,Offer,3400,test,Other,2016,manuell,86,ibiza,125000,Apr,Gasoline,seat,No,2016-03-14 00:00:00,10317,2016-03-21 14:47:53,2016,2016,March,March,7,14,0,8
2016-03-07 20:58:32,Seat_Ibiza_6l_Sport_tdi,privat,Offer,3499,test,Other,2016,manuell,131,ibiza,150000,Mar,Other,seat,No,2016-03-07 00:00:00,29640,2016-04-05 17:45:41,2016,2016,March,March,29,17,0,9
2016-03-30 18:43:16,Seat_Ibiza_Klima,privat,Offer,900,test,Other,2016,Unspecified,0,Other,150000,May,Other,seat,Other,2016-03-30 00:00:00,51381,2016-04-03 09:15:28,2016,2016,March,March,4,9,0,7
2016-03-06 09:46:04,ist_noch_angemeldt_und_motor_laeuft_Gut,privat,Offer,400,control,Other,2016,manuell,60,ibiza,150000,Nov,Gasoline,seat,Yes,2016-03-06 00:00:00,59192,2016-03-08 14:46:33,2016,2016,March,March,2,14,0,1
2016-03-11 20:52:06,Seat_Ibiza_1.4_60ps_TÜV_06/16_guter_Zustand_fahrbereit,privat,Offer,500,control,Other,2016,manuell,60,ibiza,5000,Oct,Other,seat,No,2016-03-11 00:00:00,54662,2016-03-21 11:16:43,2016,2016,March,March,10,11,0,2
2016-03-24 01:37:14,Seat_Arosa_*lesen_*,privat,Offer,1350,test,Other,2016,manuell,50,arosa,150000,Jan,Other,seat,No,2016-03-24 00:00:00,66424,2016-04-06 21:17:38,2016,2016,March,March,13,21,0,11
2016-03-30 16:38:06,Seat_ibiza_6k_sportlich,privat,Offer,1200,test,Other,2016,manuell,60,ibiza,125000,Jan,Gasoline,seat,No,2016-03-30 00:00:00,59457,2016-04-01 10:45:42,2016,2016,March,March,2,10,0,11
2016-03-18 22:43:34,Seat_alhambara,privat,Offer,3000,test,Other,2004,manuell,116,alhambra,150000,Jan,Diesel,seat,No,2016-03-18 00:00:00,48351,2016-04-05 23:16:11,2016,2016,March,March,18,23,12,11
2016-03-05 17:51:00,Seat_Toledo_2.3l_V5,privat,Offer,2200,test,Other,2016,manuell,150,toledo,150000,Jan,Gasoline,seat,No,2016-03-05 00:00:00,85125,2016-04-05 13:46:21,2016,2016,March,March,31,13,0,11
2016-03-20 16:53:28,Seat_ibiza_6k_mit_TÜV_bis_12/16_hat_auch_klima,privat,Offer,550,test,Other,2016,manuell,0,ibiza,150000,Oct,Gasoline,seat,Other,2016-03-20 00:00:00,38170,2016-03-25 18:19:18,2016,2016,March,March,5,18,0,2
2016-03-06 23:37:39,Seat_Arosa_Bastlerfahrzeug,privat,Offer,300,control,Other,2000,manuell,50,arosa,150000,Feb,Other,seat,Other,2016-03-06 00:00:00,34270,2016-03-09 06:16:42,2016,2016,March,March,3,6,16,10
2016-03-15 14:39:14,Seat_Ibiza,privat,Offer,850,control,Other,2005,manuell,0,ibiza,150000,Apr,Gasoline,seat,Yes,2016-03-15 00:00:00,58644,2016-03-15 14:39:14,2016,2016,March,March,0,14,11,8
2016-03-13 13:21:47,Seat_ibiza_Tuev,privat,Offer,1200,test,Other,2016,manuell,64,ibiza,150000,Jul,Gasoline,seat,No,2016-03-13 00:00:00,57299,2016-03-14 17:29:54,2016,2016,March,March,1,17,0,5
2016-03-20 15:44:04,Seat_arosa_1.o_Bj_03,privat,Offer,1150,control,Other,2016,manuell,50,arosa,150000,Nov,Other,seat,No,2016-03-20 00:00:00,33102,2016-03-25 15:48:21,2016,2016,March,March,5,15,0,1
2016-03-29 16:50:59,Seat_ibiza_Bastlerfahrzeug,privat,Offer,400,control,Other,2016,manuell,0,ibiza,150000,May,Gasoline,seat,Yes,2016-03-29 00:00:00,49134,2016-04-06 02:44:57,2016,2016,March,March,8,2,0,7
2016-03-22 19:54:26,Seat_ibiza_tuev_bis_03.2017,privat,Offer,200,test,Other,1996,manuell,45,ibiza,150000,Jan,Gasoline,seat,Yes,2016-03-22 00:00:00,19370,2016-03-26 21:47:40,2016,2016,March,March,4,21,20,11
2016-03-11 22:56:42,Tausche_Seat_Altea_gegen_Gelaendewagen_oder_Kasten_wagen,privat,Offer,1,control,Other,2016,automatik,140,altea,150000,Jan,Diesel,seat,Other,2016-03-11 00:00:00,15344,2016-03-30 19:16:59,2016,2016,March,March,19,19,0,11
2016-03-26 13:06:20,Seat_cordoba,privat,Offer,1000,test,Other,2001,manuell,75,cordoba,150000,May,Other,seat,Yes,2016-03-26 00:00:00,56567,2016-04-02 13:45:53,2016,2016,March,March,7,13,15,7
2016-04-05 10:37:31,Seat_Leon__1.9_Tdi,privat,Offer,499,control,Other,2016,manuell,110,leon,150000,Apr,Other,seat,Other,2016-04-05 00:00:00,55776,2016-04-05 10:37:31,2016,2016,April,April,0,10,0,8
