dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 08:56:16,Verkaufe/Tausche_Seat_Inca__VW_Caddy_aus_2002_1_9_SDI,privat,Offer,0,test,andere,2002,manuell,64,andere,150000,Feb,Diesel,seat,No,2016-03-26 00:00:00,12627,2016-03-26 08:56:16,2016,2016,March,March,0,8,14,10
2016-03-26 07:58:07,Mofa_auto_25kmh__auto,privat,Offer,999,test,andere,1990,Unspecified,0,andere,5000,Jul,Other,seat,Other,2016-03-26 00:00:00,57572,2016-04-01 22:18:32,2016,2016,March,March,6,22,26,5
2016-03-09 08:36:21,Seat_Leon_1.6__Exportpreis,privat,Offer,3250,test,andere,2007,manuell,102,leon,150000,Jan,Other,seat,Other,2016-03-09 00:00:00,49699,2016-03-15 06:16:02,2016,2016,March,March,6,6,9,11
2016-03-20 23:36:20,Seat_Inca_VW_Caddy_TDI,privat,Offer,1600,control,andere,2000,manuell,90,andere,150000,Jan,Other,seat,No,2016-03-20 00:00:00,14959,2016-04-02 00:20:03,2016,2016,March,March,13,0,16,11
2016-03-27 10:46:43,Verkaufe/Tausche_Seat_Inca__VW_Caddy_aus_2002_1_9_SDI,privat,Offer,0,control,andere,2002,manuell,64,andere,150000,Feb,Diesel,seat,No,2016-03-27 00:00:00,12627,2016-03-27 10:46:43,2016,2016,March,March,0,10,14,10
2016-03-16 17:57:47,Seat_Ibiza_Stella_1_4_16V_Klimaautomatik,privat,Offer,2490,control,andere,2004,manuell,75,ibiza,150000,Nov,Gasoline,seat,No,2016-03-16 00:00:00,91757,2016-03-17 16:47:44,2016,2016,March,March,1,16,12,1
2016-04-07 07:36:33,Verkaufe/Tausche_Seat_Inca__VW_Caddy__aus_2002_1_9_SDI_TÜV_neu,privat,Offer,0,control,andere,2002,manuell,64,andere,150000,Feb,Diesel,seat,No,2016-04-07 00:00:00,12627,2016-04-07 07:36:33,2016,2016,April,April,0,7,14,10
2016-03-05 14:11:05,Seat_Inca_1.9_SDI_VW_Caddy,privat,Offer,2500,test,andere,2003,manuell,64,andere,150000,Sep,Diesel,seat,No,2016-03-03 00:00:00,57614,2016-04-07 07:15:35,2016,2016,March,March,35,7,13,3
2016-04-03 20:37:04,Verkaufe_Seat_Cordoba,privat,Offer,1400,test,andere,2001,manuell,0,cordoba,150000,Feb,Diesel,seat,No,2016-04-03 00:00:00,1983,2016-04-05 21:16:48,2016,2016,April,April,2,21,15,10
2016-03-17 15:45:42,Seat_Terra_Benzin_LKW_Zulassung,privat,Offer,250,test,andere,1994,manuell,40,andere,20000,Sep,Gasoline,seat,Other,2016-03-17 00:00:00,15537,2016-03-17 15:45:42,2016,2016,March,March,0,15,22,3
2016-03-20 18:38:18,Seat_Inca,privat,Offer,1300,test,andere,2004,manuell,64,andere,150000,Jan,Diesel,seat,Other,2016-03-20 00:00:00,1998,2016-04-07 01:45:28,2016,2016,March,March,18,1,12,11
2016-03-11 17:46:26,Seat_Leon_1.9_TDI__AHK_,privat,Offer,2450,control,andere,2001,manuell,110,leon,150000,Nov,Diesel,seat,No,2016-03-11 00:00:00,41352,2016-03-11 17:46:26,2016,2016,March,March,0,17,15,1
2016-03-26 18:56:27,Seat_mit_neu_TÜV,privat,Offer,999,test,andere,2000,manuell,75,andere,150000,Jan,Diesel,seat,No,2016-03-26 00:00:00,48366,2016-04-06 08:17:30,2016,2016,March,March,11,8,16,11
2016-03-08 21:46:44,Seat_Terra_VW_Caddy_Hundefaenger_Transporter_Diesel_LKW_Zulassung,privat,Offer,160,control,andere,1994,manuell,45,andere,150000,Jun,Diesel,seat,Other,2016-03-08 00:00:00,9661,2016-03-13 02:16:27,2016,2016,March,March,5,2,22,6
2016-03-29 14:55:05,Verkaufe_Seat_Inca_aus_Bj_2002_1_9_SDI_TÜV_Neu,privat,Offer,0,test,andere,2002,manuell,64,andere,150000,Feb,Diesel,seat,No,2016-03-29 00:00:00,12627,2016-03-29 14:55:05,2016,2016,March,March,0,14,14,10
2016-03-14 13:39:36,Seat_Inca_1_4_Caddy_Benziner,privat,Offer,950,test,andere,2000,manuell,0,andere,125000,Apr,Gasoline,seat,Yes,2016-03-14 00:00:00,40212,2016-03-29 07:17:02,2016,2016,March,March,15,7,16,8
2016-03-20 09:06:36,Seit_ibiza,privat,Offer,150,control,andere,1994,manuell,0,ibiza,150000,Jan,Other,seat,Yes,2016-03-20 00:00:00,65366,2016-04-06 12:16:05,2016,2016,March,March,17,12,22,11
2016-03-20 16:43:29,seat_Diesel_lkw_Zulassung,privat,Offer,650,test,andere,2000,manuell,0,andere,150000,Feb,Diesel,seat,No,2016-03-20 00:00:00,46395,2016-04-06 21:46:48,2016,2016,March,March,17,21,16,10
2016-03-19 16:44:18,Seat_Ince_Kasten_wagen,privat,Offer,599,test,andere,2000,manuell,64,Other,150000,Aug,Diesel,seat,Other,2016-03-19 00:00:00,42551,2016-03-20 18:45:28,2016,2016,March,March,1,18,16,4
2016-03-23 18:48:37,Seat_Inca__Caddy__Lkw_sparsam_TÜV_8/2016,privat,Offer,800,test,andere,1996,manuell,64,andere,150000,Feb,Diesel,seat,No,2016-03-23 00:00:00,9322,2016-03-31 06:46:19,2016,2016,March,March,8,6,20,10
2016-04-03 15:45:16,Seat_Leon_1P_Stylance_2.0_TDI_DPF,privat,Offer,5800,test,andere,2007,manuell,140,leon,125000,Mar,Diesel,seat,No,2016-04-03 00:00:00,85055,2016-04-05 14:46:08,2016,2016,April,April,2,14,9,9
