dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 14:45:48,SEAT_Cordoba_Coupé_Motorschaden_1_9_TDI_ASV_Motor,privat,Offer,500,control,coupe,2000,manuell,110,cordoba,150000,Jan,Diesel,seat,Other,2016-03-14 00:00:00,6114,2016-03-17 02:46:15,2016,2016,March,March,3,2,16,11
2016-04-01 14:52:06,Kein_tuev,privat,Offer,950,test,coupe,2002,manuell,131,ibiza,150000,Jun,Diesel,seat,Other,2016-04-01 00:00:00,82178,2016-04-01 14:52:06,2016,2016,April,April,0,14,14,6
2016-03-20 12:58:29,Seat_Cordoba_1.6__75_PS__TÜV_bis_06/2017,privat,Offer,675,test,coupe,1997,manuell,75,cordoba,150000,Oct,Gasoline,seat,Other,2016-03-20 00:00:00,16775,2016-03-22 19:48:27,2016,2016,March,March,2,19,19,2
2016-03-10 12:40:36,Seat_Leon_Cupra4__Cupra__V6__4x4__2.8_1M,privat,Offer,3200,test,coupe,2002,manuell,204,leon,150000,Apr,Gasoline,seat,No,2016-03-10 00:00:00,57368,2016-03-15 02:15:39,2016,2016,March,March,5,2,14,8
2016-03-14 16:49:16,Auto_super!!!!!!billiger,privat,Offer,1500,test,coupe,2002,manuell,131,ibiza,150000,Jul,Diesel,seat,Other,2016-03-14 00:00:00,82178,2016-03-17 05:18:08,2016,2016,March,March,3,5,14,5
2016-03-20 16:46:44,Seat_Leon,privat,Offer,6800,test,coupe,2003,manuell,179,leon,125000,Aug,Gasoline,seat,No,2016-03-20 00:00:00,71296,2016-04-06 22:15:50,2016,2016,March,March,17,22,13,4
2016-03-30 10:52:55,Seat_Ibiza_6L_TDI,privat,Offer,4500,test,coupe,2002,manuell,101,ibiza,150000,Mar,Diesel,seat,No,2016-03-30 00:00:00,9217,2016-04-01 05:15:48,2016,2016,March,March,2,5,14,9
2016-03-14 22:53:40,Seat_Leon,privat,Offer,2200,control,coupe,2000,manuell,179,leon,150000,Sep,Gasoline,seat,No,2016-03-14 00:00:00,95497,2016-04-07 03:16:20,2016,2016,March,March,24,3,16,3
2016-03-05 21:54:27,Seat_leon_fr_sc_dsg_led_vollausstatung_tausch,privat,Offer,0,test,coupe,2013,automatik,180,leon,50000,Feb,Gasoline,seat,Other,2016-03-05 00:00:00,75177,2016-04-07 03:16:04,2016,2016,March,March,33,3,3,10
2016-03-21 20:55:09,Seat_Ibiza_1_4l______75Ps,privat,Offer,2350,control,coupe,2004,manuell,75,ibiza,150000,Aug,Gasoline,seat,Yes,2016-03-21 00:00:00,71106,2016-04-07 00:44:41,2016,2016,March,March,17,0,12,4
2016-03-10 18:46:48,Schwarzer_Ibiza_von_meiner_Tante,privat,Offer,2450,test,coupe,2000,manuell,60,ibiza,70000,Nov,Gasoline,seat,No,2016-03-10 00:00:00,45549,2016-03-13 00:17:24,2016,2016,March,March,3,0,16,1
2016-04-03 09:54:35,Seat_Oldtimer_1430_Sport_Bocanegra_extrem_selten_Oldtimer,privat,Offer,500,control,coupe,1977,manuell,75,andere,60000,Jun,Gasoline,seat,Other,2016-04-03 00:00:00,99510,2016-04-07 10:45:45,2016,2016,April,April,4,10,39,6
