dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 19:43:07,Stadtflitzer,privat,Offer,450,test,kleinwagen,1997,manuell,50,arosa,150000,May,Gasoline,seat,No,2016-03-12 00:00:00,9526,2016-03-21 01:46:11,2016,2016,March,March,9,1,19,7
2016-03-14 12:54:41,Seat_Ibiza_1.2_12V,privat,Offer,3200,test,kleinwagen,2004,manuell,64,ibiza,80000,Feb,Gasoline,seat,No,2016-03-14 00:00:00,29633,2016-04-05 13:15:27,2016,2016,March,March,22,13,12,10
2016-03-28 18:47:24,Seat_Ibiza_Sport,privat,Offer,3900,control,kleinwagen,2003,manuell,75,ibiza,125000,Feb,Gasoline,seat,No,2016-03-28 00:00:00,53572,2016-04-07 00:46:29,2016,2016,March,March,10,0,13,10
2016-03-22 13:45:05,Seat_Ibiza_1.4,privat,Offer,999,control,kleinwagen,1999,manuell,60,ibiza,150000,Apr,Gasoline,seat,No,2016-03-22 00:00:00,73340,2016-03-31 09:44:37,2016,2016,March,March,9,9,17,8
2016-03-14 06:03:08,Seat_Ibiza,privat,Offer,200,test,kleinwagen,1995,manuell,60,ibiza,150000,Oct,Gasoline,seat,No,2016-03-14 00:00:00,14542,2016-03-17 20:16:30,2016,2016,March,March,3,20,21,2
2016-04-04 21:39:18,Ibiza_1.4_75_PS__Klima__HU/AU_01/2018__WR__SR__Scheckheftgepflegt,privat,Offer,2250,test,kleinwagen,2004,manuell,75,ibiza,150000,Jul,Gasoline,seat,No,2016-04-04 00:00:00,9638,2016-04-07 00:15:32,2016,2016,April,April,3,0,12,5
2016-03-20 20:51:15,Seat_Ibiza_1.4_16V_SportEdition,privat,Offer,4450,test,kleinwagen,2007,manuell,86,ibiza,125000,Aug,Gasoline,seat,No,2016-03-20 00:00:00,47198,2016-04-07 05:46:00,2016,2016,March,March,18,5,9,4
2016-03-10 21:58:03,Seat_Ibiza_SC_1.2_12V_Style_8_fach_bereit_TÜV_2/2018,privat,Offer,4090,control,kleinwagen,2009,manuell,69,ibiza,125000,Jun,Gasoline,seat,No,2016-03-10 00:00:00,73642,2016-04-04 21:46:06,2016,2016,March,March,25,21,7,6
2016-03-28 10:44:04,Seat_Ibiza_1_2_12V_Stella,privat,Offer,1950,control,kleinwagen,2003,manuell,63,ibiza,150000,Aug,Gasoline,seat,No,2016-03-28 00:00:00,51061,2016-04-01 22:44:37,2016,2016,March,March,4,22,13,4
2016-04-01 00:58:11,Seat_Ibiza_SC_1.4_TDI_PD_Style_AHK_PDC_FSE_Scheckheft,privat,Offer,5000,test,kleinwagen,2009,manuell,80,ibiza,150000,Feb,Diesel,seat,No,2016-03-31 00:00:00,74172,2016-04-03 02:16:13,2016,2016,March,April,3,2,7,10
