dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 11:38:38,Seat_Cordoba_Vario_1.9_TDI_TÜV_NEU!!_Gruene_Plakette!_VHB!,privat,Offer,1600,test,kombi,2000,manuell,90,cordoba,150000,Nov,Other,seat,No,2016-03-20 00:00:00,67346,2016-03-26 19:18:11,2016,2016,March,March,6,19,16,1
2016-03-28 21:36:19,Seat_Leon_Terro_Klimaautomatik,privat,Offer,3200,control,kombi,2006,manuell,105,leon,125000,Nov,Gasoline,seat,No,2016-03-28 00:00:00,31787,2016-03-28 22:45:47,2016,2016,March,March,0,22,10,1
2016-04-03 04:02:07,Seat_Cordoba_Vario_1.6i_SXE,privat,Offer,1199,test,kombi,1999,manuell,75,cordoba,150000,Nov,Gasoline,seat,No,2016-04-03 00:00:00,4720,2016-04-07 10:16:22,2016,2016,April,April,4,10,17,1
2016-03-29 22:38:54,Seat_Cordoba_Kombi,privat,Offer,1500,test,kombi,2000,manuell,75,cordoba,150000,Aug,Gasoline,seat,No,2016-03-29 00:00:00,26954,2016-04-06 09:17:06,2016,2016,March,March,8,9,16,4
2016-03-29 09:53:17,Seat_Ibiza_ST_Sport_TSI_105PS_DSG__Automatik_,privat,Offer,10900,test,kombi,2011,automatik,105,ibiza,30000,Jan,Gasoline,seat,No,2016-03-29 00:00:00,30455,2016-03-31 03:15:38,2016,2016,March,March,2,3,5,11
2016-03-25 13:57:51,Seat_Cordoba_Vario_1.6i_SXE,privat,Offer,500,test,kombi,1998,manuell,101,cordoba,150000,Nov,Gasoline,seat,No,2016-03-25 00:00:00,37308,2016-04-02 17:17:35,2016,2016,March,March,8,17,18,1
2016-04-02 09:25:22,Seat_Exeo_Kombi_wenig_km_neu_TÜV,privat,Offer,13000,control,kombi,2013,manuell,120,exeo,40000,Nov,Diesel,seat,No,2016-04-02 00:00:00,57520,2016-04-05 17:26:20,2016,2016,April,April,3,17,3,1
2016-03-24 18:54:16,Seat_Seat_Inca_1.4_MPI_/_Euro_2_/_AHK,privat,Offer,600,test,kombi,1997,manuell,60,andere,150000,Sep,Gasoline,seat,No,2016-03-24 00:00:00,33442,2016-03-26 04:16:35,2016,2016,March,March,2,4,19,3
2016-04-07 13:36:18,Seat_cordoba_Vario,privat,Offer,250,control,kombi,1996,manuell,75,cordoba,150000,Jan,Gasoline,seat,Other,2016-04-07 00:00:00,3185,2016-04-07 13:36:18,2016,2016,April,April,0,13,20,11
2016-03-13 16:52:05,guenstiger_wagen,privat,Offer,1200,test,kombi,1999,manuell,75,cordoba,150000,Jan,Lpg,seat,No,2016-03-13 00:00:00,23714,2016-03-19 13:15:13,2016,2016,March,March,6,13,17,11
2016-03-28 11:44:47,Seat_Ibiza_ST_1.4_Style_8xAlu_PDC_Longlife_Insp.,privat,Offer,7500,control,kombi,2011,manuell,86,ibiza,70000,Nov,Gasoline,seat,No,2016-03-28 00:00:00,36166,2016-04-06 13:45:08,2016,2016,March,March,9,13,5,1
2016-03-12 19:55:48,Seat_Ibiza_ST_1.4_16V_Copa,privat,Offer,8900,test,kombi,2011,manuell,86,ibiza,50000,Oct,Gasoline,seat,No,2016-03-12 00:00:00,32760,2016-04-05 13:44:46,2016,2016,March,March,24,13,5,2
2016-03-17 11:53:57,Seat_Ibiza_ST,privat,Offer,7990,control,kombi,2009,manuell,105,ibiza,100000,Aug,Gasoline,seat,No,2016-03-17 00:00:00,98553,2016-04-06 12:16:55,2016,2016,March,March,20,12,7,4
2016-03-23 18:00:27,SEAT_CORDOBA_VARIO___KLIMA__AHK,privat,Offer,850,control,kombi,1999,manuell,75,cordoba,150000,Oct,Gasoline,seat,No,2016-03-23 00:00:00,86842,2016-04-03 22:15:34,2016,2016,March,March,11,22,17,2
2016-03-31 15:47:37,Seat_Cordoba_Vario_1.6i_SE,privat,Offer,1200,control,kombi,1999,manuell,75,cordoba,150000,Jan,Gasoline,seat,No,2016-03-31 00:00:00,70439,2016-04-06 08:46:08,2016,2016,March,March,6,8,17,11
2016-04-01 00:51:11,Seat_Cordoba_Vario_zum_ausschlachten,privat,Offer,300,test,kombi,1998,Unspecified,0,cordoba,150000,Jan,Gasoline,seat,Other,2016-03-31 00:00:00,84095,2016-04-07 03:17:15,2016,2016,March,April,7,3,18,11
2016-03-28 19:57:29,Seat_Cordoba_Vario_1.9_TDI_GT,privat,Offer,1111,control,kombi,1998,manuell,110,cordoba,150000,Sep,Diesel,seat,No,2016-03-28 00:00:00,24220,2016-04-07 02:47:00,2016,2016,March,March,10,2,18,3
2016-03-30 09:39:58,SEAT_EXEO_ST_*Reference*_Preis_ist_VHB!!!,privat,Offer,8400,control,kombi,2009,manuell,102,exeo,60000,Sep,Gasoline,seat,No,2016-03-30 00:00:00,23743,2016-04-06 23:46:17,2016,2016,March,March,7,23,7,3
2016-03-15 14:53:45,Seat_Cordoba_Vario/Kombi_ZV_El.Fh_TÜV_03/2018_aehnl._wie__VW_POLO,privat,Offer,999,control,kombi,1999,manuell,60,cordoba,150000,Aug,Gasoline,seat,No,2016-03-15 00:00:00,4356,2016-03-17 10:15:54,2016,2016,March,March,2,10,17,4
2016-03-30 19:50:39,Seat_Altea_1.6_Fresh_Gepflegte_Zustand!!!,privat,Offer,4600,test,kombi,2005,manuell,102,altea,100000,Jun,Gasoline,seat,Other,2016-03-30 00:00:00,68309,2016-04-05 09:16:18,2016,2016,March,March,6,9,11,6
2016-03-13 00:57:59,Seat_Exeo_ST_Style_Kombi_2_0_Diesel_m._Isofix_+_neue_Inspektion,privat,Offer,10690,control,kombi,2010,manuell,143,exeo,100000,Jul,Diesel,seat,No,2016-03-13 00:00:00,76229,2016-04-06 08:44:32,2016,2016,March,March,24,8,6,5
