dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 12:51:34,Skoda_Pick_Up,privat,Offer,1780,control,andere,2000,manuell,64,andere,150000,Jun,Diesel,skoda,No,2016-03-26 00:00:00,2997,2016-04-06 00:44:55,2016,2016,March,March,11,0,16,6
2016-03-29 18:58:31,Skoda_fabia,privat,Offer,4800,control,andere,2007,manuell,70,fabia,90000,Aug,Diesel,skoda,No,2016-03-29 00:00:00,46397,2016-04-06 04:46:04,2016,2016,March,March,8,4,9,4
2016-03-10 12:54:11,Skoda_Praktik_TDI_1_4l_80_PS,privat,Offer,5600,test,andere,2009,manuell,80,andere,90000,Jun,Diesel,skoda,No,2016-03-10 00:00:00,17109,2016-03-24 14:47:37,2016,2016,March,March,14,14,7,6
2016-03-16 23:38:52,Skoda_Pickup_Kasten_LKW_Zulassung_TÜV_12/17!!!,privat,Offer,890,test,andere,2000,manuell,68,andere,150000,Sep,Gasoline,skoda,No,2016-03-16 00:00:00,38820,2016-03-18 03:17:01,2016,2016,March,March,2,3,16,3
2016-03-10 14:36:24,Seltenen_Skoda_Felicia_Fun,privat,Offer,1800,test,andere,1999,manuell,0,andere,150000,Sep,Gasoline,skoda,Yes,2016-03-10 00:00:00,69123,2016-04-05 11:48:58,2016,2016,March,March,26,11,17,3
2016-03-08 23:58:22,Roomster_Scout_1.6_16V_77KW_Brilliant_Silb._Met./Panor.dach__Anhae,privat,Offer,3999,control,andere,2007,manuell,105,roomster,150000,Sep,Gasoline,skoda,Yes,2016-03-08 00:00:00,86842,2016-04-06 23:17:43,2016,2016,March,March,29,23,9,3
2016-03-26 12:56:23,Felicia_Fun,privat,Offer,2200,control,andere,1998,manuell,70,andere,150000,Apr,Gasoline,skoda,Other,2016-03-26 00:00:00,73432,2016-03-29 15:16:00,2016,2016,March,March,3,15,18,8
2016-03-31 19:55:50,Skoda_van_plus___Felica___Hundefaenger,privat,Offer,300,control,andere,1999,manuell,0,andere,150000,Nov,Diesel,skoda,Other,2016-03-31 00:00:00,9122,2016-03-31 19:55:50,2016,2016,March,March,0,19,17,1
2016-03-21 22:57:09,Skoda_fabia,privat,Offer,1700,control,andere,2004,manuell,54,Other,150000,Mar,Gasoline,skoda,No,2016-03-21 00:00:00,44369,2016-03-23 13:18:12,2016,2016,March,March,2,13,12,9
2016-04-03 13:46:57,Skoda_Roomster_Style_zu_verkaufen!,privat,Offer,5990,control,andere,2008,manuell,105,roomster,125000,Jul,Gasoline,skoda,No,2016-04-03 00:00:00,57223,2016-04-05 12:45:08,2016,2016,April,April,2,12,8,5
2016-03-07 09:58:03,VK_Skoda_Praktik_1_2_l__neuer_Motor_,privat,Offer,4499,control,andere,2011,manuell,70,andere,60000,Jan,Gasoline,skoda,Other,2016-03-07 00:00:00,10405,2016-04-06 02:46:53,2016,2016,March,March,30,2,5,11
2016-04-01 13:54:59,Skoda_Rommster_1.4_Benzin_Euro_4_Klima_Unfall,privat,Offer,3200,test,andere,2007,manuell,0,roomster,150000,Mar,Gasoline,skoda,Yes,2016-04-01 00:00:00,48712,2016-04-07 10:45:59,2016,2016,April,April,6,10,9,9
2016-04-04 13:52:43,Skoda_Felicia_TÜV_Mai_2016,privat,Offer,350,control,andere,1999,manuell,0,andere,150000,Sep,Gasoline,skoda,Other,2016-04-04 00:00:00,17440,2016-04-06 15:16:38,2016,2016,April,April,2,15,17,3
2016-03-28 23:50:56,Skoda_Roomster_1_2,privat,Offer,1800,test,andere,2009,manuell,70,roomster,125000,May,Gasoline,skoda,Yes,2016-03-28 00:00:00,39114,2016-04-01 18:24:53,2016,2016,March,March,4,18,7,7
2016-04-03 19:51:58,Skoda_Roomster,privat,Offer,5400,test,andere,2009,manuell,69,roomster,150000,May,Gasoline,skoda,No,2016-04-03 00:00:00,33758,2016-04-05 20:45:15,2016,2016,April,April,2,20,7,7
2016-03-12 00:53:26,Skoda_Fabia_Scheckheft_gepflegt,privat,Offer,5600,test,andere,2010,manuell,86,fabia,80000,Nov,Gasoline,skoda,No,2016-03-11 00:00:00,49086,2016-03-24 22:45:34,2016,2016,March,March,13,22,6,1
2016-03-15 13:54:31,Skoda_praktic,privat,Offer,2350,control,andere,2009,manuell,51,andere,125000,Aug,Diesel,skoda,Other,2016-03-15 00:00:00,13055,2016-03-19 07:45:42,2016,2016,March,March,4,7,7,4
2016-03-12 19:56:22,Skoda_Praktik_kleine_Transporter,privat,Offer,4100,test,andere,2009,manuell,0,andere,70000,Mar,Gasoline,skoda,No,2016-03-12 00:00:00,53119,2016-04-05 13:45:20,2016,2016,March,March,24,13,7,9
2016-03-07 05:54:07,Skoda_felicia_pick_up_1.3l_auch_tausch,privat,Offer,200,test,andere,1999,manuell,0,andere,150000,Jan,Gasoline,skoda,Other,2016-03-06 00:00:00,8393,2016-03-25 23:48:49,2016,2016,March,March,19,23,17,11
2016-03-14 09:56:36,Skoda_Roomster_praktik_TÜV_11/17_Lkw_Zulassung,privat,Offer,3950,control,andere,2007,manuell,80,roomster,60000,Mar,Diesel,skoda,No,2016-03-14 00:00:00,19209,2016-03-29 03:16:39,2016,2016,March,March,15,3,9,9
2016-03-09 22:38:00,Skoda_Roomster_Praktik__TÜV_11/17_LKW__Zulassung,privat,Offer,4400,test,andere,2007,manuell,80,roomster,60000,Sep,Diesel,skoda,No,2016-03-09 00:00:00,19209,2016-03-13 03:46:48,2016,2016,March,March,4,3,9,3
2016-03-05 15:38:56,Skoda_Felicia_Van_Plus_Pickup_LKW_Zul._AHK_TÜV_neu_Benzin_68PS,privat,Offer,1300,control,andere,2000,manuell,68,andere,150000,Aug,Gasoline,skoda,No,2016-03-05 00:00:00,1728,2016-03-20 04:16:42,2016,2016,March,March,15,4,16,4
2016-03-21 16:57:12,Top_gepflegter_Fabia2,privat,Offer,5650,control,andere,2009,manuell,60,fabia,30000,May,Gasoline,skoda,No,2016-03-21 00:00:00,9337,2016-04-06 16:46:58,2016,2016,March,March,16,16,7,7
