dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 19:58:06,Skoda_Yeti_1.2_TSI_Ambition,privat,Offer,13200,control,suv,2013,manuell,105,yeti,40000,Mar,Gasoline,skoda,No,2016-03-26 00:00:00,79400,2016-04-06 10:45:21,2016,2016,March,March,11,10,3,9
2016-03-25 12:43:05,Skoda_Yeti_2.0_TDI__Navi__AHK,privat,Offer,14490,test,suv,2012,manuell,110,yeti,60000,Feb,Diesel,skoda,No,2016-03-25 00:00:00,66459,2016-04-06 13:45:09,2016,2016,March,March,12,13,4,10
2016-03-09 20:49:33,Skoda_Yeti_1.2_TSI_Active_Plus,privat,Offer,13500,test,suv,2015,manuell,105,yeti,10000,Mar,Gasoline,skoda,No,2016-03-09 00:00:00,38446,2016-03-12 22:45:03,2016,2016,March,March,3,22,1,9
2016-03-10 07:53:53,Skoda_Yeti_1.2_TSI_DSG_Experience_Xenon_Leder_Glasdach,privat,Offer,14450,control,suv,2012,automatik,105,yeti,50000,Jan,Gasoline,skoda,No,2016-03-10 00:00:00,41199,2016-03-10 09:43:32,2016,2016,March,March,0,9,4,11
2016-03-10 22:48:54,Skoda_Yeti_2.0_TDI_4x4_Monte_Carlo,privat,Offer,23699,control,suv,2014,manuell,110,yeti,30000,Sep,Diesel,skoda,No,2016-03-10 00:00:00,66871,2016-03-17 19:47:06,2016,2016,March,March,7,19,2,3
2016-03-16 21:52:37,Skoda_Yeti_2.0_TDI_4x4_Experience,privat,Offer,10200,control,suv,2009,manuell,140,yeti,150000,Sep,Diesel,skoda,No,2016-03-16 00:00:00,93351,2016-04-07 13:15:28,2016,2016,March,March,22,13,7,3
2016-03-07 21:53:33,Skoda_Yeti__mit_Panoramadach__Anhaengerkupplung__Allrad__Automatic,privat,Offer,17500,control,suv,2013,automatik,140,yeti,70000,Oct,Diesel,skoda,No,2016-03-07 00:00:00,32425,2016-04-06 10:44:43,2016,2016,March,March,30,10,3,2
2016-03-19 20:56:44,Skoda_Yeti_2.0_TDI_4x4_Xenon_/_Navi_/_AHK,privat,Offer,12890,control,suv,2011,manuell,140,yeti,150000,Sep,Diesel,skoda,No,2016-03-19 00:00:00,53913,2016-04-05 07:51:50,2016,2016,March,March,17,7,5,3
2016-03-29 20:54:57,Skoda_Yeti_1.6_TDI_GreenLine,privat,Offer,11300,test,suv,2011,manuell,105,yeti,20000,Nov,Diesel,skoda,No,2016-03-29 00:00:00,99092,2016-04-06 07:17:21,2016,2016,March,March,8,7,5,1
2016-04-03 20:58:30,Skoda_Yeti_1.2_TSI_Active,privat,Offer,10500,test,suv,2009,manuell,105,yeti,80000,Nov,Gasoline,skoda,No,2016-04-03 00:00:00,28865,2016-04-05 21:47:34,2016,2016,April,April,2,21,7,1
