dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-08 16:50:21,Smart_450_Forttwo_MCC,privat,Offer,2150,test,Other,2016,automatik,0,Other,125000,Mar,Other,smart,No,2016-03-08 00:00:00,18273,2016-04-07 02:45:35,2016,2016,March,March,30,2,0,9
2016-04-04 16:55:29,verkaufen_smart,privat,Offer,1400,test,Other,2000,automatik,54,fortwo,150000,Jan,Other,smart,No,2016-04-04 00:00:00,76599,2016-04-06 18:46:51,2016,2016,April,April,2,18,16,11
2016-03-11 09:53:53,Smart_Diesel,privat,Offer,1300,control,Other,2005,automatik,30,roadster,150000,Jan,Other,smart,Yes,2016-03-11 00:00:00,26725,2016-03-19 11:44:25,2016,2016,March,March,8,11,11,11
2016-03-11 13:52:35,Smart_zum_zuende_Ausschlachten_54PS_laeuft_1a,privat,Offer,700,test,Other,2000,automatik,54,fortwo,125000,Oct,Gasoline,smart,Yes,2016-03-11 00:00:00,23845,2016-03-17 20:48:34,2016,2016,March,March,6,20,16,2
2016-03-17 13:49:48,Smart_for_Two__Klima__Alu__Panoramadach,privat,Offer,2450,control,Other,2016,automatik,61,fortwo,80000,Feb,Gasoline,smart,No,2016-03-17 00:00:00,44339,2016-03-22 22:46:37,2016,2016,March,March,5,22,0,10
2016-03-20 10:48:13,Suche_Smart_bis_900,privat,Offer,1,control,Other,2000,Unspecified,0,Other,150000,Jan,Other,smart,Other,2016-03-20 00:00:00,23556,2016-04-06 07:17:00,2016,2016,March,March,17,7,16,11
2016-03-09 15:48:21,Smart_Roadster_Euro4____Sonderausstattung___,privat,Offer,2750,control,Other,2016,automatik,82,roadster,125000,Mar,Gasoline,smart,Yes,2016-03-09 00:00:00,92442,2016-03-17 16:45:08,2016,2016,March,March,8,16,0,9
2016-04-03 07:01:44,Smart_450_TURBOLADER_DEFEKT,privat,Offer,800,control,Other,2016,automatik,45,Other,125000,Jan,Other,smart,Other,2016-04-03 00:00:00,40629,2016-04-03 08:55:34,2016,2016,April,April,0,8,0,11
2016-04-01 11:38:15,Smart__Turbolader_wahrscheinlich_defekt.Fahrbreit,privat,Offer,850,test,Other,2016,automatik,45,fortwo,125000,Jan,Other,smart,Yes,2016-04-01 00:00:00,40629,2016-04-01 11:38:15,2016,2016,April,April,0,11,0,11
2016-03-10 18:43:06,Smart_Diesel,privat,Offer,700,test,Other,2000,automatik,0,fortwo,150000,Jan,Other,smart,Other,2016-03-10 00:00:00,35104,2016-03-26 10:44:42,2016,2016,March,March,16,10,16,11
2016-03-08 15:56:41,Smart_450._Gepflegt.,privat,Offer,1850,test,Other,2000,manuell,61,fortwo,150000,Jan,Gasoline,smart,No,2016-03-08 00:00:00,42897,2016-03-21 22:45:35,2016,2016,March,March,13,22,16,11
2016-03-13 20:42:02,Smart_automatick__Getriebe_Problem,privat,Offer,900,control,Other,2016,Unspecified,0,Other,150000,May,Diesel,smart,Other,2016-03-13 00:00:00,56727,2016-03-13 20:42:02,2016,2016,March,March,0,20,0,7
2016-03-26 12:37:15,Smarti_guenstig_abzugeben...,privat,Offer,2100,control,Other,2016,manuell,50,fortwo,90000,Jan,Gasoline,smart,No,2016-03-26 00:00:00,17373,2016-04-04 00:15:35,2016,2016,March,March,9,0,0,11
2016-03-16 20:45:35,Smart_cdi_Diesel_gruene_Plakette,privat,Offer,1450,control,Other,2016,automatik,0,Other,150000,Jan,Diesel,smart,Other,2016-03-16 00:00:00,71159,2016-04-07 07:15:24,2016,2016,March,March,22,7,0,11
2016-03-12 19:36:56,Smart_451,privat,Offer,0,test,Other,2011,Unspecified,72,Other,40000,Jun,Gasoline,smart,Other,2016-03-12 00:00:00,85051,2016-03-17 01:16:08,2016,2016,March,March,5,1,5,6
2016-03-10 12:55:45,2_X_Smart_fortwo_in_Rot_und_Schwarz_Motor_defekt,privat,Offer,1500,test,Other,2005,Unspecified,0,fortwo,90000,Jan,Other,smart,Yes,2016-03-10 00:00:00,9337,2016-03-16 21:15:49,2016,2016,March,March,6,21,11,11
2016-03-16 11:40:40,Smart__fortwo,privat,Offer,1150,test,Other,2016,automatik,0,Other,150000,Jan,Other,smart,Other,2016-03-16 00:00:00,33100,2016-04-02 06:17:58,2016,2016,March,March,17,6,0,11
2016-03-29 21:50:34,Smart_Fortwo,privat,Offer,1700,test,Other,2005,Unspecified,0,fortwo,125000,Jan,Other,smart,Other,2016-03-29 00:00:00,36414,2016-04-04 07:51:14,2016,2016,March,March,6,7,11,11
