dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 17:56:12,Smart_Cabrio_TÜV_bis_07/17,privat,Offer,3000,control,cabrio,2006,automatik,61,fortwo,80000,Jan,Gasoline,smart,No,2016-03-22 00:00:00,12055,2016-03-22 17:56:12,2016,2016,March,March,0,17,10,11
2016-03-30 12:58:13,Smart_smart_fortwo_cabrio_pulse_micro_hybrid_drive,privat,Offer,5555,control,cabrio,2010,automatik,71,fortwo,90000,Mar,Gasoline,smart,No,2016-03-30 00:00:00,85540,2016-04-07 04:15:52,2016,2016,March,March,8,4,6,9
2016-03-08 12:53:50,Smart_Smart_Brabus_Cabrio_Servo_Klima,privat,Offer,2295,test,cabrio,2000,automatik,54,fortwo,100000,May,Gasoline,smart,No,2016-03-08 00:00:00,12043,2016-03-17 23:47:35,2016,2016,March,March,9,23,16,7
2016-03-14 18:55:19,Smart_smart_crossblade,privat,Offer,14000,test,cabrio,2003,manuell,71,andere,5000,Aug,Gasoline,smart,No,2016-03-14 00:00:00,66271,2016-04-02 05:18:16,2016,2016,March,March,19,5,13,4
2016-04-04 19:36:22,Smart_Fortwo_cabrio,privat,Offer,3999,test,cabrio,2007,automatik,84,fortwo,150000,Sep,Gasoline,smart,No,2016-04-04 00:00:00,50767,2016-04-04 19:36:22,2016,2016,April,April,0,19,9,3
2016-03-21 13:58:18,Smart__roadster_softtouch_Turbo,privat,Offer,4000,test,cabrio,2003,automatik,82,roadster,125000,Aug,Gasoline,smart,No,2016-03-21 00:00:00,32425,2016-03-21 14:40:33,2016,2016,March,March,0,14,13,4
2016-04-03 08:59:10,Smart_cabrio_softouch_Klima_Passion,privat,Offer,5500,test,cabrio,2009,automatik,71,fortwo,80000,May,Gasoline,smart,No,2016-04-03 00:00:00,51063,2016-04-05 07:46:36,2016,2016,April,April,2,7,7,7
2016-03-17 09:50:38,Smart_Cabrio_Pulse__mit_nur_8_TKM_Laufleistung,privat,Offer,3300,test,cabrio,2003,manuell,61,fortwo,100000,Jan,Gasoline,smart,No,2016-03-17 00:00:00,33154,2016-04-06 07:46:08,2016,2016,March,March,20,7,13,11
2016-03-20 16:44:31,Smart_ForTwo,privat,Offer,17900,test,cabrio,2015,automatik,84,fortwo,5000,May,Gasoline,smart,No,2016-03-20 00:00:00,42113,2016-04-06 21:46:55,2016,2016,March,March,17,21,1,7
2016-04-06 18:06:23,Smart_smart_fortwo_cabrio_softouch_passion_micro_h...,privat,Offer,7999,control,cabrio,2011,automatik,71,fortwo,60000,Oct,Gasoline,smart,No,2016-04-06 00:00:00,60528,2016-04-06 18:06:23,2016,2016,April,April,0,18,5,2
