dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 14:38:37,Tauache_90ccm_roller_gegen_auto,privat,Offer,200,control,Other,2009,Unspecified,0,Other,10000,Jan,Other,sonstige_autos,Other,2016-03-21 00:00:00,6493,2016-03-24 02:47:34,2016,2016,March,March,3,2,7,11
2016-03-21 01:57:37,Wartburg_353,privat,Offer,899,test,Other,1990,Unspecified,37,Other,60000,Feb,Other,sonstige_autos,Other,2016-03-21 00:00:00,85057,2016-03-27 21:44:30,2016,2016,March,March,6,21,26,10
2016-03-18 00:55:38,pokoje_do_wynaj?cia,privat,Offer,300,test,Other,2010,Unspecified,0,Other,150000,Nov,Other,sonstige_autos,Other,2016-03-18 00:00:00,22113,2016-03-23 17:48:43,2016,2016,March,March,5,17,6,1
2016-03-07 15:06:23,Suche_rote_nummern,privat,Offer,0,test,Other,2000,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-07 00:00:00,57610,2016-03-07 15:06:23,2016,2016,March,March,0,15,16,11
2016-03-16 20:42:28,Opel_Vectra_GTS_+_Tuev_+_8_Fach_Bereift,privat,Offer,2250,control,Other,2005,Unspecified,0,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-16 00:00:00,49084,2016-03-17 19:19:09,2016,2016,March,March,1,19,11,11
2016-03-20 20:47:23,255_45_18_Winterreifen_Pirelli,privat,Offer,99,test,Other,2008,Unspecified,0,Other,20000,Jan,Other,sonstige_autos,Other,2016-03-20 00:00:00,29664,2016-03-28 22:46:31,2016,2016,March,March,8,22,8,11
2016-03-25 13:25:22,Suche_ein_Auto,privat,Offer,2800,test,Other,2005,Unspecified,150,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-25 00:00:00,35641,2016-04-07 07:16:12,2016,2016,March,March,13,7,11,11
2016-03-28 18:37:10,Fahrzeug_mit_Polnischer_Zulassung_gesucht,privat,Offer,400,control,Other,1995,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-28 00:00:00,64823,2016-04-07 00:17:33,2016,2016,March,March,10,0,21,11
2016-04-07 12:06:33,SUCHE_DRINGEND_KLEINWAGEN_MIT_TÜV!_BIETE_QUAD!_TOP!_TEILZAHLUNG!,privat,Offer,2499,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,sonstige_autos,Other,2016-04-07 00:00:00,56154,2016-04-07 12:06:33,2016,2016,April,April,0,12,16,11
2016-03-19 14:39:22,Astra_f___corsa_b___polo_6n___mazda_323,privat,Offer,0,test,Other,2000,Unspecified,0,Other,150000,Apr,Gasoline,sonstige_autos,Other,2016-03-19 00:00:00,99986,2016-04-06 21:17:59,2016,2016,March,March,18,21,16,8
2016-03-16 19:52:26,SUCHE_AUTOS_AB_BAUJAHR_2000,privat,Offer,1500,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-16 00:00:00,36041,2016-04-07 05:45:42,2016,2016,March,March,22,5,16,11
2016-03-17 22:38:13,Suche_Pkw_mit_haenger_Kupplung_zum_mieten,privat,Offer,0,test,Other,2000,Unspecified,0,Other,100000,Jan,Other,sonstige_autos,Other,2016-03-17 00:00:00,26624,2016-03-29 07:45:28,2016,2016,March,March,12,7,16,11
2016-03-22 01:58:51,Vw_polo_6n_TÜV_neu,privat,Offer,850,test,Other,2000,manuell,75,Other,150000,May,Gasoline,sonstige_autos,Other,2016-03-22 00:00:00,99986,2016-04-05 18:15:44,2016,2016,March,March,14,18,16,7
2016-03-09 14:54:16,Auto_Aufbereitung_FÜR_HÄNDLER,privat,Offer,0,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-09 00:00:00,44263,2016-03-11 23:45:01,2016,2016,March,March,2,23,1,11
2016-03-20 12:58:14,SUCHE_Kleinwagen_mit_TÜV_bis_600_Euro,privat,Offer,600,test,Other,1995,Unspecified,0,Other,150000,Nov,Other,sonstige_autos,Other,2016-03-20 00:00:00,45889,2016-03-24 04:18:11,2016,2016,March,March,4,4,21,1
2016-03-07 16:58:05,Ich_suche_ein_Pkw_bis_500_bitte_alles_anbieten,privat,Offer,500,control,Other,1990,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-07 00:00:00,22851,2016-03-13 00:45:17,2016,2016,March,March,6,0,26,11
2016-03-10 11:56:38,Iveco_bus_bj_2005,privat,Offer,1750,test,Other,2016,manuell,0,Other,150000,Jul,Other,sonstige_autos,Other,2016-03-10 00:00:00,9322,2016-03-10 12:41:21,2016,2016,March,March,0,12,0,5
2016-03-29 10:48:48,Tausche_Barkas_B1000_Pritsche,privat,Offer,0,control,Other,2015,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-29 00:00:00,4936,2016-04-05 19:46:09,2016,2016,March,March,7,19,1,11
2016-04-01 19:44:50,Verschiedene_bastlerautos,privat,Offer,0,control,Other,2005,Unspecified,0,Other,150000,May,Other,sonstige_autos,Other,2016-04-01 00:00:00,17087,2016-04-03 16:18:36,2016,2016,April,April,2,16,11,7
2016-03-10 19:53:17,Suche_dringend_Auto_mit_TÜV,privat,Offer,1000,control,Other,2000,Unspecified,0,Other,100000,Jan,Other,sonstige_autos,Other,2016-03-10 00:00:00,97082,2016-04-06 03:45:59,2016,2016,March,March,27,3,16,11
2016-03-19 16:56:03,ZIPPER_Rasenmaeherroboter_ZI_RMR_1500,privat,Offer,699,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-19 00:00:00,8340,2016-03-25 20:45:11,2016,2016,March,March,6,20,1,11
2016-03-31 11:54:49,Iveco_daily_pritsche,privat,Offer,999,control,Other,1995,manuell,102,Other,150000,Jan,Other,sonstige_autos,Yes,2016-03-31 00:00:00,57258,2016-04-04 04:17:35,2016,2016,March,March,4,4,21,11
2016-03-12 12:41:13,Thule?_Autobox_?Dachbox_?_Skibox_Dach,privat,Offer,299,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-12 00:00:00,80637,2016-04-06 07:16:18,2016,2016,March,March,25,7,1,11
2016-03-30 18:47:44,Feuerwehr_sucht_defekte_Autos_fuer_Übungen_zu_verschenken,privat,Offer,0,test,Other,1990,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-30 00:00:00,21039,2016-04-07 10:16:35,2016,2016,March,March,8,10,26,11
2016-03-06 12:48:36,SUCHE_Auto_bis_4000_Golf_V__Mercedes_C_Audi,privat,Offer,0,test,Other,2005,Unspecified,0,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-06 00:00:00,79199,2016-04-06 05:45:21,2016,2016,March,March,31,5,11,11
2016-03-21 16:55:13,Tasso_t2_kleinkraftfahrzeug,privat,Offer,2900,control,Other,2005,manuell,0,Other,40000,Aug,Diesel,sonstige_autos,No,2016-03-21 00:00:00,59065,2016-04-06 16:46:55,2016,2016,March,March,16,16,11,4
2016-03-14 16:58:46,Doppelpack_1x_Audi_a4_Avant_170_PS_und_1x_VW_Passat_170_PS,privat,Offer,0,test,Other,2007,Unspecified,170,Other,100000,Jan,Other,sonstige_autos,Other,2016-03-14 00:00:00,38536,2016-03-21 08:17:13,2016,2016,March,March,7,8,9,11
2016-03-05 22:54:03,Lackierer_sucht_Auftraege,privat,Offer,0,control,Other,1960,Unspecified,0,Other,10000,Jan,Other,sonstige_autos,Other,2016-03-05 00:00:00,72622,2016-03-06 05:43:10,2016,2016,March,March,1,5,56,11
2016-04-02 10:48:05,Sommerreifen_Continental,privat,Offer,160,test,Other,2000,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-04-02 00:00:00,27628,2016-04-06 08:45:00,2016,2016,April,April,4,8,16,11
2016-03-27 21:47:49,Suche_ein_Kraftfahrzeug,privat,Offer,1,test,Other,2000,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-27 00:00:00,49134,2016-03-27 21:47:49,2016,2016,March,March,0,21,16,11
2016-03-18 15:44:04,Dringend_heute_rote_kennzeiche.,privat,Offer,1,control,Other,2015,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-18 00:00:00,44149,2016-03-18 15:44:04,2016,2016,March,March,0,15,1,11
2016-04-02 14:46:41,Suche_Kombi_oder_Van,privat,Offer,0,test,Other,2000,Unspecified,0,Other,150000,Nov,Gasoline,sonstige_autos,Other,2016-04-02 00:00:00,36251,2016-04-06 13:16:28,2016,2016,April,April,4,13,16,1
2016-03-28 08:55:44,Wartburg_353,privat,Offer,599,test,Other,1990,Unspecified,0,Other,70000,Jan,Other,sonstige_autos,Other,2016-03-28 00:00:00,9569,2016-03-31 16:45:50,2016,2016,March,March,3,16,26,11
2016-03-23 15:57:40,Suche_Auto,privat,Offer,111,test,Other,2000,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-23 00:00:00,54293,2016-03-29 11:17:00,2016,2016,March,March,6,11,16,11
2016-03-12 22:53:01,Suche_dringend_eine_Auto_mit_TÜV,privat,Offer,0,control,Other,2005,Unspecified,0,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-12 00:00:00,46145,2016-03-16 09:15:45,2016,2016,March,March,4,9,11,11
2016-04-06 05:36:15,Verkaufe_oder_tausche_motorroller_ohne_papiere_nur_diese,privat,Offer,225,control,Other,2005,Unspecified,0,Other,20000,Jan,Other,sonstige_autos,Other,2016-04-06 00:00:00,6493,2016-04-06 05:36:15,2016,2016,April,April,0,5,11,11
2016-03-09 16:52:51,Autos_72_Monate_ALL_INKLUSIVE,privat,Offer,0,test,Other,2015,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-09 00:00:00,41564,2016-03-09 16:52:51,2016,2016,March,March,0,16,1,11
2016-03-23 09:37:24,Suche_einen_7_sitzer,privat,Offer,0,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-23 00:00:00,45476,2016-04-07 10:16:35,2016,2016,March,March,15,10,16,11
2016-03-20 10:47:50,Suche_einen_Bus__Van__Transporter,privat,Offer,0,control,Other,2005,Unspecified,0,Other,10000,Jan,Diesel,sonstige_autos,Other,2016-03-20 00:00:00,6333,2016-03-24 00:46:05,2016,2016,March,March,4,0,11,11
