dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 20:45:27,Microcar_MC1,privat,Offer,3950,test,kleinwagen,2004,automatik,5,Other,70000,May,Diesel,sonstige_autos,No,2016-03-20 00:00:00,90562,2016-04-03 04:17:08,2016,2016,March,March,14,4,12,7
2016-03-12 19:50:29,Daewoo___ROk__M100,privat,Offer,1470,test,kleinwagen,1999,manuell,0,Other,70000,Nov,Gasoline,sonstige_autos,No,2016-03-12 00:00:00,16816,2016-03-24 20:15:44,2016,2016,March,March,12,20,17,1
2016-04-02 13:47:16,Bellier_Vario,privat,Offer,0,test,kleinwagen,1910,Unspecified,0,Other,5000,Jan,,sonstige_autos,Other,2016-04-02 00:00:00,93105,2016-04-04 11:16:30,2016,2016,April,April,2,11,106,11
2016-03-24 16:38:53,Microcar_Virgo_3,privat,Offer,2850,control,kleinwagen,2005,automatik,5,Other,40000,Aug,Diesel,sonstige_autos,No,2016-03-24 00:00:00,56825,2016-04-07 08:44:59,2016,2016,March,March,14,8,11,4
2016-03-30 20:48:24,BMW_316_ti,privat,Offer,3400,control,kleinwagen,2003,manuell,116,Other,150000,Sep,Gasoline,sonstige_autos,Other,2016-03-30 00:00:00,26419,2016-04-07 13:17:53,2016,2016,March,March,8,13,13,3
2016-04-02 22:47:03,Microcar_MC2,privat,Offer,2500,test,kleinwagen,2006,automatik,5,Other,40000,Jan,Diesel,sonstige_autos,Yes,2016-04-02 00:00:00,78532,2016-04-04 21:17:01,2016,2016,April,April,2,21,10,11
2016-03-28 15:06:26,MG_ZR_105_BEDINGT_FAHRBEREIT!!!,privat,Offer,1300,control,kleinwagen,2005,manuell,103,Other,150000,Jan,Other,sonstige_autos,Yes,2016-03-28 00:00:00,65556,2016-04-06 23:46:13,2016,2016,March,March,9,23,11,11
2016-03-28 14:56:39,Aixam_400_SL,privat,Offer,5200,test,kleinwagen,1998,automatik,5,Other,40000,Sep,Diesel,sonstige_autos,Other,2016-03-28 00:00:00,84085,2016-04-04 18:15:43,2016,2016,March,March,7,18,18,3
2016-03-28 13:49:00,Suche_Auto,privat,Offer,200,test,kleinwagen,1996,Unspecified,0,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-28 00:00:00,44309,2016-04-06 17:45:44,2016,2016,March,March,9,17,20,11
2016-03-11 08:51:45,Andere_Andere,privat,Offer,2900,test,kleinwagen,2001,automatik,5,Other,20000,Apr,Diesel,sonstige_autos,No,2016-03-11 00:00:00,53501,2016-04-06 06:46:24,2016,2016,March,March,26,6,15,8
2016-03-23 17:57:22,Morris_Minor__1000,privat,Offer,5600,control,kleinwagen,1957,manuell,37,Other,90000,Sep,Gasoline,sonstige_autos,Other,2016-03-23 00:00:00,68794,2016-04-05 22:18:03,2016,2016,March,March,13,22,59,3
2016-03-12 07:02:10,Ligier_Optima,privat,Offer,800,control,kleinwagen,1990,Unspecified,49,Other,30000,Aug,Gasoline,sonstige_autos,Yes,2016-03-12 00:00:00,4357,2016-04-06 11:16:53,2016,2016,March,March,25,11,26,4
2016-03-27 15:38:16,MG_MG_ZR_1.8,privat,Offer,4700,control,kleinwagen,2001,manuell,160,Other,125000,Oct,Gasoline,sonstige_autos,No,2016-03-27 00:00:00,98574,2016-04-07 12:17:52,2016,2016,March,March,11,12,15,2
2016-03-29 00:38:48,Goggomobil_Coupe_Baujahr_1966,privat,Offer,0,test,kleinwagen,1966,manuell,0,Other,40000,Jan,Hybrid,sonstige_autos,Yes,2016-03-28 00:00:00,52382,2016-04-05 14:16:34,2016,2016,March,March,8,14,50,11
2016-04-04 15:39:11,Opel_Corsa_B__4_Tuerer_zu_verkaufen,privat,Offer,250,test,kleinwagen,1997,manuell,60,Other,150000,Apr,Other,sonstige_autos,Other,2016-04-04 00:00:00,29303,2016-04-06 16:47:23,2016,2016,April,April,2,16,19,8
2016-04-04 22:46:05,CASALINI_YDEA_MOPEDAUTO_MICROCAR_bis_45km/h,privat,Offer,2200,test,kleinwagen,2003,automatik,5,Other,10000,Sep,Gasoline,sonstige_autos,No,2016-04-04 00:00:00,74388,2016-04-07 01:44:21,2016,2016,April,April,3,1,13,3
2016-03-31 16:38:24,Aixam_Mopedauto_Aixam__A741_Diesel,privat,Offer,3400,control,kleinwagen,2006,automatik,5,Other,60000,May,Diesel,sonstige_autos,No,2016-03-31 00:00:00,23898,2016-04-06 09:44:19,2016,2016,March,March,6,9,10,7
2016-03-07 16:55:05,Innocenti_90_L_Mini,privat,Offer,1600,control,kleinwagen,1979,manuell,49,Other,100000,Jan,Gasoline,sonstige_autos,No,2016-03-07 00:00:00,50933,2016-04-05 23:46:02,2016,2016,March,March,29,23,37,11
