dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 23:39:49,Barkas_B1000__1__Viertakt_motor,privat,Offer,3900,test,kombi,1990,manuell,0,Other,30000,May,Gasoline,sonstige_autos,Other,2016-04-02 00:00:00,15345,2016-04-07 01:46:23,2016,2016,April,April,5,1,26,7
2016-03-26 16:46:03,Wartburg_353_Tourist_Lenkradschaltung,privat,Offer,2353,control,kombi,1983,manuell,50,Other,100000,Jan,Other,sonstige_autos,No,2016-03-26 00:00:00,99834,2016-04-06 05:15:40,2016,2016,March,March,11,5,33,11
2016-04-01 22:51:24,Dodge_Caliber_1.8_Gruener_Plakette_Reifen_fast_Neu_Top,privat,Offer,4999,test,kombi,2007,manuell,150,Other,150000,Nov,Gasoline,sonstige_autos,No,2016-04-01 00:00:00,75177,2016-04-05 21:45:12,2016,2016,April,April,4,21,9,1
2016-04-03 09:53:03,Ford_Mondeo_Turnier_Ghia,privat,Offer,2599,control,kombi,2004,manuell,130,Other,150000,Apr,Other,sonstige_autos,No,2016-04-03 00:00:00,38100,2016-04-07 11:17:28,2016,2016,April,April,4,11,12,8
2016-03-16 08:55:27,Morris_Minor_Traveller_Oldtimer__1962__Tacho_3500_mls,privat,Offer,12000,test,kombi,1962,manuell,29,Other,40000,Jun,Other,sonstige_autos,No,2016-03-16 00:00:00,46562,2016-04-06 02:44:25,2016,2016,March,March,21,2,54,6
2016-03-23 14:48:35,Wartburg_353,privat,Offer,2400,test,kombi,1985,manuell,50,Other,80000,Oct,Gasoline,sonstige_autos,No,2016-03-23 00:00:00,99885,2016-04-05 16:47:00,2016,2016,March,March,13,16,31,2
2016-03-10 22:56:45,Austin_Maxi_1750,privat,Offer,500,control,kombi,1974,manuell,0,Other,80000,Mar,Gasoline,sonstige_autos,No,2016-03-10 00:00:00,93326,2016-03-11 17:47:09,2016,2016,March,March,1,17,42,9
2016-03-28 20:48:39,Suche_Kombi/Limousine_ohne_TÜV,privat,Offer,0,control,kombi,1958,Unspecified,0,Other,150000,May,Other,sonstige_autos,Yes,2016-03-28 00:00:00,32584,2016-03-30 12:47:51,2016,2016,March,March,2,12,58,7
2016-03-30 19:45:09,Piaggio_Pierer_1.4_D_Bus_6_Sitzer,privat,Offer,2500,test,kombi,2003,manuell,38,Other,70000,Nov,Other,sonstige_autos,Other,2016-03-30 00:00:00,1689,2016-04-07 11:16:15,2016,2016,March,March,8,11,13,1
2016-04-01 14:46:00,Tausche_gegen_Familienwagen_7_Sitzer,privat,Offer,1,test,kombi,2010,automatik,224,Other,5000,Jun,Diesel,sonstige_autos,Yes,2016-04-01 00:00:00,38226,2016-04-07 11:45:26,2016,2016,April,April,6,11,6,6
2016-03-28 21:54:45,Dodge_Caliber_2.0_CRD_SXT,privat,Offer,6999,control,kombi,2007,manuell,140,Other,70000,Feb,Diesel,sonstige_autos,No,2016-03-28 00:00:00,92637,2016-04-03 04:18:12,2016,2016,March,March,6,4,9,10
2016-03-07 21:56:28,Dodge_Caliber_2.0_CVT_SXT,privat,Offer,6499,control,kombi,2007,automatik,156,Other,100000,Nov,Gasoline,sonstige_autos,No,2016-03-07 00:00:00,4357,2016-03-19 10:47:08,2016,2016,March,March,12,10,9,1
2016-03-24 07:54:22,Dodge_Caliber_2.0_CRD_SXT,privat,Offer,4600,control,kombi,2007,manuell,140,Other,125000,Apr,Diesel,sonstige_autos,Yes,2016-03-24 00:00:00,77694,2016-04-06 22:45:44,2016,2016,March,March,13,22,9,8
2016-04-02 23:54:44,Wartburg_353_Tourist_1984_Scheunenfund,privat,Offer,1250,test,kombi,1984,manuell,0,Other,100000,Jan,Other,sonstige_autos,No,2016-04-02 00:00:00,7554,2016-04-07 07:16:22,2016,2016,April,April,5,7,32,11
2016-03-13 19:25:17,ALPINA_D3_Touring,privat,Offer,11999,control,kombi,2006,manuell,200,Other,150000,Oct,Diesel,sonstige_autos,No,2016-03-13 00:00:00,56412,2016-04-06 01:50:27,2016,2016,March,March,24,1,10,2
2016-04-02 23:57:17,Wartburg_353,privat,Offer,1250,test,kombi,1984,manuell,0,Other,100000,Apr,Gasoline,sonstige_autos,No,2016-04-02 00:00:00,7554,2016-04-07 08:15:57,2016,2016,April,April,5,8,32,8
2016-04-01 15:58:30,Wartburg_311/312_Camping_mit_Faltschiebedach,privat,Offer,4800,test,kombi,1967,Unspecified,0,Other,5000,Jan,Gasoline,sonstige_autos,Other,2016-04-01 00:00:00,15868,2016-04-03 12:52:32,2016,2016,April,April,2,12,49,11
