dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-29 15:48:15,TAUSCHE_BMW_E38_740i_g._SUV_/_GELÄNDEWAGEN_LESEN_LESEN,privat,Offer,1,control,suv,1994,manuell,286,Other,150000,Nov,Other,sonstige_autos,Other,2016-03-29 00:00:00,53721,2016-04-06 01:44:38,2016,2016,March,March,8,1,22,1
2016-04-01 15:56:27,Dodge_RAM_1500_SLT_5_9l_V8_4X4_Benzin_/_Gas,privat,Offer,9900,test,suv,2000,automatik,250,Other,150000,Apr,Lpg,sonstige_autos,No,2016-04-01 00:00:00,17309,2016-04-07 14:56:03,2016,2016,April,April,6,14,16,8
2016-03-30 20:49:19,Dodge_RAM_SLT_1500_Quad_Cab_4x4_5.7_Liter_LPG,privat,Offer,19490,control,suv,2007,automatik,345,Other,125000,Jun,Gasoline,sonstige_autos,No,2016-03-30 00:00:00,16727,2016-04-01 15:47:53,2016,2016,March,March,2,15,9,6
2016-03-21 09:57:13,Dogde_Nitro_Top_Auto,privat,Offer,11900,control,suv,2007,automatik,177,Other,150000,Aug,Diesel,sonstige_autos,No,2016-03-21 00:00:00,32425,2016-04-02 05:18:08,2016,2016,March,March,12,5,9,4
2016-03-14 17:49:33,Iveco_Massif__wie_Land_Rover_Defender,privat,Offer,12500,control,suv,2010,manuell,145,Other,125000,Jan,Diesel,sonstige_autos,No,2016-03-14 00:00:00,35583,2016-04-06 06:16:20,2016,2016,March,March,23,6,6,11
2016-03-23 10:56:52,Dodge_RAM_2500,privat,Offer,19500,control,suv,2004,automatik,349,Other,150000,Jul,Lpg,sonstige_autos,No,2016-03-23 00:00:00,15834,2016-04-07 11:16:02,2016,2016,March,March,15,11,12,5
2016-03-11 08:37:37,GAZ_Gazelle_4x4,privat,Offer,2500,test,suv,2006,manuell,0,Other,70000,Jun,Diesel,sonstige_autos,No,2016-03-11 00:00:00,96524,2016-04-06 04:44:27,2016,2016,March,March,26,4,10,6
2016-04-03 17:48:21,Dodge_RAM,privat,Offer,17500,test,suv,2006,automatik,238,Other,60000,Jul,Lpg,sonstige_autos,No,2016-04-03 00:00:00,53937,2016-04-05 18:17:15,2016,2016,April,April,2,18,10,5
2016-03-11 16:51:33,Isuzu_D_Max_4x4_Double_Cab_Premium,privat,Offer,23900,test,suv,2012,manuell,163,Other,90000,Sep,Diesel,sonstige_autos,No,2016-03-11 00:00:00,83627,2016-04-05 15:17:58,2016,2016,March,March,25,15,4,3
2016-03-26 17:54:10,Dodge_RAM_1500_Quad_Cab_5_7_Hemi_4x4,privat,Offer,17990,control,suv,2006,automatik,328,Other,125000,Jul,Lpg,sonstige_autos,No,2016-03-26 00:00:00,22119,2016-04-06 06:46:12,2016,2016,March,March,11,6,10,5
2016-03-31 23:52:27,Ssangyong_Tivoli_e_XGi_160_2WD_Quartz,privat,Offer,17500,control,suv,2015,automatik,128,Other,5000,Aug,Gasoline,sonstige_autos,No,2016-03-31 00:00:00,90762,2016-04-07 03:17:21,2016,2016,March,March,7,3,1,4
2016-03-22 12:37:00,Dodge_Nitro,privat,Offer,9850,control,suv,2010,manuell,0,Other,125000,Feb,Diesel,sonstige_autos,Other,2016-03-22 00:00:00,86356,2016-03-22 12:37:00,2016,2016,March,March,0,12,6,10
2016-03-19 12:46:44,Infiniti_FX_35______LPG__Vollsustatung,privat,Offer,9250,test,suv,2005,automatik,283,Other,100000,Jun,Lpg,sonstige_autos,No,2016-03-19 00:00:00,24143,2016-03-20 14:19:46,2016,2016,March,March,1,14,11,6
2016-04-03 13:51:32,Dodge_RAM,privat,Offer,15000,control,suv,2006,automatik,349,Other,150000,Jun,Gasoline,sonstige_autos,No,2016-04-03 00:00:00,74545,2016-04-05 12:46:32,2016,2016,April,April,2,12,10,6
