dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 18:57:17,2_mal_Subaru_Libero_super_delux,privat,Offer,1499,control,bus,1995,manuell,54,andere,150000,Aug,Gasoline,subaru,Yes,2016-04-03 00:00:00,56072,2016-04-07 11:15:22,2016,2016,April,April,4,11,21,4
2016-03-30 09:57:10,Subaru_Libero_4WD_SDX_SR,privat,Offer,650,control,bus,1996,manuell,54,andere,100000,Apr,Gasoline,subaru,No,2016-03-30 00:00:00,87657,2016-03-30 10:48:17,2016,2016,March,March,0,10,20,8
2016-04-02 11:51:04,Subaru_Libero_4WD_SDX_SR,privat,Offer,1499,control,bus,1995,manuell,54,andere,20000,Aug,Gasoline,subaru,Yes,2016-04-02 00:00:00,56072,2016-04-05 18:46:08,2016,2016,April,April,3,18,21,4
2016-03-26 10:55:33,Subaru_Libero_4WD__EINZELSTÜCK__TÜV_NEU__TOP_ZUSTAND!!,privat,Offer,5199,test,bus,1998,manuell,54,andere,90000,Nov,Gasoline,subaru,No,2016-03-26 00:00:00,10783,2016-03-31 05:46:01,2016,2016,March,March,5,5,18,1
2016-04-01 20:57:15,Subaru_Libero_4WD__SUPERDELUXE__EINZELSTÜCK__24.09.1999,privat,Offer,5899,test,bus,1999,manuell,54,andere,90000,Sep,Gasoline,subaru,No,2016-04-01 00:00:00,10783,2016-04-03 18:45:48,2016,2016,April,April,2,18,17,3
2016-03-05 18:52:36,Subaru_Justy__G3X,privat,Offer,6000,test,bus,2008,manuell,94,justy,20000,Jul,Gasoline,subaru,No,2016-03-05 00:00:00,94086,2016-03-15 01:45:28,2016,2016,March,March,10,1,8,5
2016-03-21 10:51:33,Subaru_B9_Tribeca_3.0R_Automatic_Exclusive_LPG_7_Sitze,privat,Offer,7499,test,bus,2006,automatik,245,andere,150000,Nov,Gasoline,subaru,Yes,2016-03-21 00:00:00,74420,2016-04-06 05:15:18,2016,2016,March,March,16,5,10,1
2016-03-26 15:42:50,Subaru_libero_AWD,privat,Offer,1800,test,bus,1994,Unspecified,0,Other,60000,Jan,Other,subaru,Other,2016-03-26 00:00:00,79115,2016-03-26 15:42:50,2016,2016,March,March,0,15,22,11
2016-04-01 10:48:00,Subaru_Forester_2.0_*Allrad_4x4*Klima*Schiebedach*,privat,Offer,1250,control,bus,2000,manuell,125,forester,150000,Nov,Gasoline,subaru,Other,2016-04-01 00:00:00,81737,2016-04-07 07:17:08,2016,2016,April,April,6,7,16,1
2016-03-24 23:48:16,Subaru_libero_AWD,privat,Offer,2500,test,bus,1992,manuell,0,Other,90000,Jan,Other,subaru,Other,2016-03-24 00:00:00,79115,2016-03-26 13:45:27,2016,2016,March,March,2,13,24,11
2016-04-01 22:54:53,Subaru_Libero_4WD__SUPERDELUXE__EINZELSTÜCK____24.09.1999__,privat,Offer,5899,test,bus,1999,manuell,54,andere,90000,Sep,Gasoline,subaru,No,2016-04-01 00:00:00,10783,2016-04-05 23:46:11,2016,2016,April,April,4,23,17,3
2016-03-31 19:45:07,Subaru_Libero_4WD_SDX__AHK_!__TÜV__2.Hand__nur_Rentner,privat,Offer,2500,control,bus,1997,manuell,54,andere,150000,Apr,Gasoline,subaru,No,2016-03-31 00:00:00,59348,2016-03-31 19:45:07,2016,2016,March,March,0,19,19,8
2016-03-20 07:56:35,Subaru_Libero_4WD_SDX_SR,privat,Offer,700,control,bus,1996,manuell,54,andere,150000,Apr,Gasoline,subaru,No,2016-03-20 00:00:00,87657,2016-03-20 09:45:16,2016,2016,March,March,0,9,20,8
2016-03-23 09:25:19,Subaru_Libero_4WD,privat,Offer,3790,control,bus,1995,manuell,54,andere,125000,Jan,Gasoline,subaru,No,2016-03-23 00:00:00,61350,2016-03-26 16:44:42,2016,2016,March,March,3,16,21,11
2016-03-25 23:53:56,Subaru_Libero_4WD_SDX_SR,privat,Offer,12000,control,bus,1998,manuell,54,andere,30000,Jul,Gasoline,subaru,No,2016-03-25 00:00:00,15345,2016-04-05 18:18:25,2016,2016,March,March,11,18,18,5
2016-03-12 13:52:36,Subaru_Libero_4WD_LED_Tagfahrlicht,privat,Offer,1399,control,bus,1998,manuell,54,andere,70000,Feb,Gasoline,subaru,No,2016-03-12 00:00:00,71126,2016-03-14 05:17:46,2016,2016,March,March,2,5,18,10
2016-03-18 16:48:41,Subaru_Libero_4x4_4WD_Allrad_SuperDeluxe_Tausch_Moeglich,privat,Offer,399,test,bus,1994,manuell,54,andere,80000,Feb,Gasoline,subaru,No,2016-03-18 00:00:00,46238,2016-04-03 21:44:43,2016,2016,March,March,16,21,22,10
