dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-11 19:25:22,Verkaufe_treuen_Subaru_Justy_GX_als_BASTLERFAHRZEUG,privat,Offer,400,test,kleinwagen,2002,manuell,86,justy,150000,Nov,Gasoline,subaru,Other,2016-03-11 00:00:00,56179,2016-04-06 15:17:34,2016,2016,March,March,26,15,14,1
2016-03-24 09:37:23,Subaru_Justy_1.0_Sondermodell_Active_1Hd._Top_Zustand,privat,Offer,5350,control,kleinwagen,2008,manuell,69,justy,20000,Nov,Gasoline,subaru,No,2016-03-24 00:00:00,64686,2016-04-07 00:17:13,2016,2016,March,March,14,0,8,1
2016-03-13 23:23:56,Subaru_justy,privat,Offer,990,control,kleinwagen,1996,manuell,68,justy,125000,Jan,Other,subaru,No,2016-03-13 00:00:00,35708,2016-04-06 03:16:15,2016,2016,March,March,24,3,20,11
2016-03-14 20:54:57,Subaru_Justy__mit_TÜV_bis_08/2017__original_79400_KM,privat,Offer,550,control,kleinwagen,2000,manuell,68,justy,80000,Jun,Gasoline,subaru,No,2016-03-14 00:00:00,56472,2016-03-15 14:44:36,2016,2016,March,March,1,14,16,6
2016-03-12 21:50:07,Subaru_Justy_1.3_4WD_GX,privat,Offer,500,test,kleinwagen,2001,manuell,86,justy,150000,Apr,Gasoline,subaru,No,2016-03-12 00:00:00,97645,2016-04-05 18:45:41,2016,2016,March,March,24,18,15,8
2016-03-08 21:50:16,Subaru_Justy_1.3_4WD_GX_ABS,privat,Offer,850,test,kleinwagen,1997,manuell,68,justy,100000,Nov,Gasoline,subaru,No,2016-03-08 00:00:00,65520,2016-03-27 22:16:23,2016,2016,March,March,19,22,19,1
2016-03-29 12:58:18,Subaru_Justy_GX_Bj.2002,privat,Offer,850,test,kleinwagen,2002,manuell,86,justy,150000,Oct,Gasoline,subaru,Other,2016-03-29 00:00:00,87671,2016-04-05 22:17:08,2016,2016,March,March,7,22,14,2
2016-03-09 16:58:20,Subaru_G3X_Justy_1.3_Allrad,privat,Offer,3900,test,kleinwagen,2007,manuell,94,andere,150000,Oct,Gasoline,subaru,No,2016-03-09 00:00:00,9526,2016-03-20 21:44:51,2016,2016,March,March,11,21,9,2
2016-03-16 17:58:47,Subaru_Justy,privat,Offer,3999,control,kleinwagen,2005,manuell,94,justy,40000,Jan,Gasoline,subaru,No,2016-03-16 00:00:00,71254,2016-04-07 00:45:47,2016,2016,March,March,22,0,11,11
2016-03-29 23:43:18,Subaru_Subaru_Justy_1.3_4WD,privat,Offer,549,control,kleinwagen,1998,manuell,68,justy,125000,Mar,Gasoline,subaru,No,2016-03-29 00:00:00,93474,2016-03-31 17:17:50,2016,2016,March,March,2,17,18,9
2016-03-22 15:57:46,subaru_justy_KAD,privat,Offer,99,control,kleinwagen,1993,manuell,68,justy,125000,Jul,Gasoline,subaru,Yes,2016-03-22 00:00:00,86199,2016-04-06 06:45:02,2016,2016,March,March,15,6,23,5
2016-04-04 11:52:10,Subaru_Justy_1.3_4WD_GX,privat,Offer,3099,control,kleinwagen,2003,manuell,86,justy,20000,Oct,Gasoline,subaru,No,2016-04-04 00:00:00,91790,2016-04-04 11:52:10,2016,2016,April,April,0,11,13,2
2016-03-30 17:45:50,Subaru_Justy,privat,Offer,3250,control,kleinwagen,2003,manuell,94,justy,150000,Oct,Gasoline,subaru,Yes,2016-03-30 00:00:00,91790,2016-04-03 07:53:48,2016,2016,March,March,4,7,13,2
2016-04-03 11:54:54,Subaru_G3X_Justy_1.3,privat,Offer,3850,control,kleinwagen,2004,manuell,94,andere,50000,Jul,Gasoline,subaru,No,2016-04-03 00:00:00,34474,2016-04-07 13:15:50,2016,2016,April,April,4,13,12,5
2016-04-03 12:38:03,Subaru_Justy_G3X__wenig_KM__guter_Zustand__TÜV_bis_05/17,privat,Offer,3999,control,kleinwagen,2004,manuell,94,justy,50000,Jun,Gasoline,subaru,No,2016-04-03 00:00:00,83104,2016-04-07 14:56:58,2016,2016,April,April,4,14,12,6
2016-04-05 04:04:05,Subaru_Justy,privat,Offer,700,control,kleinwagen,1995,manuell,0,justy,30000,Aug,Gasoline,subaru,No,2016-04-05 00:00:00,4288,2016-04-07 09:44:19,2016,2016,April,April,2,9,21,4
2016-03-13 19:38:36,Subaru_Justy_1.0_Trend,privat,Offer,4650,control,kleinwagen,2010,manuell,69,justy,100000,Nov,Gasoline,subaru,No,2016-03-13 00:00:00,35260,2016-03-21 17:47:38,2016,2016,March,March,8,17,6,1
2016-03-08 17:48:04,25_kmh_auto_mit_originalen_Papiere,privat,Offer,1100,control,kleinwagen,1992,manuell,25,Other,90000,Apr,Gasoline,subaru,No,2016-03-08 00:00:00,45894,2016-03-12 02:17:32,2016,2016,March,March,4,2,24,8
2016-04-02 00:46:59,Subaru_Justy_1.3_4WD,privat,Offer,250,test,kleinwagen,1997,manuell,68,justy,150000,Mar,Gasoline,subaru,Other,2016-04-01 00:00:00,9526,2016-04-06 04:16:29,2016,2016,April,April,5,4,19,9
2016-03-06 17:25:22,Subaru_Justy_1.3_4WD_GX_Sehr_gepflegt,privat,Offer,1690,control,kleinwagen,2002,manuell,86,justy,150000,Nov,Gasoline,subaru,No,2016-03-06 00:00:00,35713,2016-04-05 19:47:50,2016,2016,March,March,30,19,14,1
2016-03-22 10:51:48,Subaru_Justy_1000_4WD_Allrad_Teiletraeger,privat,Offer,20,control,kleinwagen,1990,manuell,50,justy,150000,Nov,Gasoline,subaru,Other,2016-03-22 00:00:00,82387,2016-03-27 23:17:01,2016,2016,March,March,5,23,26,1
2016-03-12 19:30:55,Subaru_Justy_1.3_4WD_GX,privat,Offer,500,test,kleinwagen,2002,manuell,86,justy,125000,Jan,Gasoline,subaru,Yes,2016-03-12 00:00:00,57520,2016-04-07 10:44:49,2016,2016,March,March,26,10,14,11
2016-03-09 18:51:21,Subaru_Justy_1.3L_Allrad_86PS,privat,Offer,400,test,kleinwagen,2002,manuell,86,justy,150000,Oct,Gasoline,subaru,No,2016-03-09 00:00:00,33098,2016-03-10 13:48:27,2016,2016,March,March,1,13,14,2
2016-03-16 08:36:17,Subaru_Justy_1.0,privat,Offer,2500,test,kleinwagen,2008,manuell,69,justy,150000,Sep,Gasoline,subaru,No,2016-03-16 00:00:00,94143,2016-04-03 23:45:03,2016,2016,March,March,18,23,8,3
2016-03-25 15:54:03,Subaru_Justy,privat,Offer,240,test,kleinwagen,1998,manuell,70,justy,125000,Sep,Gasoline,subaru,No,2016-03-25 00:00:00,88430,2016-04-06 20:16:47,2016,2016,March,March,12,20,18,3
2016-03-07 21:56:19,Subaru_Justy_4_WD,privat,Offer,793,control,kleinwagen,1997,manuell,68,justy,150000,May,Gasoline,subaru,No,2016-03-07 00:00:00,67550,2016-03-26 20:44:30,2016,2016,March,March,19,20,19,7
2016-04-04 23:50:15,Subaru_Justy_1.3_4WD_GX_gepflegt,privat,Offer,1290,control,kleinwagen,2001,manuell,68,justy,150000,Apr,Gasoline,subaru,No,2016-04-04 00:00:00,8258,2016-04-07 05:16:28,2016,2016,April,April,3,5,15,8
2016-03-12 12:48:59,Subaru_Justy_GX_1.3_4WD_Allradantrieb_???_4X4_?_Navi???,privat,Offer,399,test,kleinwagen,2001,manuell,68,justy,150000,Jul,Gasoline,subaru,No,2016-03-12 00:00:00,57413,2016-03-29 22:45:38,2016,2016,March,March,17,22,15,5
2016-04-07 08:06:39,Subaru_justy_*defekt*,privat,Offer,250,test,kleinwagen,1998,manuell,0,justy,125000,Jan,Gasoline,subaru,Yes,2016-04-07 00:00:00,57635,2016-04-07 08:25:32,2016,2016,April,April,0,8,18,11
2016-04-01 18:48:56,gepflegter_Kleinwagen_Subaru_Justy_mit_HU_1._Hand,privat,Offer,5000,control,kleinwagen,2010,manuell,69,justy,30000,Aug,Gasoline,subaru,No,2016-04-01 00:00:00,38259,2016-04-05 14:46:51,2016,2016,April,April,4,14,6,4
2016-03-08 17:37:34,Biete_hier_Subaru_Justy_1.3Gx_Zum_ausschlachten_oder_herrichten,privat,Offer,500,control,kleinwagen,2000,manuell,68,justy,125000,Jan,Gasoline,subaru,Yes,2016-03-08 00:00:00,87668,2016-04-07 06:16:00,2016,2016,March,March,30,6,16,11
2016-03-06 08:52:40,Subaru_Justy_1991,privat,Offer,50,test,kleinwagen,1991,manuell,68,justy,150000,Jan,Gasoline,subaru,Other,2016-03-06 00:00:00,54316,2016-03-08 14:46:18,2016,2016,March,March,2,14,25,11
2016-03-25 11:37:55,Subaru_Justy_1.0_Active,privat,Offer,3800,test,kleinwagen,2009,manuell,69,justy,80000,Oct,Gasoline,subaru,No,2016-03-25 00:00:00,82223,2016-04-06 11:45:26,2016,2016,March,March,12,11,7,2
2016-03-06 14:47:54,Subaru_Justy_1.0_Trend,privat,Offer,4649,control,kleinwagen,2010,manuell,69,justy,100000,Nov,Gasoline,subaru,No,2016-03-06 00:00:00,35260,2016-03-13 04:45:08,2016,2016,March,March,7,4,6,1
2016-03-30 13:37:59,Subaru_Justy_1200_4WD_GLi,privat,Offer,700,test,kleinwagen,1993,automatik,75,justy,20000,Apr,Gasoline,subaru,No,2016-03-30 00:00:00,28876,2016-04-07 04:15:34,2016,2016,March,March,8,4,23,8
2016-03-15 14:36:34,Allrad_Justy_wenig_Kilometer.,privat,Offer,4950,control,kleinwagen,2005,manuell,93,justy,70000,Apr,Gasoline,subaru,No,2016-03-15 00:00:00,79694,2016-04-06 06:46:33,2016,2016,March,March,22,6,11,8
2016-03-30 14:52:18,Subaru_Vivio,privat,Offer,500,control,kleinwagen,1996,manuell,44,andere,30000,Mar,Gasoline,subaru,Yes,2016-03-30 00:00:00,8412,2016-03-30 14:52:18,2016,2016,March,March,0,14,20,9
2016-03-20 23:52:22,JUSTY_TOP_GEPFLEGT__4X4,privat,Offer,250,control,kleinwagen,1996,manuell,0,justy,150000,Jan,Gasoline,subaru,Other,2016-03-20 00:00:00,57250,2016-04-05 21:16:19,2016,2016,March,March,16,21,20,11
2016-03-14 10:53:20,Subaru_Justy_1.3_4WD_GX__Tuev_Neu__Ahk__Zahnr._erneuert,privat,Offer,1990,control,kleinwagen,2000,manuell,68,justy,125000,Jun,Gasoline,subaru,No,2016-03-14 00:00:00,57076,2016-04-07 11:44:19,2016,2016,March,March,24,11,16,6
2016-03-13 00:36:21,Subaru_Justy_1.3_GX_Allrad__frisch_Tuev_11/17,privat,Offer,900,control,kleinwagen,1999,manuell,68,justy,100000,Jul,Gasoline,subaru,Other,2016-03-13 00:00:00,59872,2016-03-17 10:47:06,2016,2016,March,March,4,10,17,5
2016-03-27 19:47:04,Subaru_Justy_1.3_4WD_GX,privat,Offer,1000,control,kleinwagen,1996,manuell,68,justy,150000,Mar,Gasoline,subaru,No,2016-03-27 00:00:00,7950,2016-04-05 17:45:55,2016,2016,March,March,9,17,20,9
2016-03-14 08:54:08,Subaru_Justy_1.3_4WD,privat,Offer,700,test,kleinwagen,1998,manuell,68,justy,125000,Mar,Gasoline,subaru,No,2016-03-14 00:00:00,29416,2016-03-24 16:18:26,2016,2016,March,March,10,16,18,9
