dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 19:46:54,SUBARU_FORESTER,privat,Offer,1600,test,kombi,1997,automatik,122,forester,150000,Oct,Gasoline,subaru,No,2016-03-12 00:00:00,87497,2016-03-15 06:46:18,2016,2016,March,March,3,6,19,2
2016-04-03 19:06:19,Forester_LPG_Gas_Anlage__AHK,privat,Offer,7150,test,kombi,2007,manuell,116,forester,125000,Jul,Lpg,subaru,No,2016-04-03 00:00:00,56459,2016-04-07 11:15:22,2016,2016,April,April,4,11,9,5
2016-03-20 16:36:22,Subaru_Forester_2_0_Allrad,privat,Offer,5600,test,kombi,2003,manuell,125,forester,150000,Nov,Gasoline,subaru,No,2016-03-20 00:00:00,99817,2016-03-20 17:41:51,2016,2016,March,March,0,17,13,1
2016-03-10 07:36:34,Subaru_Legacy_Kombi_2.0D,privat,Offer,3500,control,kombi,2008,manuell,150,legacy,150000,Mar,Diesel,subaru,Yes,2016-03-10 00:00:00,83670,2016-03-10 08:37:22,2016,2016,March,March,0,8,8,9
2016-03-30 10:57:36,Subaru_Forester_2.0_BOSE__PANORAMA__SITZHEIZ.__TEMPOMAT,privat,Offer,7200,test,kombi,2006,automatik,158,forester,150000,Nov,Gasoline,subaru,No,2016-03-30 00:00:00,31515,2016-04-07 02:17:33,2016,2016,March,March,8,2,10,1
2016-03-12 12:25:26,Subaru_Legacy_2.0_4WD,privat,Offer,650,test,kombi,1997,manuell,116,legacy,150000,May,Gasoline,subaru,No,2016-03-12 00:00:00,56077,2016-03-23 08:45:19,2016,2016,March,March,11,8,19,7
2016-03-28 09:50:50,Subaru_Legacy_Kombi_2.0_4WD,privat,Offer,4999,control,kombi,2005,manuell,165,legacy,125000,Oct,Gasoline,subaru,No,2016-03-28 00:00:00,82544,2016-03-31 18:18:02,2016,2016,March,March,3,18,11,2
2016-04-03 14:45:22,Subaru_Legacy_TÜV_11.17_|_LUFTFAHRWERK,privat,Offer,600,test,kombi,1994,manuell,136,legacy,150000,Aug,Gasoline,subaru,No,2016-04-03 00:00:00,88239,2016-04-05 13:44:57,2016,2016,April,April,2,13,22,4
2016-03-15 14:42:00,Subaru_Impreza_1.8_4WD_GL,privat,Offer,2500,control,kombi,1994,manuell,103,impreza,80000,Nov,Gasoline,subaru,No,2016-03-15 00:00:00,45964,2016-04-06 03:46:28,2016,2016,March,March,22,3,22,1
2016-03-09 22:54:21,Subaru_Lagacy_Kombi_ALLRAD_Raritaet,privat,Offer,400,test,kombi,1992,manuell,103,legacy,150000,Feb,Gasoline,subaru,No,2016-03-09 00:00:00,64832,2016-03-17 09:17:02,2016,2016,March,March,8,9,24,10
2016-03-31 08:49:24,Subaru_impreza_2_0_.__guter_Zustand,privat,Offer,700,control,kombi,1999,manuell,125,impreza,150000,Sep,Gasoline,subaru,No,2016-03-30 00:00:00,37318,2016-04-03 20:51:30,2016,2016,March,March,4,20,17,3
2016-03-23 20:47:42,Subaru_Subaru_Forester_sTB_STi_Typ_2,privat,Offer,5000,test,kombi,2001,automatik,241,forester,150000,Feb,Gasoline,subaru,No,2016-03-23 00:00:00,95448,2016-04-02 04:15:32,2016,2016,March,March,10,4,15,10
2016-04-02 13:46:28,Subaru_Forester_2.0_GL_Elegance,privat,Offer,1800,test,kombi,2000,manuell,125,forester,150000,Jan,Gasoline,subaru,No,2016-04-02 00:00:00,97225,2016-04-06 11:47:16,2016,2016,April,April,4,11,16,11
2016-03-25 14:50:07,Subaru__Impreza_GFC_4WD,privat,Offer,500,control,kombi,1993,manuell,103,impreza,100000,Jul,Gasoline,subaru,Yes,2016-03-25 00:00:00,87437,2016-03-25 14:50:07,2016,2016,March,March,0,14,23,5
2016-03-18 12:38:31,Subaru_Legacy_2.2_4WD_GX,privat,Offer,1500,control,kombi,1994,manuell,128,legacy,150000,May,Gasoline,subaru,No,2016-03-18 00:00:00,34471,2016-04-05 22:16:40,2016,2016,March,March,18,22,22,7
2016-03-10 19:45:03,subaru_impreza_jagd_winterauto_tuev10/16_allrad,privat,Offer,0,control,kombi,1999,manuell,125,impreza,150000,Oct,Gasoline,subaru,Other,2016-03-10 00:00:00,19258,2016-03-20 08:17:59,2016,2016,March,March,10,8,17,2
2016-03-11 15:47:39,Subaru_Legacy_Outback_3.0_4WD_1.Hand/Scheckheftgepflegt,privat,Offer,6000,test,kombi,2004,automatik,245,legacy,125000,Jan,Gasoline,subaru,No,2016-03-11 00:00:00,68163,2016-04-03 13:47:45,2016,2016,March,March,23,13,12,11
2016-03-10 19:38:33,Subaru_impreza_1.6_Kombi_Allrad_tuev_8/16,privat,Offer,300,control,kombi,1995,manuell,90,impreza,150000,Aug,Gasoline,subaru,Other,2016-03-10 00:00:00,9405,2016-03-22 13:18:57,2016,2016,March,March,12,13,21,4
2016-04-04 17:40:57,Subaru_Impreza_1.6_4WD_GL,privat,Offer,1880,test,kombi,1998,manuell,90,impreza,150000,Apr,Gasoline,subaru,No,2016-04-04 00:00:00,48341,2016-04-06 19:17:25,2016,2016,April,April,2,19,18,8
2016-03-16 09:48:25,Subaru_Legacy_zu_verschenken_!!!!!!!!!!!!!!!!!!!!!!!!!,privat,Offer,0,test,kombi,1997,automatik,115,legacy,150000,Apr,Gasoline,subaru,Yes,2016-03-16 00:00:00,26831,2016-04-06 02:44:27,2016,2016,March,March,21,2,19,8
2016-03-05 19:47:05,Subaru_Legacy_Kombi_2.0D_Active,privat,Offer,8500,test,kombi,2011,manuell,150,legacy,150000,Jan,Diesel,subaru,No,2016-03-05 00:00:00,79331,2016-03-14 11:16:04,2016,2016,March,March,9,11,5,11
2016-03-14 10:53:37,Subaru_Station_1800_4WD_Travel_mit_TÜV__fahrbereit__gr_Plakette!,privat,Offer,900,control,kombi,1991,manuell,75,andere,150000,Sep,Gasoline,subaru,No,2016-03-14 00:00:00,56759,2016-04-07 11:18:04,2016,2016,March,March,24,11,25,3
2016-03-15 17:54:28,Subaru_Impreza_2_0_4WD_4x4_Allrad,privat,Offer,1000,control,kombi,1997,manuell,116,impreza,150000,Jan,Gasoline,subaru,No,2016-03-15 00:00:00,37339,2016-04-06 16:45:10,2016,2016,March,March,22,16,19,11
2016-04-04 23:38:33,Subaru_Impreza_4x4_Allrad__Tuev_neu_1.Hand_Klima_Nichtraucher_,privat,Offer,1850,control,kombi,1997,manuell,115,impreza,150000,Jun,Gasoline,subaru,No,2016-04-04 00:00:00,55743,2016-04-07 05:16:27,2016,2016,April,April,3,5,19,6
2016-03-19 18:54:07,Subaru_Impreza_WRX_STI_Tausch_moeglich,privat,Offer,0,test,kombi,2008,manuell,300,impreza,5000,Apr,Other,subaru,No,2016-03-19 00:00:00,56072,2016-03-25 07:15:18,2016,2016,March,March,6,7,8,8
2016-03-20 23:43:51,Subaru_Legacy_Kombi_2.5_4WD,privat,Offer,5900,control,kombi,2006,manuell,165,legacy,150000,Sep,Gasoline,subaru,No,2016-03-20 00:00:00,78730,2016-04-07 09:45:11,2016,2016,March,March,18,9,10,3
