dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 20:58:32,Auto_/_Fahrzeuge_Suzuki_Swift,privat,Offer,750,control,Other,2016,manuell,0,swift,80000,Jan,Other,suzuki,Other,2016-03-26 00:00:00,7549,2016-03-28 10:46:13,2016,2016,March,March,2,10,0,11
2016-03-12 14:26:03,SUZUKI_LJ_80_VB__900_____BIS_18.3.16_ABHOLUNG_IN_65779_KELKHEIM,privat,Offer,900,control,Other,1985,manuell,41,andere,80000,Jan,Other,suzuki,Yes,2016-03-12 00:00:00,65779,2016-03-15 18:15:42,2016,2016,March,March,3,18,31,11
2016-03-15 10:37:35,Fahre_oder_Nimm_mich_aus,privat,Offer,100,control,Other,2016,manuell,39,swift,150000,Jan,Gasoline,suzuki,Yes,2016-03-15 00:00:00,1968,2016-03-15 10:37:35,2016,2016,March,March,0,10,0,11
2016-03-25 14:51:44,Sparsamer_Swift_mit_Tuev_._Reparierter_Schaden_.ein_Vorbesitzer.,privat,Offer,500,control,Other,2016,manuell,0,swift,90000,Sep,Gasoline,suzuki,No,2016-03-25 00:00:00,96476,2016-04-04 16:45:39,2016,2016,March,March,10,16,0,3
2016-03-28 10:51:40,Suzuki_alto_699,privat,Offer,699,control,Other,2016,manuell,60,andere,150000,Oct,Other,suzuki,Other,2016-03-28 00:00:00,13409,2016-03-28 10:51:40,2016,2016,March,March,0,10,0,2
2016-03-09 08:57:08,Suzuki_Swift,privat,Offer,300,test,Other,2016,manuell,53,swift,90000,Nov,Gasoline,suzuki,Other,2016-03-09 00:00:00,15848,2016-04-05 04:18:09,2016,2016,March,March,27,4,0,1
2016-03-11 10:50:58,Suzuki_98er_Samurai_fuer_Bastler,privat,Offer,850,test,Other,2000,Unspecified,69,Other,100000,Jan,Gasoline,suzuki,Other,2016-03-11 00:00:00,33689,2016-03-11 11:42:47,2016,2016,March,March,0,11,16,11
2016-03-20 09:55:51,Suzuki_Alto,privat,Offer,600,control,Other,2016,manuell,0,andere,150000,Aug,Other,suzuki,Other,2016-03-20 00:00:00,90556,2016-03-22 16:21:32,2016,2016,March,March,2,16,0,4
2016-03-29 20:45:53,Suzuki_lj_80_als_bastler,privat,Offer,0,test,Other,1980,manuell,45,andere,100000,Jan,Other,suzuki,Other,2016-03-29 00:00:00,58642,2016-04-06 06:46:23,2016,2016,March,March,8,6,36,11
2016-03-17 09:52:18,Suzuki_Swift_1.0_Automatik,privat,Offer,0,test,Other,1995,automatik,0,swift,80000,Jan,Other,suzuki,Other,2016-03-17 00:00:00,6766,2016-03-28 06:17:40,2016,2016,March,March,11,6,21,11
