dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 18:50:57,Schweren_Herzens,privat,Offer,2300,control,andere,1985,manuell,69,andere,125000,Feb,Gasoline,suzuki,Other,2016-04-02 00:00:00,78141,2016-04-06 18:47:36,2016,2016,April,April,4,18,31,10
2016-03-22 08:37:41,Suzuki_Swift_1.0_Reparaturbeduerftig/_Spender,privat,Offer,80,control,andere,1996,manuell,56,swift,80000,Jan,Other,suzuki,Other,2016-03-22 00:00:00,7607,2016-04-05 18:15:29,2016,2016,March,March,14,18,20,11
2016-04-01 17:51:32,Suzuki_Wagon_R+_1_3_Automatik,privat,Offer,900,test,andere,1999,automatik,63,andere,150000,May,Gasoline,suzuki,No,2016-04-01 00:00:00,12359,2016-04-05 13:17:23,2016,2016,April,April,4,13,17,7
2016-03-26 15:46:17,Suzuki_Alto_Fortune_Rose_Pearl,privat,Offer,3500,test,andere,2009,manuell,50,andere,80000,Oct,Gasoline,suzuki,No,2016-03-26 00:00:00,76327,2016-03-26 15:46:17,2016,2016,March,March,0,15,7,2
2016-04-04 12:47:13,Micra_K11_zum_schlachten_oder_wieder_Fahrbereit_machen,privat,Offer,200,control,andere,1996,manuell,54,Other,150000,Aug,Gasoline,suzuki,Yes,2016-04-04 00:00:00,31789,2016-04-06 13:46:40,2016,2016,April,April,2,13,20,4
2016-03-14 16:38:12,Suzuki_Liana_Baleno_1_6L_103PS__Sport_&_Alu__schwarz,privat,Offer,1500,test,andere,2001,manuell,103,andere,150000,Feb,Gasoline,suzuki,No,2016-03-14 00:00:00,35088,2016-04-05 20:44:39,2016,2016,March,March,22,20,15,10
2016-03-09 19:49:43,Suzuki_SX_4_Bj_2007_Diesel__120_PS____rot,privat,Offer,4200,test,andere,2007,manuell,120,andere,150000,Jun,Diesel,suzuki,Yes,2016-03-09 00:00:00,94107,2016-03-23 13:50:42,2016,2016,March,March,14,13,9,6
2016-04-03 14:50:53,Suzuki_Jimny,privat,Offer,6500,test,andere,2004,manuell,82,jimny,125000,Jan,Gasoline,suzuki,Other,2016-04-03 00:00:00,42929,2016-04-05 13:47:45,2016,2016,April,April,2,13,12,11
2016-03-30 13:54:24,Suzuki_jimny,privat,Offer,4850,test,andere,2007,manuell,0,jimny,150000,Jan,Diesel,suzuki,Other,2016-03-30 00:00:00,76726,2016-03-30 14:41:07,2016,2016,March,March,0,14,9,11
2016-03-05 14:54:28,Suzuki_LJ_80,privat,Offer,1200,control,andere,1982,Unspecified,0,andere,150000,Feb,Gasoline,suzuki,Other,2016-03-05 00:00:00,67133,2016-03-05 17:46:09,2016,2016,March,March,0,17,34,10
2016-03-05 14:56:11,Suzuki__SX_4_Comfort__1._Hand,privat,Offer,7850,control,andere,2009,manuell,107,andere,100000,Jan,Gasoline,suzuki,Other,2016-03-05 00:00:00,33428,2016-04-05 11:48:10,2016,2016,March,March,31,11,7,11
2016-03-19 13:38:57,Suzuki_Wagon_R+_1_3_Automatik,privat,Offer,1000,test,andere,1999,automatik,63,andere,150000,May,Gasoline,suzuki,Yes,2016-03-19 00:00:00,12357,2016-03-24 07:18:11,2016,2016,March,March,5,7,17,7
2016-03-30 20:42:50,Verkaufe_suzuki_cary_Lkw/geschl._Kasten,privat,Offer,2800,control,andere,1987,manuell,0,andere,80000,Jan,Gasoline,suzuki,No,2016-03-30 00:00:00,38122,2016-04-07 12:45:22,2016,2016,March,March,8,12,29,11
