dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 19:52:56,Verkaufe_SUZUKI___CABRIO,privat,Offer,1250,control,cabrio,1995,manuell,50,swift,50000,Jun,Gasoline,suzuki,No,2016-03-28 00:00:00,3130,2016-04-07 02:17:46,2016,2016,March,March,10,2,21,6
2016-04-03 13:49:31,Auto_verkauf,privat,Offer,700,control,cabrio,1993,manuell,68,Other,80000,Aug,Gasoline,suzuki,No,2016-04-03 00:00:00,45472,2016-04-05 12:46:24,2016,2016,April,April,2,12,23,4
2016-03-28 19:45:23,Suzuki_Jimny,privat,Offer,3600,control,cabrio,2003,manuell,80,jimny,150000,Jul,Gasoline,suzuki,No,2016-03-28 00:00:00,84034,2016-04-07 01:47:03,2016,2016,March,March,10,1,13,5
2016-04-02 10:58:39,Suzuki_Jimny,privat,Offer,3900,test,cabrio,2000,manuell,81,jimny,150000,May,Gasoline,suzuki,Other,2016-04-02 00:00:00,15374,2016-04-06 09:17:17,2016,2016,April,April,4,9,16,7
2016-03-05 20:51:05,Suzuki_Jimny_Cabrio_1_3_OME,privat,Offer,4999,control,cabrio,2000,manuell,80,jimny,70000,Mar,Gasoline,suzuki,No,2016-03-05 00:00:00,49124,2016-04-07 07:46:48,2016,2016,March,March,33,7,16,9
2016-03-26 17:44:34,Verkaufe_einen_Suzuki_Swift_Cabrio,privat,Offer,250,control,cabrio,1993,manuell,63,swift,125000,Jan,Gasoline,suzuki,Other,2016-03-26 00:00:00,49509,2016-04-06 06:16:29,2016,2016,March,March,11,6,23,11
2016-04-02 20:55:26,Offroad__Suzuki_Vitara_1.6,privat,Offer,690,test,cabrio,1995,Unspecified,82,andere,100000,Jan,Other,suzuki,Other,2016-04-02 00:00:00,32832,2016-04-02 20:55:26,2016,2016,April,April,0,20,21,11
2016-03-08 15:38:38,Suzuki_Vitara_Cabrio,privat,Offer,3200,test,cabrio,1996,automatik,97,andere,90000,Jan,Gasoline,suzuki,No,2016-03-08 00:00:00,38458,2016-03-21 12:45:02,2016,2016,March,March,13,12,20,11
2016-03-27 21:53:25,Suzuki_Jimny_Cabrio_Jagdauto,privat,Offer,8500,test,cabrio,2006,manuell,0,jimny,80000,Apr,Gasoline,suzuki,No,2016-03-27 00:00:00,35114,2016-04-02 00:45:19,2016,2016,March,March,6,0,10,8
2016-03-16 19:57:29,Off_Road_Bolide_Suzuki,privat,Offer,650,test,cabrio,1997,manuell,82,andere,60000,Jan,Gasoline,suzuki,Yes,2016-03-16 00:00:00,49626,2016-03-16 19:57:29,2016,2016,March,March,0,19,19,11
2016-03-25 11:55:20,Suzuki_Vitara_*7/17_HU*_Cami*,privat,Offer,1650,test,cabrio,1993,manuell,80,grand,150000,Jan,Gasoline,suzuki,Other,2016-03-25 00:00:00,96328,2016-03-25 12:41:10,2016,2016,March,March,0,12,23,11
2016-03-10 20:53:54,Suzuki_Vitara_mit_Hardtop_1_6l_Benzin,privat,Offer,0,test,cabrio,1991,manuell,0,Other,100000,Jan,Gasoline,suzuki,Other,2016-03-10 00:00:00,98590,2016-03-21 13:46:12,2016,2016,March,March,11,13,25,11
2016-03-10 14:51:55,Suzucki_LJ_80,privat,Offer,1160,test,cabrio,1980,Unspecified,0,Other,10000,Jan,Other,suzuki,Other,2016-03-10 00:00:00,6542,2016-04-05 11:49:13,2016,2016,March,March,26,11,36,11
2016-03-13 23:51:42,Verkaufe_Suzuki_Jimny_Cabrio,privat,Offer,5000,test,cabrio,2004,Unspecified,0,jimny,90000,Jan,Gasoline,suzuki,Other,2016-03-13 00:00:00,7338,2016-03-14 07:47:43,2016,2016,March,March,1,7,12,11
2016-03-08 15:38:16,Suzuki_Vitara_de_Luxe_Power_Pack_2_Jahre_TÜV_und_ASU,privat,Offer,3600,test,cabrio,1990,manuell,82,andere,150000,Jun,Gasoline,suzuki,No,2016-03-08 00:00:00,21147,2016-04-06 06:46:41,2016,2016,March,March,29,6,26,6
2016-03-14 07:58:54,Suzuki_Swift_Cabrio,privat,Offer,1000,control,cabrio,1993,manuell,0,swift,100000,Jan,Other,suzuki,Yes,2016-03-14 00:00:00,1237,2016-04-07 08:16:20,2016,2016,March,March,24,8,23,11
