dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 10:56:12,Suzuki_Ignis_Compact_Special1_3,privat,Offer,2100,control,kleinwagen,2004,manuell,83,andere,150000,Feb,Gasoline,suzuki,Other,2016-03-12 00:00:00,50169,2016-04-06 03:46:17,2016,2016,March,March,25,3,12,10
2016-04-03 14:39:43,Suzuki_Swift_1.0__D3_Norm_eFh_bei_Berlin,privat,Offer,98,test,kleinwagen,1997,manuell,53,swift,150000,Jul,Gasoline,suzuki,No,2016-04-03 00:00:00,14542,2016-04-05 13:18:15,2016,2016,April,April,2,13,19,5
2016-03-12 14:52:26,"Suzuki_Alto_Sehr_guter_Zustand_""Klima""",privat,Offer,5400,test,kleinwagen,2011,manuell,68,andere,30000,Mar,Gasoline,suzuki,No,2016-03-12 00:00:00,79261,2016-04-07 01:17:16,2016,2016,March,March,26,1,5,9
2016-03-30 15:06:22,Suzuki_Swift_1.3_Comfort_Dance,privat,Offer,3500,test,kleinwagen,2007,manuell,92,swift,150000,Aug,Gasoline,suzuki,No,2016-03-30 00:00:00,60435,2016-04-07 08:45:59,2016,2016,March,March,8,8,9,4
2016-03-27 21:36:17,Suzuki_Swift_1_0,privat,Offer,100,test,kleinwagen,1998,manuell,0,Other,70000,Jan,Gasoline,suzuki,No,2016-03-27 00:00:00,17495,2016-04-05 22:46:40,2016,2016,March,March,9,22,18,11
2016-03-25 21:37:34,Suzuki_Alto_1.1,privat,Offer,2150,test,kleinwagen,2005,manuell,63,andere,125000,Jun,Gasoline,suzuki,No,2016-03-25 00:00:00,33607,2016-04-07 06:17:20,2016,2016,March,March,13,6,11,6
2016-03-19 11:52:45,Suzuki_Swift_1.6_Sport_Beat,privat,Offer,4500,test,kleinwagen,2007,manuell,125,swift,150000,Aug,Gasoline,suzuki,No,2016-03-19 00:00:00,41334,2016-04-06 14:46:33,2016,2016,March,March,18,14,9,4
2016-03-13 02:00:33,Suzuki_Swift_1.5_l;_1._Hand__Comfort_Ausstattung_/_Kleinwagen,privat,Offer,2900,control,kleinwagen,2007,manuell,105,swift,150000,Mar,Gasoline,suzuki,No,2016-03-13 00:00:00,19086,2016-04-02 15:17:52,2016,2016,March,March,20,15,9,9
2016-03-26 20:36:54,Siehe_Bilder,privat,Offer,300,control,kleinwagen,2003,manuell,75,andere,100000,Feb,Gasoline,suzuki,Yes,2016-03-26 00:00:00,22547,2016-04-06 13:16:18,2016,2016,March,March,11,13,13,10
2016-03-31 13:37:40,Sehr_sauber_Auto,privat,Offer,2999,control,kleinwagen,2006,manuell,90,swift,150000,Apr,Gasoline,suzuki,Yes,2016-03-31 00:00:00,54292,2016-04-06 07:15:59,2016,2016,March,March,6,7,10,8
2016-04-01 16:45:49,Suzuki_Alto,privat,Offer,4300,control,kleinwagen,2011,manuell,68,andere,40000,Feb,Gasoline,suzuki,Other,2016-04-01 00:00:00,69239,2016-04-03 13:15:56,2016,2016,April,April,2,13,5,10
2016-03-19 09:54:53,Suzuki_Swift_Automatik_TÜV_03/2017,privat,Offer,150,test,kleinwagen,1998,automatik,54,swift,125000,Feb,Other,suzuki,No,2016-03-19 00:00:00,47167,2016-04-02 12:17:23,2016,2016,March,March,14,12,18,10
2016-03-11 09:51:15,Suzuki_Swift_1.3_GT_Comfort_mit_LPG__Autogas_,privat,Offer,3990,control,kleinwagen,2008,manuell,92,swift,125000,Oct,Lpg,suzuki,No,2016-03-11 00:00:00,19374,2016-03-21 19:46:23,2016,2016,March,March,10,19,8,2
2016-03-25 19:58:41,Suzuki_Alto_GL,privat,Offer,500,test,kleinwagen,1999,manuell,54,andere,125000,Sep,Gasoline,suzuki,No,2016-03-25 00:00:00,94571,2016-03-28 20:45:44,2016,2016,March,March,3,20,17,3
2016-03-07 07:58:57,Suzuki_baleno,privat,Offer,100,test,kleinwagen,1998,automatik,0,Other,150000,Jan,Other,suzuki,Yes,2016-03-07 00:00:00,6847,2016-04-05 15:17:19,2016,2016,March,March,29,15,18,11
2016-03-24 21:36:18,SUZUKI_Swift_1.3_Comfort+,privat,Offer,5500,test,kleinwagen,2005,manuell,92,swift,90000,May,Gasoline,suzuki,No,2016-03-24 00:00:00,98574,2016-04-05 18:16:39,2016,2016,March,March,12,18,11,7
2016-04-03 19:48:49,Suzuki_WAGON_R+_1.3_GL,privat,Offer,500,test,kleinwagen,2001,manuell,76,andere,125000,Feb,Gasoline,suzuki,No,2016-04-03 00:00:00,95168,2016-04-03 19:48:49,2016,2016,April,April,0,19,15,10
2016-03-28 10:51:07,suzuki_alto,privat,Offer,350,control,kleinwagen,1989,Unspecified,39,andere,150000,Jan,Gasoline,suzuki,Other,2016-03-28 00:00:00,58710,2016-04-06 12:45:18,2016,2016,March,March,9,12,27,11
2016-03-15 17:55:26,Verkaufe_suzuki_alto,privat,Offer,0,control,kleinwagen,1995,manuell,0,Other,125000,Jun,Other,suzuki,Other,2016-03-15 00:00:00,2763,2016-04-02 17:45:30,2016,2016,March,March,18,17,21,6
2016-03-26 17:39:16,????SUZUKI_SWIFT????TÜV????WENIG_KILOMETER????GÜNSTIG????,privat,Offer,0,control,kleinwagen,1998,manuell,53,swift,150000,Nov,Gasoline,suzuki,No,2016-03-26 00:00:00,53879,2016-04-06 06:16:07,2016,2016,March,March,11,6,18,1
2016-03-09 05:36:20,Suzuki_Swift_1.3_Comfort___1._HAND___KLIMA___ALU_FELGEN,privat,Offer,2999,control,kleinwagen,2006,manuell,92,swift,150000,Feb,Gasoline,suzuki,No,2016-03-09 00:00:00,40227,2016-03-10 13:46:22,2016,2016,March,March,1,13,10,10
2016-03-14 03:36:43,Suzuki_Swift_1.3_GS_Sport,privat,Offer,4890,test,kleinwagen,2009,manuell,92,swift,100000,Feb,Gasoline,suzuki,No,2016-03-14 00:00:00,99894,2016-04-07 01:45:16,2016,2016,March,March,24,1,7,10
2016-03-09 12:51:33,Suzuki_Baleno_1.3_TÜV_neu__bis_11/2017_,privat,Offer,650,control,kleinwagen,1996,manuell,86,andere,150000,Sep,Gasoline,suzuki,No,2016-03-09 00:00:00,14776,2016-03-21 08:15:23,2016,2016,March,March,12,8,20,3
2016-03-26 10:56:31,Suzuki_Swift_SPORTPACKET_3_Tuerer,privat,Offer,2999,test,kleinwagen,2005,manuell,92,swift,150000,May,Gasoline,suzuki,No,2016-03-26 00:00:00,66113,2016-03-27 23:17:52,2016,2016,March,March,1,23,11,7
2016-03-12 16:06:25,Suzuki_Swift_1.3_Comfort,privat,Offer,4400,control,kleinwagen,2008,manuell,92,swift,80000,Apr,Gasoline,suzuki,No,2016-03-12 00:00:00,55252,2016-04-06 18:18:06,2016,2016,March,March,25,18,8,8
2016-03-29 15:25:56,Suzuki_Swift_Sport_Rallye_M16a,privat,Offer,4750,control,kleinwagen,2008,manuell,125,swift,125000,Apr,Gasoline,suzuki,No,2016-03-29 00:00:00,65931,2016-04-02 02:15:40,2016,2016,March,March,4,2,8,8
2016-03-23 11:36:24,Suzuki_Swift_1.0_GLS,privat,Offer,1300,test,kleinwagen,1997,automatik,53,swift,125000,Jul,Gasoline,suzuki,No,2016-03-23 00:00:00,42283,2016-04-05 11:18:19,2016,2016,March,March,13,11,19,5
2016-03-28 13:49:21,Suzuki_Swift_1.3_Club,privat,Offer,4990,test,kleinwagen,2009,manuell,92,swift,90000,May,Gasoline,suzuki,No,2016-03-28 00:00:00,24116,2016-04-04 16:16:03,2016,2016,March,March,7,16,7,7
