dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 20:49:24,Suzuki_Baleno_Kombi_1.6_GLX_4WD,privat,Offer,900,test,kombi,2001,manuell,97,andere,150000,Jul,Gasoline,suzuki,No,2016-04-03 00:00:00,8525,2016-04-05 21:46:48,2016,2016,April,April,2,21,15,5
2016-03-19 20:55:13,Suzuki_Liana_Kombi_1.6_4WD,privat,Offer,3600,control,kombi,2005,manuell,106,andere,125000,Aug,Gasoline,suzuki,No,2016-03-19 00:00:00,1744,2016-04-07 10:17:45,2016,2016,March,March,19,10,11,4
2016-03-21 17:47:43,Suzuki_Baleno,privat,Offer,200,control,kombi,1998,manuell,170,andere,150000,Jul,Gasoline,suzuki,Yes,2016-03-21 00:00:00,22337,2016-03-21 17:47:43,2016,2016,March,March,0,17,18,5
2016-03-07 22:57:11,Suzuki_Liana_Kombi_1.4_DDiS_Comfort,privat,Offer,1690,test,kombi,2004,manuell,90,andere,150000,Jun,Diesel,suzuki,No,2016-03-07 00:00:00,57078,2016-04-05 19:16:44,2016,2016,March,March,29,19,12,6
2016-03-08 20:58:55,Suzuki_Liana_Diesel,privat,Offer,2950,control,kombi,2004,manuell,90,andere,150000,Nov,Diesel,suzuki,Other,2016-03-08 00:00:00,66127,2016-04-06 01:17:04,2016,2016,March,March,29,1,12,1
2016-03-06 00:36:58,Suzuki_Wagon_R_Sehr_Sparsam_Raum_Wunder_Klima_ZV.....,privat,Offer,1350,control,kombi,2001,manuell,0,Other,5000,May,Gasoline,suzuki,No,2016-03-05 00:00:00,55545,2016-03-06 06:47:19,2016,2016,March,March,1,6,15,7
2016-03-19 11:53:52,Suzuki_Baleno_Kombi_1.6_GLX_Spezial__Klimaanlage_,privat,Offer,1699,test,kombi,2002,manuell,97,andere,150000,Jul,Gasoline,suzuki,No,2016-03-19 00:00:00,8539,2016-03-25 13:17:11,2016,2016,March,March,6,13,14,5
2016-04-03 16:42:13,SUZUKI__LIANA_1.4_DDIS_Disel,privat,Offer,2450,control,kombi,2006,manuell,90,andere,150000,Jan,Diesel,suzuki,No,2016-04-03 00:00:00,46395,2016-04-05 15:46:22,2016,2016,April,April,2,15,10,11
2016-03-16 11:54:17,Suzuki_Liana_Kombi_1.6_4WD_Comfort,privat,Offer,1500,test,kombi,2004,manuell,106,andere,150000,Mar,Gasoline,suzuki,Yes,2016-03-16 00:00:00,42329,2016-04-06 06:16:42,2016,2016,March,March,21,6,12,9
2016-04-03 17:44:47,Suzuki_Baleno,privat,Offer,1200,test,kombi,2003,manuell,0,andere,150000,Apr,Gasoline,suzuki,No,2016-04-03 00:00:00,52428,2016-04-05 17:44:33,2016,2016,April,April,2,17,13,8
2016-03-28 23:45:56,Suzuki_Baleno_Schlachtfest,privat,Offer,700,test,kombi,1998,automatik,0,andere,150000,Jun,Gasoline,suzuki,Yes,2016-03-28 00:00:00,64658,2016-04-07 09:45:18,2016,2016,March,March,10,9,18,6
2016-03-31 20:37:19,SUZUKI_BALENO_KOMBI_1.6_GLX__EG____nur_115tkm___EZ_2001,privat,Offer,600,test,kombi,2001,manuell,98,andere,125000,Jun,Gasoline,suzuki,Other,2016-03-31 00:00:00,99097,2016-04-06 15:15:51,2016,2016,March,March,6,15,15,6
2016-03-24 17:50:14,Suzuki_Liana_Scheckheft,privat,Offer,1300,control,kombi,2001,manuell,103,andere,150000,Feb,Gasoline,suzuki,No,2016-03-24 00:00:00,48341,2016-04-07 11:16:12,2016,2016,March,March,14,11,15,10
2016-03-23 16:38:06,Suzuki_Liana_Kombi__Klima__ZV_mit_FB__4x_elek_Fensterheber_Mp3,privat,Offer,800,test,kombi,2003,manuell,106,Other,150000,Sep,Gasoline,suzuki,No,2016-03-23 00:00:00,17033,2016-03-25 00:16:26,2016,2016,March,March,2,0,13,3
2016-03-16 11:32:08,Suzuki_Baleno_Kombi_1.8_GLX,privat,Offer,950,control,kombi,1998,manuell,121,andere,150000,Mar,Gasoline,suzuki,No,2016-03-16 00:00:00,61440,2016-04-07 11:15:50,2016,2016,March,March,22,11,18,9
2016-04-02 15:41:08,Suzuki_Baleno_Kombi_1.6_GLX,privat,Offer,900,control,kombi,1996,manuell,98,andere,150000,Jul,Gasoline,suzuki,No,2016-04-02 00:00:00,91356,2016-04-02 15:41:08,2016,2016,April,April,0,15,20,5
2016-03-11 18:46:27,Suzuki_Baleno_kombi,privat,Offer,1000,test,kombi,1999,automatik,0,andere,150000,Apr,Other,suzuki,No,2016-03-11 00:00:00,40223,2016-03-21 06:16:30,2016,2016,March,March,10,6,17,8
2016-03-25 14:42:30,Suzuki_Liana,privat,Offer,3100,control,kombi,2005,manuell,105,andere,125000,Mar,Gasoline,suzuki,No,2016-03-25 00:00:00,41812,2016-04-06 17:17:20,2016,2016,March,March,12,17,11,9
2016-03-28 19:46:15,Suzuki_Baleno_aus_1.Hand_141000Km_TÜV_03.2018,privat,Offer,990,control,kombi,2000,manuell,97,andere,150000,Jun,Gasoline,suzuki,No,2016-03-28 00:00:00,28259,2016-03-30 11:19:21,2016,2016,March,March,2,11,16,6
2016-04-02 17:39:35,Suzuki_liana,privat,Offer,1750,control,kombi,2002,manuell,90,andere,150000,Feb,Gasoline,suzuki,No,2016-04-02 00:00:00,1237,2016-04-06 16:46:00,2016,2016,April,April,4,16,14,10
2016-03-09 14:57:19,Suzuki_Liana_Kombi_1.6_4WD_Allradantrieb+Klimaanlage,privat,Offer,1100,test,kombi,2002,manuell,103,andere,125000,Feb,Gasoline,suzuki,No,2016-03-09 00:00:00,27607,2016-03-12 14:44:20,2016,2016,March,March,3,14,14,10
2016-03-07 20:54:20,Suzuki_Liana_Kombi_1.4_DDiS_Comfort,privat,Offer,1800,test,kombi,2004,manuell,90,andere,150000,May,Diesel,suzuki,No,2016-03-07 00:00:00,32120,2016-04-05 17:45:42,2016,2016,March,March,29,17,12,7
2016-03-10 15:51:42,Suzuki_Liana_ddis_1.4,privat,Offer,1550,test,kombi,2004,manuell,90,andere,150000,Jan,Diesel,suzuki,Yes,2016-03-10 00:00:00,72393,2016-04-03 14:20:11,2016,2016,March,March,24,14,12,11
2016-04-03 15:55:50,SUZUKI_LIANA_1_6_Benzin__Automatik__HU_neu__177.000_km__SR_WR,privat,Offer,1390,test,kombi,2003,automatik,106,andere,150000,Apr,Gasoline,suzuki,No,2016-04-03 00:00:00,21521,2016-04-05 15:16:40,2016,2016,April,April,2,15,13,8
2016-03-11 09:36:20,Susuki_Baleno_combi,privat,Offer,1000,control,kombi,1998,manuell,90,andere,150000,Oct,Gasoline,suzuki,Yes,2016-03-11 00:00:00,26382,2016-03-11 22:15:48,2016,2016,March,March,0,22,18,2
2016-03-14 22:38:16,Suzuki_Baleno_Kombi_1.6,privat,Offer,500,control,kombi,2001,Unspecified,0,andere,150000,Mar,Gasoline,suzuki,No,2016-03-14 00:00:00,78132,2016-03-25 16:17:34,2016,2016,March,March,11,16,15,9
2016-03-11 16:36:38,Suzuki_swift_1.3,privat,Offer,1100,test,kombi,1993,manuell,68,swift,125000,Mar,Gasoline,suzuki,Other,2016-03-11 00:00:00,67071,2016-03-12 06:16:31,2016,2016,March,March,1,6,23,9
2016-03-18 23:46:37,Suzuki_Liana_Kombi_1.4_Klimaanlage_Zentralverriegelung,privat,Offer,1900,test,kombi,2005,manuell,90,andere,150000,Aug,Diesel,suzuki,No,2016-03-18 00:00:00,50739,2016-04-05 23:16:23,2016,2016,March,March,18,23,11,4
2016-04-03 00:56:24,Suzuki_Liana_Allrad_Ez._2002_113.000_Km_TÜV_2.2018_TOP,privat,Offer,1500,control,kombi,2002,manuell,103,andere,125000,Feb,Gasoline,suzuki,No,2016-04-03 00:00:00,27638,2016-04-07 09:17:06,2016,2016,April,April,4,9,14,10
2016-03-12 21:49:23,Suzuki_Baleno_Kombi_1.6_GLX,privat,Offer,1200,test,kombi,2000,manuell,97,andere,150000,Mar,Gasoline,suzuki,No,2016-03-12 00:00:00,2797,2016-04-05 17:21:43,2016,2016,March,March,24,17,16,9
2016-04-03 21:52:18,Suzuki_Baleno_1_6_GLX_4WD,privat,Offer,900,test,kombi,2001,manuell,70,andere,150000,Jul,Gasoline,suzuki,No,2016-04-03 00:00:00,8525,2016-04-05 23:15:30,2016,2016,April,April,2,23,15,5
2016-03-31 15:49:54,Suzuki_Baleno_Kombi_1.3,privat,Offer,1100,control,kombi,2002,manuell,86,andere,150000,Nov,Gasoline,suzuki,Yes,2016-03-31 00:00:00,1129,2016-04-02 11:16:52,2016,2016,March,March,2,11,14,1
2016-04-04 21:41:14,Suzuki_Baleno_kombi_08/16_Ahk__Klima,privat,Offer,600,test,kombi,2001,manuell,95,Other,150000,May,Gasoline,suzuki,No,2016-04-04 00:00:00,38855,2016-04-07 00:15:39,2016,2016,April,April,3,0,15,7
2016-03-26 19:55:45,SUZUKI_Wagon_R_1_3_VVT_Style_25_Cool_orig._31_tkm_Top+++,privat,Offer,3850,control,kombi,2004,manuell,94,andere,40000,Sep,Gasoline,suzuki,No,2016-03-26 00:00:00,61209,2016-03-28 09:45:39,2016,2016,March,March,2,9,12,3
2016-03-26 10:42:31,Suzuki_Liana_Kombi_1.6_Automatik_Comfort,privat,Offer,3000,test,kombi,2006,automatik,107,andere,150000,Jun,Gasoline,suzuki,No,2016-03-26 00:00:00,1987,2016-04-05 21:17:33,2016,2016,March,March,10,21,10,6
2016-03-26 14:52:03,Verkaufe_suzuki_Splash,privat,Offer,6500,control,kombi,2009,manuell,75,andere,50000,Aug,Gasoline,suzuki,No,2016-03-26 00:00:00,82256,2016-04-06 02:46:25,2016,2016,March,March,11,2,7,4
2016-03-10 11:55:39,Suzuki_Liana_Kombi_1.3,privat,Offer,1300,test,kombi,2003,manuell,90,andere,150000,Feb,Gasoline,suzuki,Yes,2016-03-10 00:00:00,4157,2016-03-28 20:16:17,2016,2016,March,March,18,20,13,10
2016-03-28 13:39:00,Suzuki_Liana_Baleno,privat,Offer,1200,test,kombi,2005,manuell,110,andere,125000,Aug,Gasoline,suzuki,No,2016-03-28 00:00:00,86753,2016-03-28 13:39:00,2016,2016,March,March,0,13,11,4
2016-03-14 18:42:52,Mega_sparsames_Anfaengerfahrzeug_Suzuki_Swift_II,privat,Offer,999,test,kombi,2002,manuell,50,swift,150000,Mar,Gasoline,suzuki,No,2016-03-14 00:00:00,73760,2016-03-23 21:15:58,2016,2016,March,March,9,21,14,9
2016-03-18 18:51:40,Suzuki_Splash,privat,Offer,5500,control,kombi,2008,manuell,75,Other,125000,Jul,Other,suzuki,No,2016-03-18 00:00:00,31855,2016-03-26 11:45:10,2016,2016,March,March,8,11,8,5
2016-04-03 17:46:45,Suzuki_Suzuki_Liana_1.4__Disel_Kombi,privat,Offer,1499,test,kombi,2006,manuell,90,andere,125000,Feb,Diesel,suzuki,No,2016-04-03 00:00:00,22045,2016-04-03 17:46:45,2016,2016,April,April,0,17,10,10
2016-03-26 16:44:52,Suzuki_Ignis_1.3_X_45_VVT_Sondermodel,privat,Offer,2490,control,kombi,2005,manuell,94,andere,150000,Sep,Gasoline,suzuki,No,2016-03-26 00:00:00,67307,2016-03-28 05:16:54,2016,2016,March,March,2,5,11,3
2016-04-02 11:55:28,Suzuki_Baleno_Kombi_1.6,privat,Offer,650,test,kombi,1999,manuell,97,andere,100000,Nov,Gasoline,suzuki,No,2016-04-02 00:00:00,22926,2016-04-06 09:46:12,2016,2016,April,April,4,9,17,1
2016-03-20 19:57:50,Suzuki_Liana_Kombi__Klima__ZV_mit_FB__4x_elek_Fensterheber_Mp3,privat,Offer,1100,test,kombi,2003,manuell,0,andere,150000,Sep,Gasoline,suzuki,No,2016-03-20 00:00:00,17094,2016-03-23 07:16:12,2016,2016,March,March,3,7,13,3
2016-03-14 20:57:55,SUZUKI__LJ80,privat,Offer,650,control,kombi,1983,manuell,0,andere,30000,Mar,Gasoline,suzuki,Other,2016-03-14 00:00:00,19303,2016-04-06 12:17:05,2016,2016,March,March,23,12,33,9
2016-04-03 13:36:16,Suzuki_Liana_Kombi_1.6_4WD_Comfort_Navi,privat,Offer,2100,control,kombi,2003,manuell,103,andere,125000,Feb,Gasoline,suzuki,No,2016-04-03 00:00:00,42369,2016-04-03 13:36:16,2016,2016,April,April,0,13,13,10
