dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 08:51:00,Suzuki_LJ_80_fuer_Bastler,privat,Offer,1000,control,suv,1982,manuell,41,andere,150000,Nov,Gasoline,suzuki,Other,2016-03-12 00:00:00,56337,2016-03-13 00:45:46,2016,2016,March,March,1,0,34,1
2016-04-01 13:50:10,Suzuki_Vitara_1_6_L_Benziner,privat,Offer,1199,control,suv,1992,manuell,80,andere,150000,May,Gasoline,suzuki,No,2016-04-01 00:00:00,35039,2016-04-07 00:16:16,2016,2016,April,April,6,0,24,7
2016-03-27 18:51:29,Suzuki_Grand_Vitara_1.9_DDiS,privat,Offer,8000,control,suv,2007,manuell,129,grand,150000,Mar,Diesel,suzuki,No,2016-03-27 00:00:00,95509,2016-04-05 15:46:49,2016,2016,March,March,9,15,9,9
2016-03-12 17:59:34,Suzuki_Samurai_Sj_413,privat,Offer,4000,test,suv,1991,manuell,110,andere,100000,Apr,Gasoline,suzuki,Other,2016-03-12 00:00:00,73760,2016-03-16 00:16:44,2016,2016,March,March,4,0,25,8
2016-03-20 19:39:34,Suzuki_Jimny_Cabrio_Excalibur__erst_36600_km__Tuev_neu,privat,Offer,6100,test,suv,2003,manuell,80,jimny,40000,Mar,Gasoline,suzuki,No,2016-03-20 00:00:00,30519,2016-03-30 12:47:40,2016,2016,March,March,10,12,13,9
2016-03-09 16:47:05,Suzuki_Jimny,privat,Offer,6990,test,suv,2013,manuell,86,jimny,20000,Feb,Gasoline,suzuki,Yes,2016-03-09 00:00:00,58802,2016-04-07 05:45:29,2016,2016,March,March,29,5,3,10
2016-03-21 21:41:34,Suzuki_SJ_410_Samurai_Offroad_4x4,privat,Offer,1800,control,suv,1984,manuell,45,andere,60000,Sep,Gasoline,suzuki,No,2016-03-21 00:00:00,53797,2016-03-27 07:16:14,2016,2016,March,March,6,7,32,3
2016-03-19 03:53:37,Suzuki_Grand_Vitara_1.9_DDiS_Comfort+_DPF_AHK__58900_km,privat,Offer,16000,test,suv,2011,manuell,129,grand,60000,Mar,Diesel,suzuki,No,2016-03-19 00:00:00,35083,2016-03-25 07:50:22,2016,2016,March,March,6,7,5,9
2016-03-23 19:47:04,Suzuki_Samurai_/_Santana_Scheckheft,privat,Offer,4500,control,suv,2000,manuell,63,andere,80000,Mar,Diesel,suzuki,No,2016-03-23 00:00:00,58849,2016-04-06 06:45:34,2016,2016,March,March,14,6,16,9
2016-03-14 22:40:40,Suzuki_Jimny,privat,Offer,3650,control,suv,1999,manuell,80,jimny,125000,Jun,Gasoline,suzuki,No,2016-03-14 00:00:00,95632,2016-03-31 21:17:19,2016,2016,March,March,17,21,17,6
2016-03-26 21:37:24,Suzuki_Jimny_mit_Kllima_elektr.Faltdach,privat,Offer,4300,control,suv,2003,manuell,82,jimny,100000,Nov,Gasoline,suzuki,No,2016-03-26 00:00:00,18184,2016-04-02 15:18:44,2016,2016,March,March,7,15,13,1
2016-03-28 10:36:25,Suzuki_Jimny_Automatik_Comfort,privat,Offer,10500,control,suv,2011,automatik,86,jimny,50000,Apr,Gasoline,suzuki,No,2016-03-28 00:00:00,79341,2016-04-06 13:17:34,2016,2016,March,March,9,13,5,8
2016-03-18 17:38:56,Suzuki_Gran_Vitara_1.9ddis__AHK___Steuerriemen_neu__Tuev_03/2018,privat,Offer,15200,test,suv,2011,manuell,129,grand,60000,Mar,Diesel,suzuki,No,2016-03-18 00:00:00,35083,2016-04-05 22:44:36,2016,2016,March,March,18,22,5,9
2016-03-16 06:36:23,Suzuki_Vitara_de_Luxe_Power_Pack,privat,Offer,2550,control,suv,1995,manuell,97,andere,150000,May,Gasoline,suzuki,No,2016-03-16 00:00:00,76593,2016-03-22 13:47:50,2016,2016,March,March,6,13,21,7
2016-03-08 18:54:35,Suzuki_Vitara__1.6,privat,Offer,2300,test,suv,2000,manuell,0,andere,150000,Apr,Gasoline,suzuki,No,2016-03-08 00:00:00,90431,2016-03-14 11:47:08,2016,2016,March,March,6,11,16,8
2016-03-26 17:55:10,Suzuki_Ignis_Comfort_Spezial_Erstbesitz,privat,Offer,1950,control,suv,2004,manuell,90,andere,150000,Jan,Gasoline,suzuki,No,2016-03-26 00:00:00,47229,2016-04-06 06:46:13,2016,2016,March,March,11,6,12,11
2016-03-28 20:45:52,Suzuki_Jimny_Cabrio,privat,Offer,4400,control,suv,2001,manuell,0,jimny,125000,Aug,Gasoline,suzuki,Other,2016-03-28 00:00:00,86922,2016-04-07 03:16:17,2016,2016,March,March,10,3,15,4
2016-04-01 19:54:33,suzuki_sj_413_hochdach,privat,Offer,1500,control,suv,1987,manuell,44,andere,125000,Jul,Gasoline,suzuki,No,2016-04-01 00:00:00,97522,2016-04-05 16:45:42,2016,2016,April,April,4,16,29,5
2016-03-07 22:49:03,Suzuki_jimny_4x4,privat,Offer,3990,test,suv,1999,manuell,90,jimny,150000,Jun,Gasoline,suzuki,Other,2016-03-07 00:00:00,19075,2016-03-27 08:44:21,2016,2016,March,March,20,8,17,6
2016-03-11 21:52:44,Suzuki_Gand_Vitara_mit_TOP_Ausstattung_/_Standheizung,privat,Offer,9999,test,suv,2007,manuell,129,grand,125000,Aug,Diesel,suzuki,No,2016-03-11 00:00:00,57319,2016-03-21 18:17:44,2016,2016,March,March,10,18,9,4
2016-03-17 17:57:10,Suzuki_Grand_Vitara_1.6,privat,Offer,6800,control,suv,2007,manuell,106,grand,125000,Jun,Gasoline,suzuki,No,2016-03-17 00:00:00,57439,2016-04-07 04:17:57,2016,2016,March,March,21,4,9,6
2016-03-21 12:49:48,Suzuki_Jimny_Cabrio_Cross_Country,privat,Offer,5900,control,suv,2001,manuell,80,jimny,125000,Jan,Gasoline,suzuki,No,2016-03-21 00:00:00,49838,2016-04-06 07:45:30,2016,2016,March,March,16,7,15,11
2016-03-24 23:55:17,Suzuki_SJ_Samurai_1.HAND_TECHNISCH_I.O._ABER_ROST,privat,Offer,1600,test,suv,1999,manuell,69,andere,50000,Jun,Gasoline,suzuki,No,2016-03-24 00:00:00,1936,2016-04-04 04:15:55,2016,2016,March,March,11,4,17,6
2016-03-19 13:50:22,Suzuki_Jimny_1.5_DDiS,privat,Offer,5100,test,suv,2005,manuell,65,jimny,150000,May,Diesel,suzuki,Yes,2016-03-19 00:00:00,48683,2016-04-06 20:18:19,2016,2016,March,March,18,20,11,7
2016-03-27 21:36:56,Suzuki_Jimny,privat,Offer,5900,test,suv,2002,manuell,82,jimny,60000,Feb,Gasoline,suzuki,No,2016-03-27 00:00:00,79410,2016-03-29 13:44:32,2016,2016,March,March,2,13,14,10
2016-03-14 15:37:58,Suzuki_Vitara_Gelaendewagen_Allrad_SUV,privat,Offer,4500,control,suv,2006,manuell,97,Other,100000,Oct,Gasoline,suzuki,Yes,2016-03-14 00:00:00,99976,2016-03-18 02:18:05,2016,2016,March,March,4,2,10,2
2016-03-23 09:55:22,Suzuki_SJ_413_Samurai__Allrad,privat,Offer,5500,test,suv,1994,manuell,75,andere,150000,May,Other,suzuki,No,2016-03-23 00:00:00,58119,2016-03-30 18:47:19,2016,2016,March,March,7,18,22,7
2016-04-04 13:53:20,Suzuki_Grand_Vitara_XL_7,privat,Offer,3490,control,suv,2002,manuell,173,grand,150000,Jan,Gasoline,suzuki,No,2016-04-04 00:00:00,87437,2016-04-06 15:16:41,2016,2016,April,April,2,15,14,11
