dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 17:37:04,Toyota_MR_2_Roadster_Edition_S,privat,Offer,7200,test,cabrio,2005,manuell,160,andere,125000,Apr,Gasoline,toyota,No,2016-03-20 00:00:00,91056,2016-04-06 23:46:32,2016,2016,March,March,17,23,11,8
2016-03-21 08:59:38,Toyota_RAV_4_Cabrio,privat,Offer,2499,control,cabrio,1998,manuell,128,rav,150000,Feb,Gasoline,toyota,No,2016-03-21 00:00:00,26133,2016-03-22 14:18:52,2016,2016,March,March,1,14,18,10
2016-03-15 08:50:34,Toyota_MR_2__1_8Ltr._140PS,privat,Offer,5999,test,cabrio,2001,Unspecified,0,Other,60000,Jan,Gasoline,toyota,Other,2016-03-15 00:00:00,65203,2016-03-16 11:17:07,2016,2016,March,March,1,11,15,11
2016-04-05 00:56:51,Toyota_MR_2_Roadster_SMT,privat,Offer,5000,control,cabrio,2003,automatik,140,andere,90000,Apr,Gasoline,toyota,No,2016-04-05 00:00:00,66822,2016-04-07 11:15:39,2016,2016,April,April,2,11,13,8
2016-03-07 14:36:19,Toyota_MR_2_Roadster,privat,Offer,8299,control,cabrio,2004,manuell,140,andere,125000,Apr,Gasoline,toyota,No,2016-03-07 00:00:00,59348,2016-04-07 10:46:20,2016,2016,March,March,31,10,12,8
2016-03-17 22:53:11,Toyota_MR2__W3_________gelb__mit_Hardtop__8_fach_bereift,privat,Offer,5500,test,cabrio,2002,manuell,140,andere,150000,Apr,Gasoline,toyota,No,2016-03-17 00:00:00,97359,2016-03-26 09:46:50,2016,2016,March,March,9,9,14,8
2016-03-12 22:50:37,Toyota_Celica,privat,Offer,8850,control,cabrio,1982,manuell,90,andere,150000,Mar,Gasoline,toyota,No,2016-03-12 00:00:00,71665,2016-04-05 20:17:19,2016,2016,March,March,24,20,34,9
2016-03-20 10:55:05,Toyota_MR_2_Roadster_CABRIO,privat,Offer,9500,control,cabrio,2000,manuell,140,andere,50000,Apr,Gasoline,toyota,No,2016-03-20 00:00:00,66763,2016-04-06 07:45:54,2016,2016,March,March,17,7,16,8
2016-04-03 15:43:06,Toyota_MR_2_Roadster_Competition,privat,Offer,9800,test,cabrio,2002,manuell,140,andere,100000,Oct,Gasoline,toyota,No,2016-04-03 00:00:00,58769,2016-04-05 14:45:09,2016,2016,April,April,2,14,14,2
2016-03-25 15:57:01,Toyota_MR_2,privat,Offer,7500,test,cabrio,2004,manuell,140,andere,150000,Oct,Gasoline,toyota,No,2016-03-25 00:00:00,63741,2016-04-06 20:16:55,2016,2016,March,March,12,20,12,2
2016-03-20 21:55:56,Toyota_MR_2_Roadster,privat,Offer,4490,test,cabrio,2000,manuell,140,andere,150000,Aug,Gasoline,toyota,No,2016-03-20 00:00:00,70825,2016-04-07 08:16:08,2016,2016,March,March,18,8,16,4
2016-03-16 15:41:30,Toyota_MR_2_Roadster_mit_16.400km_+_Top_Ausstattung_Leder_8x_Aluf,privat,Offer,7490,test,cabrio,2000,manuell,140,andere,70000,Aug,Gasoline,toyota,No,2016-03-16 00:00:00,87700,2016-03-25 21:46:04,2016,2016,March,March,9,21,16,4
2016-03-20 20:41:33,Toyota_MR_2_Roadster___konserviert__original_&_gepflegt,privat,Offer,5700,test,cabrio,2000,manuell,140,andere,125000,Apr,Gasoline,toyota,No,2016-03-20 00:00:00,64560,2016-04-07 04:46:57,2016,2016,March,March,18,4,16,8
2016-03-26 16:25:19,Toyota_Celica_Cabrio_TA4_Tropic_Umbau___Restaurationsobjekt,privat,Offer,0,control,cabrio,1980,manuell,75,andere,150000,Jan,Gasoline,toyota,Other,2016-03-26 00:00:00,65239,2016-04-06 16:46:23,2016,2016,March,March,11,16,36,11
2016-03-14 15:48:27,MR_2_ROADSTER_COLOR_EDITION__1_8_SMT_TÜV_08.2016_Bastler,privat,Offer,2200,control,cabrio,2001,automatik,140,andere,150000,Jun,Gasoline,toyota,Yes,2016-03-14 00:00:00,63654,2016-03-20 03:19:26,2016,2016,March,March,6,3,15,6
2016-03-24 10:40:33,Toyota_MR_2_Roadster,privat,Offer,6450,test,cabrio,2002,manuell,140,andere,125000,Nov,Gasoline,toyota,No,2016-03-24 00:00:00,71665,2016-04-07 00:17:01,2016,2016,March,March,14,0,14,1
2016-04-04 18:50:34,Oltimer_Voll_Restauriert,privat,Offer,5200,test,cabrio,1984,manuell,86,andere,150000,Apr,Gasoline,toyota,No,2016-04-04 00:00:00,24797,2016-04-04 18:50:34,2016,2016,April,April,0,18,32,8
2016-04-01 23:50:04,Toyota_MR2_Roadster_SMT,privat,Offer,10980,control,cabrio,2005,automatik,140,andere,20000,Aug,Gasoline,toyota,No,2016-04-01 00:00:00,75382,2016-04-06 01:45:27,2016,2016,April,April,5,1,11,4
2016-03-07 11:48:38,Toyota_MR_2_Roadster,privat,Offer,8200,test,cabrio,2002,Unspecified,140,andere,80000,Jun,Gasoline,toyota,No,2016-03-07 00:00:00,91448,2016-04-07 11:15:48,2016,2016,March,March,31,11,14,6
2016-03-28 13:54:13,Toyota_Hilux_SR5_147_800_km_anno:_2010,privat,Offer,4750,test,cabrio,2010,manuell,0,andere,150000,Feb,Diesel,toyota,No,2016-03-28 00:00:00,26907,2016-03-28 13:54:13,2016,2016,March,March,0,13,6,10
2016-03-19 17:50:10,Toyota_MR_2_Roadster,privat,Offer,6990,control,cabrio,2000,manuell,140,andere,90000,May,Gasoline,toyota,No,2016-03-19 00:00:00,86504,2016-04-05 01:46:17,2016,2016,March,March,17,1,16,7
2016-03-10 23:19:23,VERKAUFT:_Toyota_MR2_fuer_Export_oder_Bastler,privat,Offer,1950,control,cabrio,2000,manuell,140,andere,150000,Oct,Gasoline,toyota,Yes,2016-03-10 00:00:00,35625,2016-03-13 02:45:31,2016,2016,March,March,3,2,16,2
2016-03-20 16:55:21,Toyota_MR_2_Roadster,privat,Offer,2300,test,cabrio,2000,manuell,140,andere,150000,Apr,Gasoline,toyota,No,2016-03-20 00:00:00,64293,2016-04-06 23:46:39,2016,2016,March,March,17,23,16,8
2016-03-15 23:36:43,Toyota_MR_2_Roadster_Savage_Umbau_35tkm,privat,Offer,10800,control,cabrio,2000,manuell,140,andere,40000,May,Gasoline,toyota,No,2016-03-15 00:00:00,65451,2016-04-07 07:15:39,2016,2016,March,March,23,7,16,7
2016-04-05 15:06:17,MR_II_Roadster,privat,Offer,7999,test,cabrio,2002,manuell,140,andere,70000,Feb,Gasoline,toyota,No,2016-04-05 00:00:00,35781,2016-04-05 15:06:17,2016,2016,April,April,0,15,14,10
2016-03-12 18:41:35,Toyota_MR_2_Roadster,privat,Offer,5700,test,cabrio,2001,manuell,140,andere,150000,Oct,Gasoline,toyota,No,2016-03-12 00:00:00,88250,2016-04-07 11:16:45,2016,2016,March,March,26,11,15,2
2016-04-04 10:48:16,Toyota_MR2_W3_Spyder,privat,Offer,2999,control,cabrio,2001,manuell,140,andere,20000,Jun,Gasoline,toyota,No,2016-04-04 00:00:00,38444,2016-04-04 10:48:16,2016,2016,April,April,0,10,15,6
2016-03-26 18:53:24,Toyota_MR_2_W3_Competition_Nr._93/100,privat,Offer,7500,test,cabrio,2002,Unspecified,140,andere,125000,Jun,Gasoline,toyota,Other,2016-03-26 00:00:00,27580,2016-04-06 09:16:00,2016,2016,March,March,11,9,14,6
2016-04-04 00:53:59,Toyota_MR2_W3___TÜV_Neu___wenig_km,privat,Offer,4500,test,cabrio,2000,Unspecified,140,andere,125000,Jan,Other,toyota,Other,2016-04-03 00:00:00,41466,2016-04-06 07:17:52,2016,2016,April,April,3,7,16,11
2016-03-31 10:36:55,Toyota_MR_2_Roadster,privat,Offer,6523,control,cabrio,2000,manuell,140,andere,125000,Apr,Gasoline,toyota,No,2016-03-31 00:00:00,84092,2016-04-06 04:15:41,2016,2016,March,March,6,4,16,8
2016-03-17 21:46:26,"Toyota_MR_2_Roadster_""TTE_Turbo""_mit_KW_Sportfahrwerk",privat,Offer,14950,test,cabrio,2004,manuell,184,andere,40000,Aug,Gasoline,toyota,No,2016-03-17 00:00:00,96528,2016-03-30 19:48:08,2016,2016,March,March,13,19,12,4
2016-04-04 11:37:34,Toyota_Celica_Cabrio_Cabriolet_T18_mit_neuen_Motor_Yountimer,privat,Offer,3500,control,cabrio,1991,manuell,136,Other,150000,May,Other,toyota,Other,2016-04-04 00:00:00,40670,2016-04-06 12:17:33,2016,2016,April,April,2,12,25,7
2016-03-26 17:46:04,Passeo_Cabrio,privat,Offer,1200,control,cabrio,1998,Unspecified,90,andere,150000,Apr,Gasoline,toyota,No,2016-03-26 00:00:00,36318,2016-03-28 06:44:51,2016,2016,March,March,2,6,18,8
2016-03-07 11:51:16,Toyota_MR_2_Roadster,privat,Offer,3999,test,cabrio,2001,manuell,140,andere,90000,May,Gasoline,toyota,No,2016-03-07 00:00:00,31582,2016-04-07 11:44:46,2016,2016,March,March,31,11,15,7
2016-03-25 19:53:55,Toyota_MR_2_Roadster___Hardtop___8_fach,privat,Offer,9500,test,cabrio,2004,manuell,140,andere,50000,May,Gasoline,toyota,No,2016-03-25 00:00:00,24226,2016-04-07 02:45:57,2016,2016,March,March,13,2,12,7
2016-03-09 13:37:22,Toyota_MR2,privat,Offer,4000,control,cabrio,1992,manuell,156,andere,150000,Jun,Gasoline,toyota,Yes,2016-03-09 00:00:00,64658,2016-04-06 08:17:53,2016,2016,March,March,28,8,24,6
2016-03-10 15:56:07,Toyota_Paseo_Cabriolet_1.5,privat,Offer,1000,test,cabrio,1997,manuell,90,andere,150000,Mar,Gasoline,toyota,No,2016-03-10 00:00:00,46397,2016-04-05 14:46:01,2016,2016,March,March,26,14,19,9
