dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 13:53:42,Toyota_Celica_GT,privat,Offer,2600,control,coupe,1998,manuell,170,andere,150000,Oct,Gasoline,toyota,No,2016-03-26 00:00:00,9437,2016-04-06 01:47:01,2016,2016,March,March,11,1,18,2
2016-03-10 15:37:18,Toyota_MR_2_T_Bar_GTi,privat,Offer,1000,test,coupe,1994,manuell,156,andere,150000,Apr,Gasoline,toyota,Yes,2016-03-10 00:00:00,36456,2016-03-19 23:45:10,2016,2016,March,March,9,23,22,8
2016-03-26 23:06:21,Toyota_MR_2_Schwarz___gegen_Gebot_abzugeben.,privat,Offer,0,control,coupe,1991,manuell,156,andere,150000,Jun,Gasoline,toyota,Other,2016-03-26 00:00:00,65929,2016-04-07 06:46:04,2016,2016,March,March,12,6,25,6
2016-03-15 22:50:58,Toyota_paseo__1_6,privat,Offer,250,control,coupe,1996,manuell,90,andere,150000,Aug,Gasoline,toyota,No,2016-03-15 00:00:00,36433,2016-03-21 00:45:17,2016,2016,March,March,6,0,20,4
2016-03-07 19:46:57,kleiner_paseo_fuer_250,privat,Offer,250,control,coupe,1996,manuell,0,andere,150000,Jan,Gasoline,toyota,No,2016-03-07 00:00:00,56653,2016-03-08 12:17:00,2016,2016,March,March,1,12,20,11
2016-03-06 15:23:57,Toyota_Celica_T18,privat,Offer,379,test,coupe,1994,manuell,105,andere,150000,Mar,Gasoline,toyota,Other,2016-03-06 00:00:00,56112,2016-04-07 01:15:40,2016,2016,March,March,32,1,22,9
2016-03-21 12:38:41,Toyota_Celica,privat,Offer,1950,control,coupe,2000,manuell,143,andere,150000,Mar,Gasoline,toyota,No,2016-03-21 00:00:00,10997,2016-03-21 12:38:41,2016,2016,March,March,0,12,16,9
2016-03-31 13:52:42,Toyota_Celica_liftback_2000_GT,privat,Offer,8550,control,coupe,1976,manuell,118,andere,125000,Oct,Gasoline,toyota,No,2016-03-31 00:00:00,26135,2016-03-31 14:41:16,2016,2016,March,March,0,14,40,2
2016-03-11 09:51:50,Toyota_Paseo_L54_Coupe_mit_Tuev,privat,Offer,0,control,coupe,1996,Unspecified,0,andere,150000,Oct,Gasoline,toyota,No,2016-03-11 00:00:00,26419,2016-03-16 17:18:22,2016,2016,March,March,5,17,20,2
2016-03-09 11:25:18,Toyota_Celica_Bj_89__TÜV_!!,privat,Offer,600,test,coupe,1989,manuell,0,andere,150000,Mar,Gasoline,toyota,Other,2016-03-09 00:00:00,53783,2016-03-12 14:16:39,2016,2016,March,March,3,14,27,9
2016-03-30 21:58:28,Toyota_Paseo_1.5,privat,Offer,1100,test,coupe,1997,manuell,90,andere,150000,Jan,Gasoline,toyota,No,2016-03-30 00:00:00,90480,2016-04-05 12:20:54,2016,2016,March,March,6,12,19,11
2016-03-15 11:36:58,Toyota_Supra_SZ___5._Gang_Schalter,privat,Offer,9000,test,coupe,1995,manuell,230,andere,125000,Jan,Gasoline,toyota,Other,2016-03-15 00:00:00,10555,2016-03-15 11:36:58,2016,2016,March,March,0,11,21,11
2016-03-26 22:51:13,Toyota_MR_2_Schwarz,privat,Offer,0,control,coupe,1991,manuell,156,andere,150000,Jun,Gasoline,toyota,Other,2016-03-26 00:00:00,65929,2016-04-07 00:17:31,2016,2016,March,March,12,0,25,6
2016-03-25 17:52:43,Verkaufe_hier_einen_sehr_gut_erhaltenen_Toyota_Paseo,privat,Offer,1200,test,coupe,1998,manuell,90,andere,150000,May,Gasoline,toyota,No,2016-03-25 00:00:00,84329,2016-04-06 23:17:11,2016,2016,March,March,12,23,18,7
