dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-30 07:37:04,Toyota_Corolla,privat,Offer,1400,control,kleinwagen,1989,manuell,0,corolla,150000,Jan,Other,toyota,No,2016-03-30 00:00:00,73329,2016-04-07 00:15:54,2016,2016,March,March,8,0,27,11
2016-03-05 19:52:38,Toyota_Yaris,privat,Offer,1650,test,kleinwagen,2002,manuell,87,yaris,150000,Sep,Gasoline,toyota,No,2016-03-05 00:00:00,65604,2016-03-21 00:16:21,2016,2016,March,March,16,0,14,3
2016-03-24 21:49:25,FRÜHJAHRS_SCHNÄPPCHEN_____TOYOTA__AYGO_____TÜV_NEU______WENIG_KM,privat,Offer,2950,test,kleinwagen,2008,manuell,68,aygo,80000,Apr,Gasoline,toyota,No,2016-03-24 00:00:00,23774,2016-04-05 17:17:10,2016,2016,March,March,12,17,8,8
2016-03-23 08:57:11,Toyota_Starlet,privat,Offer,500,control,kleinwagen,1998,manuell,75,andere,125000,Nov,Gasoline,toyota,Yes,2016-03-23 00:00:00,41812,2016-03-24 16:46:08,2016,2016,March,March,1,16,18,1
2016-03-22 20:52:00,Toyota_Corolla,privat,Offer,3200,control,kleinwagen,2004,manuell,1398,corolla,5000,Jun,Gasoline,toyota,No,2016-03-22 00:00:00,22043,2016-03-22 21:43:26,2016,2016,March,March,0,21,12,6
2016-04-02 11:48:53,Toyota_Yaris_1_0_TÜV_top_Zustand,privat,Offer,1599,test,kleinwagen,2003,manuell,65,yaris,150000,Oct,Gasoline,toyota,No,2016-04-02 00:00:00,12099,2016-04-02 11:48:53,2016,2016,April,April,0,11,13,2
2016-03-11 19:59:55,Toyota_Starlet_P9,privat,Offer,300,test,kleinwagen,1997,manuell,75,andere,150000,Jun,Gasoline,toyota,No,2016-03-11 00:00:00,95326,2016-03-12 11:15:35,2016,2016,March,March,1,11,19,6
2016-03-17 19:49:12,Toyota_Yaris_1.0,privat,Offer,2400,control,kleinwagen,2003,manuell,65,yaris,125000,Oct,Gasoline,toyota,No,2016-03-17 00:00:00,32584,2016-03-26 00:45:34,2016,2016,March,March,9,0,13,2
2016-03-07 07:58:45,Toyota_Aygo,privat,Offer,2800,test,kleinwagen,2009,manuell,68,aygo,150000,Nov,Gasoline,toyota,No,2016-03-07 00:00:00,73265,2016-04-05 15:17:08,2016,2016,March,March,29,15,7,1
2016-03-07 22:54:25,Toyota_Yaris___TÜV_12/2016___NEUER_PREIS,privat,Offer,1200,test,kleinwagen,2001,manuell,68,yaris,150000,Nov,Gasoline,toyota,No,2016-03-07 00:00:00,73557,2016-03-12 23:17:33,2016,2016,March,March,5,23,15,1
2016-03-31 14:52:02,Toyota_1.0_Cool,privat,Offer,4400,control,kleinwagen,2008,manuell,69,yaris,100000,Oct,Gasoline,toyota,No,2016-03-31 00:00:00,26188,2016-04-06 08:16:55,2016,2016,March,March,6,8,8,2
2016-03-27 14:52:31,Toyota_Yaris_1.0_VVT_i_Style_KLIMA___TÜV_NEU,privat,Offer,4444,control,kleinwagen,2007,manuell,69,yaris,125000,Aug,Gasoline,toyota,No,2016-03-27 00:00:00,31134,2016-04-07 11:45:10,2016,2016,March,March,11,11,9,4
2016-03-10 04:03:39,Toyota_Yaris_1.0,privat,Offer,2300,control,kleinwagen,2000,manuell,68,yaris,150000,Feb,Gasoline,toyota,No,2016-03-10 00:00:00,86163,2016-03-13 02:45:57,2016,2016,March,March,3,2,16,10
2016-03-27 16:44:04,Toyota_Yaris_TÜV_bis_11.2017,privat,Offer,1000,test,kleinwagen,2000,manuell,68,yaris,125000,Jan,Gasoline,toyota,Other,2016-03-27 00:00:00,70184,2016-03-30 21:44:58,2016,2016,March,March,3,21,16,11
2016-04-04 21:39:55,Toyota_Aygo,privat,Offer,3800,test,kleinwagen,2009,manuell,68,aygo,70000,Jul,Gasoline,toyota,No,2016-04-04 00:00:00,88317,2016-04-07 00:15:35,2016,2016,April,April,3,0,7,5
2016-03-15 15:37:04,Toyota_Corolla_mit_Motorschaden,privat,Offer,1000,control,kleinwagen,2003,manuell,97,corolla,150000,Apr,Gasoline,toyota,Yes,2016-03-15 00:00:00,60385,2016-04-06 07:16:59,2016,2016,March,March,22,7,13,8
2016-03-21 01:01:46,Toyota_Yaris_1.0_VVT_i_Sol,privat,Offer,2999,test,kleinwagen,2006,manuell,69,yaris,125000,Jun,Gasoline,toyota,No,2016-03-21 00:00:00,52064,2016-03-23 19:20:10,2016,2016,March,March,2,19,10,6
2016-03-06 10:38:57,Aygo_neuer_TÜV__23.02.2016__neuer_KD__absolut_Zuverlaessig!,privat,Offer,3299,test,kleinwagen,2007,manuell,69,aygo,125000,Jan,Gasoline,toyota,No,2016-03-06 00:00:00,86830,2016-04-07 12:47:03,2016,2016,March,March,32,12,9,11
2016-03-12 15:36:57,Toyota_Yaris_1.4_D_4D_Executive,privat,Offer,2500,control,kleinwagen,2006,automatik,90,yaris,150000,Mar,Diesel,toyota,Yes,2016-03-12 00:00:00,91586,2016-03-23 05:22:39,2016,2016,March,March,11,5,10,9
