dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 12:58:01,Prius_2_Executive_Voll_Leder_JBL_Sound_Navi_schwarz_TOP,privat,Offer,5750,control,limousine,2007,automatik,100,andere,150000,Sep,Hybrid,toyota,No,2016-03-26 00:00:00,32427,2016-03-29 15:16:05,2016,2016,March,March,3,15,9,3
2016-03-09 20:51:24,Toyota_Avensis_2.2_D_4D_Edition,privat,Offer,10000,test,limousine,2011,manuell,150,avensis,150000,May,Diesel,toyota,No,2016-03-09 00:00:00,94065,2016-03-31 02:17:29,2016,2016,March,March,22,2,5,7
2016-03-29 14:58:21,Toyota_Avensis_2.0_linea_sol,privat,Offer,1800,test,limousine,1999,manuell,128,avensis,150000,Oct,Gasoline,toyota,No,2016-03-29 00:00:00,15834,2016-03-29 14:58:21,2016,2016,March,March,0,14,17,2
2016-03-11 18:41:19,Toyota_Corolla_1.8_VVTL_i_TS,privat,Offer,4999,test,limousine,2005,manuell,192,corolla,125000,Sep,Gasoline,toyota,No,2016-03-11 00:00:00,22415,2016-03-12 23:17:06,2016,2016,March,March,1,23,11,3
2016-03-21 19:46:17,Toyota_Avensis_2.4_VVT_i_Executive,privat,Offer,4850,test,limousine,2004,automatik,163,avensis,150000,Nov,Gasoline,toyota,No,2016-03-21 00:00:00,20539,2016-04-06 22:15:26,2016,2016,March,March,16,22,12,1
2016-03-10 21:53:12,Toyota_Prius__Hybrid__Executive,privat,Offer,4200,control,limousine,2004,automatik,77,andere,150000,Mar,Hybrid,toyota,No,2016-03-10 00:00:00,10318,2016-03-12 14:16:32,2016,2016,March,March,2,14,12,9
2016-03-25 13:50:23,Toyota_Auris_2.0_D_4D,privat,Offer,5000,test,limousine,2007,manuell,126,auris,50000,Aug,Diesel,toyota,No,2016-03-25 00:00:00,64546,2016-04-07 07:45:29,2016,2016,March,March,13,7,9,4
2016-03-18 21:36:44,Toyota_corolla_1.4_benzin_klima,privat,Offer,1950,control,limousine,2000,manuell,0,corolla,30000,May,Gasoline,toyota,No,2016-03-18 00:00:00,16515,2016-04-05 22:47:19,2016,2016,March,March,18,22,16,7
2016-03-23 07:58:42,Reserviert_??????Toyota_Auris_1.8_Hybrid_life??????,privat,Offer,10500,control,limousine,2011,automatik,136,auris,80000,Oct,Hybrid,toyota,No,2016-03-05 00:00:00,25813,2016-04-07 05:46:23,2016,2016,March,March,33,5,5,2
2016-03-18 16:43:34,TOYOTA_COROLLA_VERSO,privat,Offer,5750,test,limousine,2007,manuell,176,verso,125000,Mar,Diesel,toyota,Other,2016-03-18 00:00:00,41065,2016-03-25 02:15:24,2016,2016,March,March,7,2,9,9
