dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 10:52:52,Trabant_zu_verkaufen,privat,Offer,50,test,Other,1985,Unspecified,0,Other,150000,Nov,Other,trabant,Other,2016-03-21 00:00:00,69120,2016-03-22 14:50:41,2016,2016,March,March,1,14,31,1
2016-04-03 19:53:44,Trabant_601,privat,Offer,650,test,Other,1970,Unspecified,26,Other,100000,May,Other,trabant,Other,2016-04-03 00:00:00,9337,2016-04-05 20:45:24,2016,2016,April,April,2,20,46,7
2016-03-29 14:42:46,Trabant_600_bj_1963_Tausch_moeglich__Simson_/Mz,privat,Offer,800,test,Other,1970,manuell,0,Other,20000,May,Other,trabant,Other,2016-03-29 00:00:00,38855,2016-03-29 14:42:46,2016,2016,March,March,0,14,46,7
2016-03-24 00:57:03,Trabant_601_Karosserie,privat,Offer,0,test,Other,1985,Unspecified,0,601,5000,Jan,Other,trabant,Other,2016-03-23 00:00:00,85777,2016-04-01 00:18:25,2016,2016,March,March,9,0,31,11
2016-03-26 11:36:16,Trabant_fahrtuechtig,privat,Offer,0,control,Other,1960,Unspecified,0,andere,90000,Jan,Other,trabant,Other,2016-03-26 00:00:00,68159,2016-04-05 22:45:02,2016,2016,March,March,10,22,56,11
2016-03-22 20:54:22,suche_einen_nicht_fahrbereiten_Trabant,privat,Offer,0,control,Other,1970,Unspecified,0,Other,150000,Jan,Other,trabant,Other,2016-03-22 00:00:00,2625,2016-04-06 15:17:06,2016,2016,March,March,15,15,46,11
2016-04-04 12:47:36,2x_Trabant_601,privat,Offer,500,control,Other,1985,Unspecified,0,Other,5000,Jan,Other,trabant,Other,2016-04-04 00:00:00,4288,2016-04-06 14:15:42,2016,2016,April,April,2,14,31,11
2016-03-19 22:45:06,Diverse_Trabant_Teile,privat,Offer,0,test,Other,1990,Unspecified,0,Other,125000,Jan,Other,trabant,Other,2016-03-19 00:00:00,99894,2016-04-07 12:17:46,2016,2016,March,March,19,12,26,11
2016-03-20 22:49:33,Trabant_zur_Ersatzteilgewinnung,privat,Offer,200,test,Other,1990,Unspecified,0,601,5000,Jan,Other,trabant,Other,2016-03-20 00:00:00,2829,2016-03-20 23:41:13,2016,2016,March,March,0,23,26,11
2016-03-10 16:52:07,Trabant_601_Deluxe_1970_6Volt_nicht_fahrbereit,privat,Offer,1100,control,Other,1970,manuell,0,601,5000,Apr,Other,trabant,Other,2016-03-10 00:00:00,47137,2016-03-20 02:15:30,2016,2016,March,March,10,2,46,8
