dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-27 18:57:55,Trabant_1.1._N________Nummer_722,privat,Offer,2500,control,limousine,1989,manuell,41,andere,150000,Nov,Gasoline,trabant,No,2016-03-27 00:00:00,1705,2016-04-05 17:21:13,2016,2016,March,March,9,17,27,1
2016-03-30 00:56:13,Trabant_P50_limo,privat,Offer,0,test,limousine,1961,manuell,0,andere,100000,May,Gasoline,trabant,Other,2016-03-30 00:00:00,47475,2016-04-06 22:45:35,2016,2016,March,March,7,22,55,7
2016-03-16 16:46:20,Trabant_P601_EZL_85___Originalzustand,privat,Offer,650,control,limousine,1985,manuell,26,601,30000,Jan,Gasoline,trabant,Yes,2016-03-16 00:00:00,2627,2016-03-16 16:46:20,2016,2016,March,March,0,16,31,11
2016-03-09 21:45:31,Trabant__Trabi_601lx,privat,Offer,0,test,limousine,1990,manuell,26,601,150000,Feb,Gasoline,trabant,Yes,2016-03-09 00:00:00,51688,2016-03-21 07:49:24,2016,2016,March,March,12,7,26,10
2016-03-25 17:47:07,Trabant_Trabant_P_601_LX__S_de_Luxe__aus_Ausstellung,privat,Offer,5900,test,limousine,1989,manuell,26,601,20000,May,Gasoline,trabant,No,2016-03-25 00:00:00,6179,2016-04-06 22:46:02,2016,2016,March,March,12,22,27,7
2016-03-20 21:37:56,Trabant_601_Tuning,privat,Offer,100,test,limousine,1976,manuell,26,601,80000,Jun,Gasoline,trabant,Other,2016-03-20 00:00:00,16356,2016-03-20 21:37:56,2016,2016,March,March,0,21,40,6
2016-03-14 13:55:55,Verkaufe_Trabant,privat,Offer,450,test,limousine,1988,manuell,26,601,100000,Jan,Gasoline,trabant,Other,2016-03-14 00:00:00,17506,2016-04-05 16:44:26,2016,2016,March,March,22,16,28,11
2016-03-12 12:45:02,Trabant_601,privat,Offer,560,test,limousine,1988,manuell,26,601,5000,Sep,Gasoline,trabant,Other,2016-03-12 00:00:00,8321,2016-04-07 10:17:49,2016,2016,March,March,26,10,28,3
2016-03-08 12:38:20,Trabant_601,privat,Offer,550,test,limousine,1989,manuell,26,601,40000,Apr,Gasoline,trabant,No,2016-03-08 00:00:00,4155,2016-03-08 12:38:20,2016,2016,March,March,0,12,27,8
2016-03-22 08:52:13,Projektaufgabe_Trabant_601_de_luxe,privat,Offer,600,control,limousine,1988,manuell,26,601,5000,Jan,Other,trabant,Other,2016-03-22 00:00:00,1558,2016-03-25 00:45:57,2016,2016,March,March,3,0,28,11
2016-03-21 13:49:41,Trabant_601,privat,Offer,500,test,limousine,1981,manuell,26,601,100000,Jan,Gasoline,trabant,Other,2016-03-21 00:00:00,2956,2016-04-06 09:46:27,2016,2016,March,March,16,9,35,11
2016-03-27 15:39:31,Trabant_601,privat,Offer,4800,control,limousine,1988,manuell,26,601,40000,Apr,Gasoline,trabant,No,2016-03-27 00:00:00,74363,2016-04-07 12:17:58,2016,2016,March,March,11,12,28,8
2016-03-16 21:43:27,Garagenfund,privat,Offer,550,control,limousine,1980,manuell,0,601,70000,Jan,Gasoline,trabant,Other,2016-03-16 00:00:00,8412,2016-03-17 20:21:19,2016,2016,March,March,1,20,36,11
2016-03-15 14:45:13,Trabant_601Himmelblau_sehr_Gepflegt_HU_/_Neu,privat,Offer,2280,control,limousine,1986,manuell,26,601,60000,Nov,Gasoline,trabant,No,2016-03-15 00:00:00,2977,2016-03-22 15:15:46,2016,2016,March,March,7,15,30,1
2016-03-23 13:48:33,Trabant_601_TÜV_bis_Ende_2017,privat,Offer,2300,test,limousine,1990,Unspecified,0,601,20000,Jan,Gasoline,trabant,Other,2016-03-23 00:00:00,49696,2016-03-29 07:44:26,2016,2016,March,March,6,7,26,11
2016-03-21 20:37:53,Trabant_601,privat,Offer,1800,control,limousine,1989,manuell,26,Other,60000,Nov,Other,trabant,No,2016-03-21 00:00:00,99735,2016-03-27 05:46:57,2016,2016,March,March,6,5,27,1
2016-03-23 08:54:39,Verkaufe_Trabant_601__fast_Oldtimer,privat,Offer,2500,control,limousine,1987,manuell,26,601,70000,Jan,Other,trabant,No,2016-03-23 00:00:00,39443,2016-04-07 08:17:29,2016,2016,March,March,15,8,29,11
2016-03-05 21:51:12,braune_Trabbi_Limousine,privat,Offer,500,test,limousine,1964,Unspecified,23,601,5000,Jul,Gasoline,trabant,Other,2016-03-05 00:00:00,36391,2016-03-24 16:17:41,2016,2016,March,March,19,16,52,5
2016-03-16 16:38:21,Trabant_601_auto,privat,Offer,950,control,limousine,1970,manuell,26,601,150000,Jan,Gasoline,trabant,Yes,2016-03-16 00:00:00,93345,2016-03-24 08:15:51,2016,2016,March,March,8,8,46,11
2016-03-12 13:52:33,Trabant_601,privat,Offer,300,control,limousine,1988,manuell,26,601,125000,Jan,Gasoline,trabant,No,2016-03-12 00:00:00,19309,2016-03-17 15:15:31,2016,2016,March,March,5,15,28,11
2016-03-06 06:56:25,Trabant_601_1971,privat,Offer,850,control,limousine,1971,manuell,26,601,70000,Jan,,trabant,Yes,2016-03-06 00:00:00,21522,2016-03-31 08:47:26,2016,2016,March,March,25,8,45,11
2016-03-27 05:36:25,Vw_Golf_IV_1.4_Tuev_:04/2018,privat,Offer,750,test,limousine,1998,manuell,45,Other,150000,Nov,Gasoline,trabant,No,2016-03-27 00:00:00,22547,2016-03-30 14:17:24,2016,2016,March,March,3,14,18,1
2016-03-19 19:53:27,Trabant_601,privat,Offer,0,control,limousine,1989,Unspecified,0,601,5000,Jan,Other,trabant,Other,2016-03-19 00:00:00,14662,2016-04-07 08:44:48,2016,2016,March,March,19,8,27,11
