dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-24 11:52:17,Golf_3_1.6,privat,Offer,480,test,Other,1993,manuell,0,golf,150000,Jan,Gasoline,volkswagen,Other,2016-03-24 00:00:00,70435,2016-04-07 03:16:57,2016,2016,March,March,14,3,23,11
2016-04-01 12:46:46,Polo_6n_1_4,privat,Offer,300,test,Other,2016,Unspecified,60,polo,150000,Jan,Gasoline,volkswagen,Other,2016-04-01 00:00:00,38871,2016-04-01 12:46:46,2016,2016,April,April,0,12,0,11
2016-03-08 07:54:46,VW_Golf_3,privat,Offer,350,test,Other,2016,manuell,75,golf,150000,Apr,Gasoline,volkswagen,No,2016-03-08 00:00:00,19386,2016-03-08 09:44:50,2016,2016,March,March,0,9,0,8
2016-03-31 22:48:06,Golf_4_TDi_1_9.__3_tuerig,privat,Offer,800,test,Other,2000,manuell,90,golf,150000,Feb,Diesel,volkswagen,Other,2016-03-31 00:00:00,32584,2016-04-06 19:15:22,2016,2016,March,March,6,19,16,10
2016-03-27 18:54:59,Caddy_14d_1.6SDI,privat,Offer,850,control,Other,1985,manuell,54,caddy,150000,Jan,Diesel,volkswagen,Other,2016-03-27 00:00:00,34471,2016-04-05 15:46:54,2016,2016,March,March,9,15,31,11
2016-03-06 10:06:20,Sehr_sauber_vw_polo_Mit_klimaanlage,privat,Offer,0,control,Other,2005,Unspecified,0,polo,150000,Jan,Gasoline,volkswagen,Other,2016-03-06 00:00:00,35392,2016-03-07 19:12:00,2016,2016,March,March,1,19,11,11
2016-03-29 18:51:58,Schlachte_Golf_4._89.000_KM._Blau_1.4_16V,privat,Offer,1,control,Other,2000,Unspecified,75,golf,90000,Mar,Gasoline,volkswagen,Other,2016-03-29 00:00:00,78588,2016-04-06 04:45:50,2016,2016,March,March,8,4,16,9
2016-03-27 15:57:04,Fuer_Bastler_oder_zum_Ausrotten,privat,Offer,150,control,Other,2016,manuell,50,polo,150000,Jan,Other,volkswagen,Yes,2016-03-27 00:00:00,26603,2016-04-05 11:47:06,2016,2016,March,March,9,11,0,11
2016-03-16 07:53:35,VW_GOLF_2_zum_Wiederaufbau_oder_Schlachten,privat,Offer,200,control,Other,1995,manuell,55,golf,150000,Jan,Gasoline,volkswagen,Other,2016-03-16 00:00:00,6842,2016-04-06 02:44:22,2016,2016,March,March,21,2,21,11
2016-03-21 16:00:19,Werkzeugregal,privat,Offer,250,control,Other,2000,Unspecified,0,transporter,5000,Jan,Other,volkswagen,Other,2016-03-21 00:00:00,7407,2016-04-06 14:45:38,2016,2016,March,March,16,14,16,11
2016-03-24 18:38:59,VW_POLO_1.2_9N_3.500_VB,privat,Offer,3500,test,Other,2016,manuell,64,polo,100000,Sep,Gasoline,volkswagen,No,2016-03-24 00:00:00,52353,2016-04-01 15:15:33,2016,2016,March,March,8,15,0,3
2016-03-31 16:36:22,Golf_3_1.6_75PS__BBS__Gewinde_,privat,Offer,1450,control,Other,2016,manuell,75,Other,150000,Oct,Gasoline,volkswagen,No,2016-03-31 00:00:00,24109,2016-04-06 10:46:15,2016,2016,March,March,6,10,0,2
2016-03-24 14:46:18,VW_Polo_/_Auffahrunfall__Scheckheftgepflegt_und_neue_Motorkette_,privat,Offer,2000,test,Other,2016,manuell,59,polo,100000,Jan,Gasoline,volkswagen,Yes,2016-03-24 00:00:00,22047,2016-03-24 14:46:18,2016,2016,March,March,0,14,0,11
2016-03-21 13:46:06,Vw_touran_bj_2003,privat,Offer,3000,test,Other,2016,manuell,140,touran,150000,Nov,Other,volkswagen,Other,2016-03-21 00:00:00,54441,2016-04-04 08:18:05,2016,2016,March,March,14,8,0,1
2016-03-08 10:38:32,??Nur_600_Golf_3_60_ps__tuning_Wolf_felgen__,privat,Offer,600,test,Other,2016,manuell,60,golf,150000,Nov,Other,volkswagen,Other,2016-03-08 00:00:00,41749,2016-03-10 01:16:04,2016,2016,March,March,2,1,0,1
2016-03-30 12:49:20,VW_derby__projektaufgabe,privat,Offer,350,control,Other,1985,Unspecified,0,Other,100000,Jan,Gasoline,volkswagen,Other,2016-03-30 00:00:00,9212,2016-04-07 03:44:48,2016,2016,March,March,8,3,31,11
2016-03-16 21:47:22,VW_Golf_4_IV_Kombi_1_9TDI_101PS_Gruene_Pl._Schlachtfest_o_Komplett,privat,Offer,1,control,Other,2016,manuell,0,golf,150000,Jan,Diesel,volkswagen,Yes,2016-03-16 00:00:00,49401,2016-04-07 09:45:43,2016,2016,March,March,22,9,0,11
2016-04-05 12:06:16,Polo_86_c_Steilheck._Bj_94__45_ps,privat,Offer,150,test,Other,2016,Unspecified,0,polo,150000,Jan,Other,volkswagen,Yes,2016-04-05 00:00:00,57234,2016-04-05 12:46:27,2016,2016,April,April,0,12,0,11
2016-04-01 11:52:18,vw_polo_6n,privat,Offer,200,test,Other,2000,manuell,50,polo,150000,Aug,Gasoline,volkswagen,No,2016-04-01 00:00:00,91717,2016-04-05 06:17:40,2016,2016,April,April,4,6,16,4
2016-03-15 21:48:41,Auto_sharan_1.9_tdi_2002,privat,Offer,3500,control,Other,2016,manuell,110,sharan,150000,Jan,Diesel,volkswagen,Other,2016-03-15 00:00:00,42275,2016-03-27 11:16:21,2016,2016,March,March,12,11,0,11
2016-03-14 10:51:59,Golf_2_GT_spezial_1.8,privat,Offer,450,control,Other,1990,Unspecified,90,golf,150000,Jan,Gasoline,volkswagen,Other,2016-03-14 00:00:00,36167,2016-03-15 05:45:23,2016,2016,March,March,1,5,26,11
2016-03-27 16:06:24,VW_Polo_Diesel,privat,Offer,1000,test,Other,2000,Unspecified,0,polo,150000,Jan,Other,volkswagen,Other,2016-03-27 00:00:00,35580,2016-04-05 21:44:39,2016,2016,March,March,9,21,16,11
2016-03-12 13:53:07,Golf_1_9_Tdi_mit_TÜV,privat,Offer,0,control,Other,2016,manuell,110,golf,150000,Jan,Diesel,volkswagen,Other,2016-03-12 00:00:00,33104,2016-03-15 19:16:46,2016,2016,March,March,3,19,0,11
2016-03-31 19:50:00,VW_Kaefer_1302L,privat,Offer,1200,control,Other,1970,manuell,0,kaefer,150000,May,Gasoline,volkswagen,Other,2016-03-31 00:00:00,90459,2016-04-06 14:17:55,2016,2016,March,March,6,14,46,7
