dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 11:44:17,Golf_1_6_Family,privat,Offer,550,control,andere,1997,manuell,75,golf,150000,Jun,Gasoline,volkswagen,No,2016-04-03 00:00:00,96175,2016-04-07 12:45:02,2016,2016,April,April,4,12,19,6
2016-03-21 18:41:46,Golf_4_GTI_1.8_Turbo,privat,Offer,2549,test,andere,1998,manuell,150,golf,150000,Jul,Gasoline,volkswagen,Other,2016-03-21 00:00:00,38112,2016-04-07 13:16:20,2016,2016,March,March,17,13,18,5
2016-04-03 13:41:24,Verkaufe_VW_caddy_1.9_sdi,privat,Offer,1400,control,andere,1997,manuell,0,caddy,150000,Oct,Diesel,volkswagen,Yes,2016-04-03 00:00:00,18246,2016-04-03 13:41:24,2016,2016,April,April,0,13,19,2
2016-03-12 09:49:27,VW_Kuebel__181___Thing,privat,Offer,6500,control,andere,1973,Unspecified,54,andere,50000,Jan,Other,volkswagen,No,2016-03-12 00:00:00,36433,2016-03-17 06:44:13,2016,2016,March,March,5,6,43,11
2016-04-01 16:45:47,VW_T5_Transporter_Kasten_/_wenig_Kilometer_mit_102_PS,privat,Offer,7000,control,andere,2008,manuell,102,transporter,150000,Nov,Diesel,volkswagen,Yes,2016-04-01 00:00:00,2899,2016-04-05 11:48:35,2016,2016,April,April,4,11,8,1
2016-03-11 17:25:19,VW_Scirorocco_mit_Vollausstattung_1.Hd_Checkheft_bei_VW,privat,Offer,0,test,andere,2011,manuell,122,scirocco,125000,Nov,Gasoline,volkswagen,No,2016-03-11 00:00:00,56068,2016-04-06 14:47:15,2016,2016,March,March,26,14,5,1
2016-04-01 15:51:26,VW_Caddy_Bj.99_Tuev_10/17_LKW_Zulassungen_Klima_technisch_gut,privat,Offer,1500,test,andere,1999,manuell,90,caddy,150000,Nov,Diesel,volkswagen,No,2016-04-01 00:00:00,6847,2016-04-07 13:50:14,2016,2016,April,April,6,13,17,1
2016-03-14 10:56:29,Golf_3_zum_Schlachten_o.ae.,privat,Offer,120,control,andere,1996,manuell,75,golf,150000,Jan,Gasoline,volkswagen,Yes,2016-03-14 00:00:00,57392,2016-03-16 23:17:13,2016,2016,March,March,2,23,20,11
2016-03-08 11:38:36,Golf_3____1.6_101ps,privat,Offer,500,control,andere,1996,Unspecified,101,golf,150000,Jan,Other,volkswagen,Other,2016-03-08 00:00:00,19406,2016-03-26 00:18:24,2016,2016,March,March,18,0,20,11
2016-03-11 00:56:48,VW_JETTA_SYNCRO___KAROSSE___kein_16v___G60___1_8t___Vr6,privat,Offer,1800,test,andere,1988,manuell,0,jetta,150000,Jan,Other,volkswagen,Other,2016-03-11 00:00:00,3226,2016-03-17 09:16:46,2016,2016,March,March,6,9,28,11
