dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-07 10:06:22,Volkswagen_Passat_Variant_2.0_TDI_Comfortline,privat,Offer,2799,control,kombi,2005,manuell,140,passat,150000,Nov,Diesel,volkswagen,Yes,2016-04-07 00:00:00,57290,2016-04-07 10:25:17,2016,2016,April,April,0,10,11,1
2016-03-15 22:49:09,"VW_Passat_Facelift_35i__""7Sitzer""",privat,Offer,999,control,kombi,1995,manuell,115,passat,150000,Nov,Gasoline,volkswagen,Other,2016-03-15 00:00:00,37269,2016-04-01 13:16:16,2016,2016,March,March,17,13,21,1
2016-03-21 21:37:40,VW_PASSAT_1.9_TDI_131_PS_LEDER,privat,Offer,2500,control,kombi,2004,manuell,131,passat,150000,Feb,Other,volkswagen,No,2016-03-21 00:00:00,90762,2016-03-23 02:50:54,2016,2016,March,March,2,2,12,10
2016-03-23 10:59:51,Volkswagen_Passat_Variant_1.6_Kombi_mit_TÜV_und_AHK,privat,Offer,1300,control,kombi,1997,manuell,101,passat,150000,Oct,Gasoline,volkswagen,No,2016-03-23 00:00:00,4277,2016-03-29 04:46:48,2016,2016,March,March,6,4,19,2
2016-03-31 20:57:02,Volkswagen_Passat,privat,Offer,2750,test,kombi,2001,manuell,131,passat,150000,Nov,Diesel,volkswagen,No,2016-03-31 00:00:00,90471,2016-04-06 16:45:33,2016,2016,March,March,6,16,15,1
2016-03-28 10:50:04,VW_Caddy_Lkw_Zulassung,privat,Offer,1495,control,kombi,2001,Unspecified,64,Other,150000,Sep,Diesel,volkswagen,Other,2016-03-28 00:00:00,99086,2016-04-04 11:45:46,2016,2016,March,March,7,11,15,3
2016-03-20 16:57:05,Volkswagen_Golf_Variant_1.9_TDI_Joker,privat,Offer,1800,test,kombi,1999,manuell,90,golf,150000,Apr,Diesel,volkswagen,No,2016-03-20 00:00:00,1920,2016-04-06 22:47:14,2016,2016,March,March,17,22,17,8
2016-03-05 22:56:03,Volkswagen_Passat_Variant_2.0_TDI,privat,Offer,4500,control,kombi,2007,manuell,140,passat,150000,Nov,Diesel,volkswagen,No,2016-03-05 00:00:00,93437,2016-03-06 04:40:29,2016,2016,March,March,1,4,9,1
2016-04-03 02:57:31,Volkswagen_Passat_Variant_2.0_5V_Comfortline_Family,privat,Offer,3900,control,kombi,2003,manuell,131,passat,150000,Apr,Gasoline,volkswagen,No,2016-04-03 00:00:00,39218,2016-04-07 09:44:44,2016,2016,April,April,4,9,13,8
2016-03-09 10:51:52,Volkswagen_Passat_Variant_1.6,privat,Offer,750,control,kombi,2000,manuell,101,passat,150000,Mar,Gasoline,volkswagen,No,2016-03-09 00:00:00,23758,2016-03-09 11:41:16,2016,2016,March,March,0,11,16,9
2016-03-05 14:47:19,Volkswagen_Transporter_T4_70B_1F2,privat,Offer,650,control,kombi,1991,manuell,77,transporter,150000,Jul,Diesel,volkswagen,Yes,2016-03-05 00:00:00,59348,2016-04-07 09:45:43,2016,2016,March,March,33,9,25,5
2016-03-27 18:37:16,Volkswagen_Passat_Variant_1.9_TDI,privat,Offer,750,control,kombi,1998,manuell,90,passat,150000,Nov,Diesel,volkswagen,No,2016-03-27 00:00:00,35415,2016-03-29 14:30:36,2016,2016,March,March,2,14,18,1
2016-03-29 21:38:39,VW_Passat_2l_TDI_DSG_Automatik,privat,Offer,3300,test,kombi,2006,automatik,140,passat,150000,Nov,Diesel,volkswagen,No,2016-03-29 00:00:00,33775,2016-03-31 15:16:54,2016,2016,March,March,2,15,10,1
2016-03-10 10:54:55,Vw_Caddy_1_9_sdi,privat,Offer,650,test,kombi,2000,manuell,75,caddy,150000,Jun,Diesel,volkswagen,Other,2016-03-10 00:00:00,38259,2016-03-10 11:44:13,2016,2016,March,March,0,11,16,6
2016-04-01 12:49:18,Solides_Auto,privat,Offer,2400,test,kombi,1997,manuell,125,passat,150000,Jul,Gasoline,volkswagen,No,2016-04-01 00:00:00,88161,2016-04-07 09:17:47,2016,2016,April,April,6,9,19,5
2016-03-22 18:41:49,VW_Passat_Kombi_TDI_Mod._2010__Klima_Navi,privat,Offer,6500,control,kombi,2009,manuell,140,passat,150000,Nov,Diesel,volkswagen,Other,2016-03-22 00:00:00,58093,2016-04-06 10:16:17,2016,2016,March,March,15,10,7,1
2016-04-04 14:58:49,Volkswagen_Passat_Variant_1.6,privat,Offer,800,test,kombi,1998,manuell,101,passat,150000,Mar,Gasoline,volkswagen,No,2016-04-04 00:00:00,8309,2016-04-06 17:15:28,2016,2016,April,April,2,17,18,9
2016-03-31 14:52:16,Touran_2.0_TDI_Highline,privat,Offer,2800,control,kombi,2005,Unspecified,0,touran,150000,Nov,Diesel,volkswagen,No,2016-03-31 00:00:00,39167,2016-03-31 14:52:16,2016,2016,March,March,0,14,11,1
2016-03-22 18:48:26,Volkswagen_Passat_Variant_1.8_5V,privat,Offer,3500,control,kombi,1998,manuell,125,passat,150000,Mar,Gasoline,volkswagen,No,2016-03-22 00:00:00,78658,2016-04-06 11:16:16,2016,2016,March,March,15,11,18,9
2016-03-28 19:57:37,Golf_3_Variant_101Ps_tiefer_mit_Anhaengerkupplung,privat,Offer,990,control,kombi,1997,manuell,101,golf,150000,Jul,Gasoline,volkswagen,Other,2016-03-28 00:00:00,84364,2016-04-07 02:47:02,2016,2016,March,March,10,2,19,5
2016-04-01 19:55:37,Volkswagen_Passat_Variant_2.0_Pacific,privat,Offer,850,control,kombi,1996,manuell,116,passat,150000,Oct,Gasoline,volkswagen,No,2016-04-01 00:00:00,96247,2016-04-01 19:55:37,2016,2016,April,April,0,19,20,2
2016-04-01 07:55:36,Volkswagen_Passat_Variant_1.9_TDI,privat,Offer,3999,test,kombi,2002,manuell,131,passat,150000,Mar,Diesel,volkswagen,No,2016-04-01 00:00:00,26655,2016-04-07 06:15:21,2016,2016,April,April,6,6,14,9
2016-03-26 11:54:32,Volkswagen_Passat_Variant_1.9_TDI_Comfortline,privat,Offer,2500,control,kombi,2000,automatik,90,passat,150000,Mar,Diesel,volkswagen,No,2016-03-26 00:00:00,16831,2016-04-06 00:15:26,2016,2016,March,March,11,0,16,9
2016-03-05 14:25:04,Volkswagen_Golf_1.4_Edition_aus_2.Hand_mit_121tkm,privat,Offer,1300,test,kombi,2001,manuell,75,golf,125000,Apr,Gasoline,volkswagen,No,2016-03-04 00:00:00,65929,2016-03-06 11:11:24,2016,2016,March,March,2,11,15,8
2016-03-15 17:49:35,Volkswagen_Caddy_1.6TDI_DPF_BMT_AHK_Life_Team__7_Si._,privat,Offer,12900,control,kombi,2010,manuell,102,caddy,70000,Nov,Diesel,volkswagen,No,2016-03-15 00:00:00,68623,2016-03-15 17:49:35,2016,2016,March,March,0,17,6,1
2016-03-12 16:53:39,Volkswagen_Golf_Variant_1.9_TDI_DPF,privat,Offer,4200,control,kombi,2007,manuell,105,golf,150000,Nov,Diesel,volkswagen,No,2016-03-12 00:00:00,50374,2016-03-12 16:53:39,2016,2016,March,March,0,16,9,1
2016-03-20 18:58:17,VW_Passat_1_9_Tdi,privat,Offer,4100,test,kombi,2004,automatik,131,passat,150000,Mar,Diesel,volkswagen,Other,2016-03-20 00:00:00,87766,2016-04-07 03:44:21,2016,2016,March,March,18,3,12,9
