dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 18:54:38,VW_Derby_Bj_80__Scheunenfund,privat,Offer,0,test,limousine,1980,manuell,50,andere,40000,Jul,Gasoline,volkswagen,No,2016-03-21 00:00:00,19348,2016-03-25 16:47:58,2016,2016,March,March,4,16,36,5
2016-03-15 20:59:01,Golf_3_....._1.4,privat,Offer,245,test,limousine,1994,Unspecified,0,golf,150000,Feb,Gasoline,volkswagen,No,2016-03-15 00:00:00,44145,2016-03-17 18:17:43,2016,2016,March,March,2,18,22,10
2016-03-31 08:57:44,Volkswagen_Golf_1.6_Comfortline,privat,Offer,1000,control,limousine,1998,manuell,101,golf,150000,Oct,Gasoline,volkswagen,No,2016-03-31 00:00:00,39624,2016-04-06 03:15:47,2016,2016,March,March,6,3,18,2
2016-03-08 12:54:47,Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline,privat,Offer,7000,test,limousine,2006,automatik,105,jetta,100000,Oct,Diesel,volkswagen,No,2016-03-08 00:00:00,6242,2016-03-11 17:16:18,2016,2016,March,March,3,17,10,2
2016-03-31 18:46:36,VW_Golf_V_Plus_TDI_1_8,privat,Offer,6600,control,limousine,2006,manuell,105,golf,150000,Oct,Diesel,volkswagen,No,2016-03-31 00:00:00,41812,2016-03-31 18:46:36,2016,2016,March,March,0,18,10,2
2016-03-25 18:44:10,Volkswagen_Passat_1.9_TDI,privat,Offer,3850,test,limousine,2003,manuell,131,passat,150000,May,Diesel,volkswagen,No,2016-03-25 00:00:00,30459,2016-04-07 00:16:18,2016,2016,March,March,13,0,13,7
2016-03-20 18:38:02,Volkswagen_Golf_1.8_5V_Turbo,privat,Offer,6300,test,limousine,2002,manuell,265,golf,150000,Mar,Gasoline,volkswagen,No,2016-03-20 00:00:00,56759,2016-04-07 01:45:06,2016,2016,March,March,18,1,14,9
2016-03-18 23:41:18,Volkswagen_Golf_CL,privat,Offer,1000,test,limousine,1990,manuell,54,golf,150000,Feb,Gasoline,volkswagen,No,2016-03-18 00:00:00,47447,2016-04-05 23:16:13,2016,2016,March,March,18,23,26,10
2016-04-03 15:58:09,Verkaufe_ein_toppen_golf5,privat,Offer,4300,test,limousine,2005,manuell,90,golf,150000,Nov,Diesel,volkswagen,Other,2016-04-03 00:00:00,28779,2016-04-05 15:46:23,2016,2016,April,April,2,15,11,1
2016-04-01 16:06:24,Volkswagen_Golf_Function,privat,Offer,800,control,limousine,1993,manuell,0,golf,10000,Sep,Gasoline,volkswagen,Yes,2016-04-01 00:00:00,65929,2016-04-07 11:17:07,2016,2016,April,April,6,11,23,3
2016-03-21 23:51:55,VW_Golf_CL__2er_Golf____TÜV_bis_02/2018,privat,Offer,850,test,limousine,1989,manuell,69,golf,125000,Nov,Gasoline,volkswagen,No,2016-03-21 00:00:00,95485,2016-04-05 15:17:35,2016,2016,March,March,15,15,27,1
2016-03-08 21:52:34,Volkswagen_Golf_R32_4Motion_DSG,privat,Offer,11299,control,limousine,2006,automatik,250,golf,150000,Aug,Gasoline,volkswagen,No,2016-03-08 00:00:00,22083,2016-03-19 09:46:58,2016,2016,March,March,11,9,10,4
2016-03-25 01:36:44,Volkswagen_Vento_1.8_CLX,privat,Offer,999,test,limousine,1995,manuell,75,andere,150000,Oct,Gasoline,volkswagen,No,2016-03-25 00:00:00,76597,2016-04-06 06:45:14,2016,2016,March,March,12,6,21,2
2016-04-02 10:51:46,Volkswagen_Golf_1.4_Trendline,privat,Offer,8500,test,limousine,2010,manuell,80,golf,50000,Mar,Gasoline,volkswagen,No,2016-04-02 00:00:00,34385,2016-04-02 10:51:46,2016,2016,April,April,0,10,6,9
2016-03-05 15:55:47,Volkswagen_Golf_V_1.4_Top_Zustand_*TÜV*,privat,Offer,2800,control,limousine,2004,manuell,75,golf,100000,Sep,Gasoline,volkswagen,Yes,2016-03-05 00:00:00,6295,2016-03-16 06:45:15,2016,2016,March,March,11,6,12,3
2016-03-28 22:55:34,Schicker__roter__Sportflitzer_GOLF_4_1_6,privat,Offer,1200,control,limousine,1997,manuell,101,golf,150000,Jan,Gasoline,volkswagen,Other,2016-03-28 00:00:00,10777,2016-03-30 21:18:00,2016,2016,March,March,2,21,19,11
2016-03-12 15:55:41,Volkswagen_Golf_2.0,privat,Offer,1100,control,limousine,2000,manuell,116,golf,150000,Apr,Gasoline,volkswagen,No,2016-03-12 00:00:00,90439,2016-03-12 15:55:41,2016,2016,March,March,0,15,16,8
2016-03-29 14:54:44,VW_Golf_IV_1.4_16V_Motorschaden?,privat,Offer,800,test,limousine,1998,manuell,75,golf,150000,May,Gasoline,volkswagen,Yes,2016-03-29 00:00:00,31275,2016-04-06 01:15:45,2016,2016,March,March,8,1,18,7
2016-03-20 21:47:47,VW_Polo_1_2_Match_Plus_Teilleder_Panorama_SHZ_PDC_Klimaautomatik,privat,Offer,9500,test,limousine,2012,manuell,69,polo,50000,Nov,Gasoline,volkswagen,Other,2016-03-20 00:00:00,91722,2016-04-03 07:00:20,2016,2016,March,March,14,7,4,1
2016-03-28 13:31:04,Volkswagen_Golf_1.9_TDI_Comfortline,privat,Offer,5500,test,limousine,2004,manuell,90,golf,150000,Oct,Diesel,volkswagen,No,2016-03-28 00:00:00,56235,2016-04-06 07:46:17,2016,2016,March,March,9,7,12,2
2016-04-04 18:56:38,Volkswagen_Golf_1.4_Comfortline,privat,Offer,4800,test,limousine,2004,manuell,75,golf,80000,Nov,Gasoline,volkswagen,No,2016-04-04 00:00:00,22926,2016-04-06 21:16:27,2016,2016,April,April,2,21,12,1
2016-03-09 15:45:23,Volkswagen_Golf_1.6,privat,Offer,1700,control,limousine,1999,manuell,101,golf,150000,Jun,Gasoline,volkswagen,No,2016-03-09 00:00:00,37619,2016-03-10 11:17:48,2016,2016,March,March,1,11,17,6
2016-03-29 16:36:57,VW_Golf_1.8_Autogas_mit_Benzin_4_Tuere,privat,Offer,699,control,limousine,1992,manuell,66,golf,150000,Oct,Lpg,volkswagen,No,2016-03-29 00:00:00,67065,2016-04-06 02:15:37,2016,2016,March,March,8,2,24,2
2016-04-02 18:37:34,Volkswagen_Golf_1.4_Comfortline,privat,Offer,7750,control,limousine,2009,manuell,80,golf,125000,Sep,Gasoline,volkswagen,No,2016-04-02 00:00:00,57392,2016-04-06 18:16:04,2016,2016,April,April,4,18,7,3
2016-03-07 07:55:46,Volkswagen_Golf_1.2TSI_BlueMotion_Technology_DSG_NEUWAGENGARANTIE,privat,Offer,10550,test,limousine,2012,automatik,105,golf,60000,Oct,Gasoline,volkswagen,No,2016-03-07 00:00:00,44309,2016-03-22 01:18:19,2016,2016,March,March,15,1,4,2
2016-03-09 23:46:25,Volkswagen_Passat_2.5_TDI_V6_4Motion_Highline,privat,Offer,1750,test,limousine,2002,automatik,150,passat,150000,Nov,Diesel,volkswagen,No,2016-03-09 00:00:00,90768,2016-04-07 09:17:11,2016,2016,March,March,29,9,14,1
2016-03-12 14:39:17,Volkswagen_Golf_1.4_Tour,privat,Offer,5500,test,limousine,2007,manuell,80,golf,125000,Jul,Gasoline,volkswagen,No,2016-03-12 00:00:00,31246,2016-04-06 23:17:03,2016,2016,March,March,25,23,9,5
2016-03-10 12:54:34,Volkswagen_Golf_Plus_1.9_TDI,privat,Offer,4300,test,limousine,2007,manuell,90,golf,150000,Feb,Diesel,volkswagen,No,2016-03-10 00:00:00,60486,2016-03-16 08:17:23,2016,2016,March,March,6,8,9,10
2016-03-20 20:47:52,Volkswagen_Golf_1.6_Goal,privat,Offer,5800,test,limousine,2006,manuell,102,golf,125000,Sep,Gasoline,volkswagen,No,2016-03-20 00:00:00,72074,2016-04-07 05:44:58,2016,2016,March,March,18,5,10,3
2016-03-23 13:45:11,Volkswagen_Golf_2,privat,Offer,950,test,limousine,1991,manuell,90,golf,150000,Jun,Gasoline,volkswagen,No,2016-03-23 00:00:00,94121,2016-03-26 06:16:42,2016,2016,March,March,3,6,25,6
2016-03-06 21:36:24,VW_Passat_3BG_mit_LPG_Anlage,privat,Offer,3999,control,limousine,2003,manuell,102,passat,150000,Apr,Lpg,volkswagen,No,2016-03-06 00:00:00,27711,2016-04-07 02:44:49,2016,2016,March,March,32,2,13,8
2016-03-23 00:57:12,VW_Golf_VI_Trendline_2.0_TDI,privat,Offer,7199,test,limousine,2009,manuell,140,golf,150000,Feb,Diesel,volkswagen,No,2016-03-23 00:00:00,30655,2016-04-07 07:15:37,2016,2016,March,March,15,7,7,10
2016-04-05 06:36:35,VW_Polo_Classis,privat,Offer,0,test,limousine,1998,manuell,75,polo,150000,Jan,Gasoline,volkswagen,Yes,2016-04-05 00:00:00,68766,2016-04-07 10:44:39,2016,2016,April,April,2,10,18,11
2016-03-28 00:57:13,Golf_Plus_1_9_Diesel__Automatik__Zahnriehemen_Inspektion_Neu,privat,Offer,7800,control,limousine,2006,automatik,104,golf,150000,Nov,Diesel,volkswagen,No,2016-03-27 00:00:00,53227,2016-04-06 09:45:29,2016,2016,March,March,10,9,10,1
2016-03-11 19:54:32,***VOLKSWAGEN_GOLF_5___V___TDI_SEHR_GEPFLEGT***,privat,Offer,4500,test,limousine,2007,manuell,90,golf,150000,Sep,Diesel,volkswagen,No,2016-03-11 00:00:00,26736,2016-03-26 15:16:14,2016,2016,March,March,15,15,9,3
2016-03-24 18:36:16,GOLF_5_1.9_TDi_Xenon_105_PS_Regen_Sensor,privat,Offer,2650,test,limousine,2006,manuell,105,golf,150000,Jun,Diesel,volkswagen,No,2016-03-24 00:00:00,30457,2016-03-24 18:36:16,2016,2016,March,March,0,18,10,6
2016-03-15 18:46:09,Volkswagen_Golf_1.4_Comfortline,privat,Offer,3499,control,limousine,2004,manuell,75,golf,150000,Nov,Gasoline,volkswagen,No,2016-03-15 00:00:00,36266,2016-04-06 19:18:08,2016,2016,March,March,22,19,12,1
2016-03-26 13:37:16,Polo_Limusine_1.4___74kw/101_ps,privat,Offer,3100,control,limousine,2004,manuell,101,polo,150000,Aug,Other,volkswagen,No,2016-03-26 00:00:00,12627,2016-04-06 01:16:12,2016,2016,March,March,11,1,12,4
2016-04-04 22:36:22,Volkswagen_Golf_1.6,privat,Offer,1200,test,limousine,1998,manuell,101,golf,150000,Jul,Gasoline,volkswagen,No,2016-04-04 00:00:00,25489,2016-04-05 00:42:18,2016,2016,April,April,1,0,18,5
2016-03-12 04:36:23,Volkswagen_Golf_1.9_TDI_Sportline,privat,Offer,4550,control,limousine,2003,manuell,105,golf,150000,Nov,Diesel,volkswagen,No,2016-03-12 00:00:00,59077,2016-03-22 07:48:11,2016,2016,March,March,10,7,13,1
