dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-30 23:56:48,VW_Tiguan_2.0_TDI_DPF_BlueMotion_Technology,privat,Offer,12000,control,suv,2011,manuell,101,tiguan,150000,Jul,Diesel,volkswagen,No,2016-03-30 00:00:00,1069,2016-03-31 07:43:22,2016,2016,March,March,1,7,5,5
2016-03-19 16:40:33,VWTiguan_sehr_gepflegt,privat,Offer,16150,test,suv,2011,manuell,150,tiguan,30000,Apr,Gasoline,volkswagen,No,2016-03-19 00:00:00,6502,2016-04-07 02:15:37,2016,2016,March,March,19,2,5,8
2016-04-04 12:43:25,Volkswagen_Touareg_3.0_V6_TDI_DPF_Aut._Individual,privat,Offer,15500,control,suv,2008,automatik,239,touareg,150000,Apr,Diesel,volkswagen,No,2016-04-04 00:00:00,45355,2016-04-06 13:44:33,2016,2016,April,April,2,13,8,8
2016-03-14 22:57:33,Volkswagen_Tiguan_Sport_&_Style_/_8_fach_bereift_/_Panorama,privat,Offer,18300,control,suv,2013,manuell,122,tiguan,40000,Jan,Gasoline,volkswagen,No,2016-03-14 00:00:00,92685,2016-04-07 05:46:14,2016,2016,March,March,24,5,3,11
2016-03-10 13:56:39,Touareg_3.0_V6_TDI_DPF_Aut._Bi_Xen_1_Hand_Kamera,privat,Offer,10100,test,suv,2008,automatik,239,touareg,100000,Nov,Diesel,volkswagen,No,2016-03-10 00:00:00,10115,2016-03-10 14:44:07,2016,2016,March,March,0,14,8,1
2016-03-19 18:52:10,Sonderpreis_:_1.4_TSI__E_10___Start/Stop__scheckheftgepflegt_,privat,Offer,16960,test,suv,2013,manuell,122,tiguan,30000,Jun,Gasoline,volkswagen,No,2016-03-13 00:00:00,67067,2016-03-30 07:17:03,2016,2016,March,March,17,7,3,6
2016-03-14 18:43:26,Vw_Touran_1.9_tdi,privat,Offer,3400,test,suv,2004,manuell,0,touran,150000,Jan,Diesel,volkswagen,Other,2016-03-14 00:00:00,36119,2016-03-14 18:43:26,2016,2016,March,March,0,18,12,11
2016-03-30 11:54:50,VW_Touareg_3.0_V6_TDI_Individual,privat,Offer,15700,test,suv,2006,automatik,224,touareg,150000,Oct,Diesel,volkswagen,No,2016-03-30 00:00:00,79244,2016-04-07 02:45:08,2016,2016,March,March,8,2,10,2
2016-04-02 17:46:08,VW_Tiguan_1.4_TSI_R_Line_BMT,privat,Offer,22222,control,suv,2013,manuell,160,tiguan,30000,Nov,Gasoline,volkswagen,No,2016-04-02 00:00:00,40878,2016-04-06 17:16:01,2016,2016,April,April,4,17,3,1
2016-03-25 15:58:21,Volkswagen_Andere_typ82,privat,Offer,7000,test,suv,1945,manuell,48,andere,150000,Feb,Gasoline,volkswagen,No,2016-03-25 00:00:00,58135,2016-03-25 15:58:21,2016,2016,March,March,0,15,71,10
