dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 18:40:14,Schrott_Volvo_abzugeben,privat,Offer,0,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,volvo,Other,2016-03-14 00:00:00,25524,2016-03-14 18:40:14,2016,2016,March,March,0,18,16,11
2016-04-05 10:58:11,Suche_DRINGEND_Kombi_auf_Raten,privat,Offer,0,control,Other,2000,Unspecified,0,Other,150000,Jan,Other,volvo,Other,2016-04-05 00:00:00,14552,2016-04-05 11:46:04,2016,2016,April,April,0,11,16,11
2016-03-08 21:53:29,Verkaufe_mein_v70,privat,Offer,500,control,Other,2000,Unspecified,0,v70,5000,Jan,Diesel,volvo,Other,2016-03-08 00:00:00,59387,2016-03-09 13:47:10,2016,2016,March,March,1,13,16,11
2016-03-10 18:58:07,Volvo_C70_T5_Automatik_Tausch_auch_moeglich,privat,Offer,2600,test,Other,2016,automatik,239,c_reihe,150000,May,Other,volvo,No,2016-03-10 00:00:00,78224,2016-03-11 07:45:31,2016,2016,March,March,1,7,0,7
2016-04-04 14:36:23,Volvo_1.8_Liter_Benzin,privat,Offer,950,test,Other,2000,Unspecified,0,v40,150000,Jan,Gasoline,volvo,No,2016-04-04 00:00:00,89335,2016-04-04 14:36:23,2016,2016,April,April,0,14,16,11
2016-03-15 11:38:29,Volvo_V40_1.8_Benziner,privat,Offer,250,test,Other,1997,manuell,0,v40,150000,Aug,Other,volvo,Other,2016-03-15 00:00:00,49176,2016-04-05 20:46:43,2016,2016,March,March,21,20,19,4
2016-03-20 17:55:47,FAHRRADGEPÄCKTRÄGER,privat,Offer,0,test,Other,2000,Unspecified,0,v70,5000,Jan,Other,volvo,Other,2016-03-20 00:00:00,1609,2016-04-06 07:44:49,2016,2016,March,March,17,7,16,11
2016-03-27 00:58:43,Tausche_volvo_Kombi_ohne_TÜV_gegen_Auto_mit_Tuev,privat,Offer,0,test,Other,2000,Unspecified,136,v70,150000,Jan,Other,volvo,Other,2016-03-26 00:00:00,48527,2016-04-03 03:16:50,2016,2016,March,March,8,3,16,11
2016-03-28 09:37:42,Sommerreifen_auf_Alufelgen_16_EURUS,privat,Offer,290,control,Other,2014,Unspecified,0,Other,5000,Jan,Other,volvo,Other,2016-03-28 00:00:00,90513,2016-04-06 12:15:29,2016,2016,March,March,9,12,2,11
2016-03-16 15:06:21,Volvo_740_16v_glt_ohne_tuev,privat,Offer,1000,control,Other,1990,Unspecified,155,Other,150000,Apr,Gasoline,volvo,Yes,2016-03-16 00:00:00,56288,2016-04-05 22:15:39,2016,2016,March,March,20,22,26,8
