dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-24 15:50:28,Volvo_C70_2.0D,privat,Offer,12400,test,cabrio,2008,manuell,136,c_reihe,150000,May,Diesel,volvo,No,2016-03-24 00:00:00,41748,2016-04-07 07:46:36,2016,2016,March,March,14,7,8,7
2016-04-04 08:51:04,Volvo_C70_D5_Summum*Leder*_Xenon*Automatik*Standheizun,privat,Offer,15990,test,cabrio,2008,automatik,179,c_reihe,125000,May,Diesel,volvo,No,2016-04-04 00:00:00,65929,2016-04-05 12:15:03,2016,2016,April,April,1,12,8,7
2016-03-08 07:01:19,Volvo_C70_2.0D_Momentum,privat,Offer,10490,test,cabrio,2009,manuell,136,c_reihe,150000,Sep,Diesel,volvo,No,2016-03-08 00:00:00,87668,2016-04-05 17:46:09,2016,2016,March,March,28,17,7,3
2016-04-02 16:48:53,TOP_Volvo_LEDER_BEIGE_+_HOLZ,privat,Offer,5000,control,cabrio,2001,automatik,163,c_reihe,150000,Jan,Gasoline,volvo,No,2016-04-02 00:00:00,64521,2016-04-06 16:15:42,2016,2016,April,April,4,16,15,11
2016-03-27 14:42:16,"Volvo_C70_R_T5_Premium_Heico_19""",privat,Offer,6999,control,cabrio,2003,manuell,245,c_reihe,150000,Mar,Gasoline,volvo,No,2016-03-27 00:00:00,16321,2016-04-07 10:46:07,2016,2016,March,March,11,10,13,9
2016-04-03 05:59:55,Volvo_C70_2.0T,privat,Offer,3000,control,cabrio,2000,manuell,163,c_reihe,150000,Jun,Gasoline,volvo,Yes,2016-04-03 00:00:00,44319,2016-04-07 09:15:33,2016,2016,April,April,4,9,16,6
2016-03-27 21:48:50,Verkaufe_Volvo_Cabrio_C_70,privat,Offer,4990,test,cabrio,2003,manuell,163,c_reihe,150000,Aug,Gasoline,volvo,Other,2016-03-27 00:00:00,47661,2016-04-05 21:45:50,2016,2016,March,March,9,21,13,4
2016-03-24 17:52:28,Volvo_C70_2.4T_Premium,privat,Offer,5950,control,cabrio,2002,manuell,200,c_reihe,150000,Oct,Gasoline,volvo,No,2016-03-24 00:00:00,55130,2016-04-06 04:45:13,2016,2016,March,March,13,4,14,2
2016-03-23 19:45:08,Volvo_C70_2.4i_Aut._Summum,privat,Offer,7750,control,cabrio,2006,automatik,170,c_reihe,150000,Sep,Gasoline,volvo,No,2016-03-23 00:00:00,22339,2016-04-02 02:18:46,2016,2016,March,March,10,2,10,3
2016-03-30 19:46:58,Volvo_C70_Momentum_D5_mit_Volvogarantie_fuer_1_Jahr,privat,Offer,15000,test,cabrio,2009,automatik,179,c_reihe,100000,Mar,Diesel,volvo,No,2016-03-30 00:00:00,13593,2016-04-07 11:44:35,2016,2016,March,March,8,11,7,9
