dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 20:57:52,Volvo_S40_1.8_TÜV_neu_KLIMA_T_Leder,privat,Offer,1500,test,limousine,1998,manuell,116,andere,150000,Jun,Gasoline,volvo,No,2016-04-01 00:00:00,28876,2016-04-05 19:16:07,2016,2016,April,April,4,19,18,6
2016-04-01 22:57:31,Volvo_S80_Schwarz_2.5_TD_163_Ps__Euro_3_d5_Vollausstattung!!,privat,Offer,3199,test,limousine,2003,manuell,163,andere,150000,Nov,Diesel,volvo,Other,2016-04-01 00:00:00,31134,2016-04-05 20:47:39,2016,2016,April,April,4,20,13,1
2016-03-25 15:36:42,Volvo_S40_2.0,privat,Offer,1150,test,limousine,1997,manuell,140,andere,150000,Feb,Gasoline,volvo,No,2016-03-25 00:00:00,18146,2016-04-04 17:17:47,2016,2016,March,March,10,17,19,10
2016-03-29 18:50:41,Volvo_S80_2.0T_Business,privat,Offer,2599,test,limousine,1999,automatik,163,andere,150000,Nov,Gasoline,volvo,No,2016-03-29 00:00:00,65462,2016-04-06 07:15:42,2016,2016,March,March,8,7,17,1
2016-03-21 13:44:36,Volvo_S80_2.4_Automatic,privat,Offer,1500,test,limousine,1999,automatik,170,andere,150000,Sep,Gasoline,volvo,No,2016-03-21 00:00:00,48151,2016-03-31 16:15:20,2016,2016,March,March,10,16,17,3
2016-03-09 21:49:13,Volvo_Amazon_Hellblau_1965___Alltagsoldtimer__,privat,Offer,7900,test,limousine,1965,manuell,82,andere,80000,Jan,Gasoline,volvo,No,2016-03-09 00:00:00,45772,2016-03-20 06:20:11,2016,2016,March,March,11,6,51,11
2016-03-28 18:39:30,Volvo_S60_2.4_Tuev_Neu__Leder__Klima_Aluflegen,privat,Offer,2899,control,limousine,2004,manuell,140,s60,150000,Jul,Gasoline,volvo,No,2016-03-28 00:00:00,31789,2016-04-07 00:17:48,2016,2016,March,March,10,0,12,5
2016-04-02 12:36:19,Volvo_C30_D5_Aut._Summum_R_Design,privat,Offer,8900,test,limousine,2007,automatik,179,c_reihe,125000,Jun,Diesel,volvo,No,2016-04-02 00:00:00,99867,2016-04-06 11:45:02,2016,2016,April,April,4,11,9,6
2016-03-31 12:47:26,Volvo_850_TÜV_2017,privat,Offer,950,test,limousine,1994,manuell,140,850,150000,May,Gasoline,volvo,Other,2016-03-31 00:00:00,56743,2016-04-06 05:17:33,2016,2016,March,March,6,5,22,7
2016-03-05 14:44:30,Volvo_S60_2.4_TÜV_11/17,privat,Offer,2480,control,limousine,2001,manuell,140,s60,150000,Mar,Gasoline,volvo,No,2016-03-05 00:00:00,23774,2016-03-12 17:15:13,2016,2016,March,March,7,17,15,9
