dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 07:37:10,Alfa_Romeo_Spiber,privat,Offer,3200,control,cabrio,2001,manuell,150,spider,150000,Jun,Other,alfa_romeo,Other,2016-03-21 00:00:00,24939,2016-03-31 08:18:09,2016,2016,March,March,10,8,15,6
2016-04-01 05:02:57,Alfa_Romeo_Spider_2.0_16V_Twin_Spark,privat,Offer,4800,control,cabrio,1998,manuell,155,spider,150000,May,Gasoline,alfa_romeo,No,2016-04-01 00:00:00,66292,2016-04-07 06:15:22,2016,2016,April,April,6,6,18,7
2016-03-15 22:36:55,Alfa_Romeo_Spider_2.0_16V_Twin_Spark,privat,Offer,2900,control,cabrio,1995,manuell,150,spider,150000,Oct,Gasoline,alfa_romeo,No,2016-03-15 00:00:00,42111,2016-04-05 19:47:35,2016,2016,March,March,21,19,21,2
2016-04-02 16:55:57,Alfa_Romeo_Spyder_Cario_Schwarz_rotes_Leder_Twinspark,privat,Offer,2400,control,cabrio,1998,manuell,144,spider,150000,Jun,Gasoline,alfa_romeo,No,2016-04-02 00:00:00,46047,2016-04-04 14:46:22,2016,2016,April,April,2,14,18,6
2016-03-23 15:48:51,Alfa_Romeo_Spider_2.0_Twin_Spark,privat,Offer,4350,test,cabrio,2001,manuell,150,spider,125000,Jul,Gasoline,alfa_romeo,No,2016-03-23 00:00:00,67574,2016-04-05 18:45:37,2016,2016,March,March,13,18,15,5
2016-04-03 12:40:32,Alfa_Spider_T_Spark__2l,privat,Offer,6870,control,cabrio,2001,manuell,150,spider,150000,May,Other,alfa_romeo,No,2016-04-03 00:00:00,32120,2016-04-07 14:57:07,2016,2016,April,April,4,14,15,7
2016-03-11 21:40:50,Alfa_Romeo_Spider_2000_Veloce_Fastback,privat,Offer,12900,test,cabrio,1979,manuell,126,spider,20000,Apr,Gasoline,alfa_romeo,No,2016-03-11 00:00:00,47475,2016-04-06 05:46:30,2016,2016,March,March,26,5,37,8
2016-03-19 19:06:22,Alfa_Romeo_Spider,privat,Offer,9999,test,cabrio,1980,manuell,103,spider,150000,May,Gasoline,alfa_romeo,No,2016-03-19 00:00:00,63303,2016-04-06 04:45:38,2016,2016,March,March,18,4,36,7
2016-03-26 10:56:00,Alfa_Romeo_Spider_2.0_16V_Twin_Spark,privat,Offer,3850,test,cabrio,1997,manuell,150,spider,100000,Mar,Gasoline,alfa_romeo,No,2016-03-26 00:00:00,54636,2016-04-05 22:45:28,2016,2016,March,March,10,22,19,9
2016-03-05 15:47:44,Alfa_romeo_spider,privat,Offer,3299,control,cabrio,2001,manuell,0,spider,150000,Jul,Gasoline,alfa_romeo,No,2016-03-05 00:00:00,89077,2016-03-05 19:16:36,2016,2016,March,March,0,19,15,5
2016-03-19 14:46:07,Alfa_Romeo_Spider_2.0_16V_Twin_Spark,privat,Offer,2990,test,cabrio,1997,manuell,150,spider,150000,May,Gasoline,alfa_romeo,No,2016-03-19 00:00:00,54320,2016-04-06 21:47:01,2016,2016,March,March,18,21,19,7
2016-03-31 13:47:03,Alfa_Romeo_Spider_2.0_Twin_Spark,privat,Offer,1990,control,cabrio,2000,manuell,155,spider,150000,Mar,Gasoline,alfa_romeo,No,2016-03-31 00:00:00,24148,2016-04-06 06:17:28,2016,2016,March,March,6,6,16,9
2016-04-01 18:48:26,Cabrio_alfa_romeo,privat,Offer,7500,control,cabrio,1991,manuell,0,spider,150000,Jun,Gasoline,alfa_romeo,Other,2016-04-01 00:00:00,86641,2016-04-03 15:45:59,2016,2016,April,April,2,15,25,6
