dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 14:55:58,Alfa_Romeo_GT_Blackline,privat,Offer,4200,test,coupe,2006,manuell,166,andere,150000,May,Other,alfa_romeo,Other,2016-03-16 00:00:00,44532,2016-03-28 12:18:13,2016,2016,March,March,12,12,10,7
2016-03-11 19:59:16,Alfa_Romeo_GTV,privat,Offer,650,test,coupe,1999,manuell,155,andere,150000,Aug,Gasoline,alfa_romeo,Other,2016-03-11 00:00:00,26419,2016-03-13 02:15:46,2016,2016,March,March,2,2,17,4
2016-03-16 11:46:42,Alfa_Romeo_GT_1.9_JTD_M_Jet_Distinctive,privat,Offer,4200,test,coupe,2004,manuell,150,andere,150000,Apr,Diesel,alfa_romeo,No,2016-03-16 00:00:00,27607,2016-04-06 04:44:56,2016,2016,March,March,21,4,12,8
2016-03-25 12:48:55,Alfa_Romeo_Alfasud_Sprint_Veloce_1.5,privat,Offer,7950,test,coupe,1979,manuell,95,andere,150000,Feb,Gasoline,alfa_romeo,No,2016-03-25 00:00:00,46446,2016-04-02 15:18:11,2016,2016,March,March,8,15,37,10
2016-04-02 11:56:59,Alfa_Romeo_147_2.0_T.Spark,privat,Offer,4300,test,coupe,2003,manuell,150,Other,125000,Sep,Other,alfa_romeo,No,2016-04-02 00:00:00,59065,2016-04-06 10:17:35,2016,2016,April,April,4,10,13,3
2016-03-22 18:39:15,Alfa_romeo,privat,Offer,1600,control,coupe,2000,manuell,0,Other,150000,Jan,Gasoline,alfa_romeo,No,2016-03-22 00:00:00,66625,2016-04-06 10:16:13,2016,2016,March,March,15,10,16,11
2016-03-31 15:57:50,Alfa_Brera_2_4_jdt_200_ps,privat,Offer,7299,control,coupe,2006,manuell,200,andere,150000,May,Diesel,alfa_romeo,No,2016-03-31 00:00:00,75175,2016-04-06 09:46:45,2016,2016,March,March,6,9,10,7
2016-03-22 14:37:03,Alfa_Romeo_Brera_2.4_JTDM_20V_DPF__8_fach_Alu__Scheckheft,privat,Offer,8400,control,coupe,2006,manuell,200,andere,150000,Oct,Diesel,alfa_romeo,No,2016-03-22 00:00:00,38100,2016-04-06 05:15:38,2016,2016,March,March,15,5,10,2
2016-04-03 20:53:37,Alfa_GTV_2000_Bertone_Oldtimer,privat,Offer,4450,test,coupe,1972,manuell,131,andere,125000,Feb,Gasoline,alfa_romeo,Yes,2016-04-03 00:00:00,50859,2016-04-05 21:47:07,2016,2016,April,April,2,21,44,10
2016-03-31 23:44:11,Alfa_Romeo_GTV_2.0_Twin_Spark,privat,Offer,3880,control,coupe,2001,manuell,150,andere,80000,Nov,Gasoline,alfa_romeo,No,2016-03-31 00:00:00,74855,2016-04-04 17:46:24,2016,2016,March,March,4,17,15,1
2016-03-16 18:45:02,Alfa_Romeo_GT_JTS_2.0_Zum_Ausschlachten_od._Herrichten,privat,Offer,0,control,coupe,2005,Unspecified,0,andere,150000,Feb,Other,alfa_romeo,Yes,2016-03-16 00:00:00,68165,2016-03-30 11:46:14,2016,2016,March,March,14,11,11,10
2016-03-24 20:36:23,Alfa_Romeo_GT_1.9_JTD_M_Jet_Distinctive,privat,Offer,3900,test,coupe,2005,manuell,150,andere,150000,Jan,Diesel,alfa_romeo,No,2016-03-24 00:00:00,86916,2016-04-05 15:17:10,2016,2016,March,March,12,15,11,11
2016-04-01 18:52:52,Alfa_Romeo_GTV_3.0_V6_24V_L,privat,Offer,5900,control,coupe,2001,manuell,220,andere,90000,Nov,Gasoline,alfa_romeo,No,2016-04-01 00:00:00,58099,2016-04-05 14:47:07,2016,2016,April,April,4,14,15,1
2016-03-15 15:49:22,Alfa_Romeo_GT_Bertone,privat,Offer,3200,control,coupe,2007,manuell,150,andere,150000,Mar,Diesel,alfa_romeo,No,2016-03-15 00:00:00,35716,2016-03-17 10:45:44,2016,2016,March,March,2,10,9,9
2016-03-15 11:58:10,Alfa_Romeo_GT_2.0_JTS_Quadrifoglio_Verde__Liebhaber_,privat,Offer,8998,test,coupe,2008,manuell,166,andere,60000,Nov,Gasoline,alfa_romeo,No,2016-03-15 00:00:00,69168,2016-04-02 02:18:58,2016,2016,March,March,18,2,8,1
2016-03-25 09:58:44,"Verkaufe_meinen_Alfa_Romeo_GT_""Vollausstatung""",privat,Offer,6200,test,coupe,2004,automatik,166,andere,100000,Nov,Gasoline,alfa_romeo,No,2016-03-25 00:00:00,51515,2016-03-28 09:15:29,2016,2016,March,March,3,9,12,1
2016-03-07 11:55:16,Alfa_Romeo_GT_2.0_JTS_Selespeed_Distinctive_Garagen_wagen,privat,Offer,5700,test,coupe,2004,automatik,166,andere,125000,Sep,Gasoline,alfa_romeo,No,2016-03-07 00:00:00,90459,2016-04-05 13:46:04,2016,2016,March,March,29,13,12,3
2016-03-12 16:44:52,Schoener_Alfa_147_1.6_16V___Sondermodell_Ti,privat,Offer,3580,control,coupe,2005,manuell,120,147,125000,Nov,Gasoline,alfa_romeo,No,2016-03-12 00:00:00,7749,2016-03-17 19:15:30,2016,2016,March,March,5,19,11,1
2016-03-30 15:52:29,Alfa_Romeo_GT_3.2_V6_Distinctive,privat,Offer,7200,test,coupe,2005,manuell,241,andere,125000,Sep,Gasoline,alfa_romeo,No,2016-03-30 00:00:00,2692,2016-04-07 06:44:48,2016,2016,March,March,8,6,11,3
2016-03-27 15:39:28,Alfa_Romeo_GTV_2.0_Twin_Spark_16V,privat,Offer,1150,control,coupe,1996,manuell,150,andere,150000,Jan,Gasoline,alfa_romeo,No,2016-03-27 00:00:00,56865,2016-04-07 12:17:56,2016,2016,March,March,11,12,20,11
2016-03-16 17:57:22,Alfa_2_4_jdt_Sportwagen,privat,Offer,7500,control,coupe,2006,manuell,200,andere,150000,Jun,Diesel,alfa_romeo,No,2016-03-16 00:00:00,75175,2016-03-17 16:47:47,2016,2016,March,March,1,16,10,6
2016-03-10 11:49:11,Vk__Alfa_147_mit_schaden,privat,Offer,400,test,coupe,2001,Unspecified,120,147,150000,Jan,Other,alfa_romeo,Yes,2016-03-10 00:00:00,47443,2016-03-12 15:18:04,2016,2016,March,March,2,15,15,11
